,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive
3,Sat Jan 25 10:34:13 +0000 2020,1221018427541938177,1221018427541938177,@j2yny @uniofleicester @Leicesterchem @cressymiff @0909cavendish So true - both the language and content are very different. It’s 32 pages long and pretty text heavy. Loads of useful info but doubt I read much of it!,False,"[65, 216]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.2209822975639306e+18,1220982297563930624,113925322.0,113925322,j2yny,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'j2yny', 'name': 'Jayne', 'id': 113925322, 'id_str': '113925322', 'indices': [0, 6]}, {'screen_name': 'uniofleicester', 'name': 'University of Leicester', 'id': 81089247, 'id_str': '81089247', 'indices': [7, 22]}, {'screen_name': 'Leicesterchem', 'name': 'Leicester Chemistry', 'id': 161995019, 'id_str': '161995019', 'indices': [23, 37]}, {'screen_name': 'cressymiff', 'name': 'Sally Cinnamon', 'id': 721320017, 'id_str': '721320017', 'indices': [38, 49]}, {'screen_name': '0909cavendish', 'name': 'Sarah-Jane', 'id': 1413210534, 'id_str': '1413210534', 'indices': [50, 64]}]",[],en,recent,1572611011,1572611011,Fay Sherrington,faysherrington,,Director of Student Services at @edgehill; from Yorkshire now living in Lancashire; tea drinker; lover of wildlife and nature💚; views my own; she/her,,[],False,761,1495,9,Sat Jul 06 11:34:11 +0000 2013,4324,,,False,False,1385,,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/585773234857054211/noNJh1MF_normal.jpg,https://pbs.twimg.com/profile_images/585773234857054211/noNJh1MF_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/1572611011/1576775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sat Jan 25 10:33:34 +0000 2020,1221018264932884480,1221018264932884480,@psiconlab @ioct_dmu @dmuleicester @ahugill @KerrynWise @sheffdocfest @uniofleicester Of course the invite is extended to @KerrynWise :),False,"[86, 136]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2210089721252168e+18,1221008972125216769,77189392.0,77189392,psiconlab,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'psiconlab', 'name': 'Ben Neal', 'id': 77189392, 'id_str': '77189392', 'indices': [0, 10]}, {'screen_name': 'ioct_dmu', 'name': 'ioct', 'id': 90864923, 'id_str': '90864923', 'indices': [11, 20]}, {'screen_name': 'dmuleicester', 'name': 'De Montfort Uni DMU', 'id': 75247404, 'id_str': '75247404', 'indices': [21, 34]}, {'screen_name': 'ahugill', 'name': 'Andrew Hugill', 'id': 19902845, 'id_str': '19902845', 'indices': [35, 43]}, {'screen_name': 'KerrynWise', 'name': 'Kerryn Wise', 'id': 4473600868, 'id_str': '4473600868', 'indices': [44, 55]}, {'screen_name': 'sheffdocfest', 'name': 'Sheffield Doc/Fest', 'id': 6644602, 'id_str': '6644602', 'indices': [56, 69]}, {'screen_name': 'uniofleicester', 'name': 'University of Leicester', 'id': 81089247, 'id_str': '81089247', 'indices': [70, 85]}, {'screen_name': 'KerrynWise', 'name': 'Kerryn Wise', 'id': 4473600868, 'id_str': '4473600868', 'indices': [122, 133]}]",[],en,recent,77984972,77984972,Balandino Di Donato,balandino_dd,"Leicester, England",#Lecturer in #Creative #Computing at @UoLInformatics - @uniofleicester | #music #HCI #interaction #design #audiovisual #IxD | @MyoMapper creator,https://t.co/Uq3V0pYv4Q,[],False,769,933,34,Mon Sep 28 11:02:05 +0000 2009,927,,,True,False,1276,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/834676343426187264/tjXc78Tx_normal.jpg,https://pbs.twimg.com/profile_images/834676343426187264/tjXc78Tx_normal.jpg,000000,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/Uq3V0pYv4Q', 'expanded_url': 'http://www.balandinodidonato.com', 'display_url': 'balandinodidonato.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat Jan 25 10:31:40 +0000 2020,1221017785163186176,1221017785163186176,@psiconlab @ioct_dmu @dmuleicester @ahugill @KerrynWise @sheffdocfest @uniofleicester I'll send you an email and we can schedule a meeting :),False,"[86, 141]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2210089721252168e+18,1221008972125216769,77189392.0,77189392,psiconlab,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'psiconlab', 'name': 'Ben Neal', 'id': 77189392, 'id_str': '77189392', 'indices': [0, 10]}, {'screen_name': 'ioct_dmu', 'name': 'ioct', 'id': 90864923, 'id_str': '90864923', 'indices': [11, 20]}, {'screen_name': 'dmuleicester', 'name': 'De Montfort Uni DMU', 'id': 75247404, 'id_str': '75247404', 'indices': [21, 34]}, {'screen_name': 'ahugill', 'name': 'Andrew Hugill', 'id': 19902845, 'id_str': '19902845', 'indices': [35, 43]}, {'screen_name': 'KerrynWise', 'name': 'Kerryn Wise', 'id': 4473600868, 'id_str': '4473600868', 'indices': [44, 55]}, {'screen_name': 'sheffdocfest', 'name': 'Sheffield Doc/Fest', 'id': 6644602, 'id_str': '6644602', 'indices': [56, 69]}, {'screen_name': 'uniofleicester', 'name': 'University of Leicester', 'id': 81089247, 'id_str': '81089247', 'indices': [70, 85]}]",[],en,recent,77984972,77984972,Balandino Di Donato,balandino_dd,"Leicester, England",#Lecturer in #Creative #Computing at @UoLInformatics - @uniofleicester | #music #HCI #interaction #design #audiovisual #IxD | @MyoMapper creator,https://t.co/Uq3V0pYv4Q,[],False,769,933,34,Mon Sep 28 11:02:05 +0000 2009,927,,,True,False,1276,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/834676343426187264/tjXc78Tx_normal.jpg,https://pbs.twimg.com/profile_images/834676343426187264/tjXc78Tx_normal.jpg,000000,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/Uq3V0pYv4Q', 'expanded_url': 'http://www.balandinodidonato.com', 'display_url': 'balandinodidonato.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat Jan 25 09:08:15 +0000 2020,1220996795611918336,1220996795611918336,@faysherrington @uniofleicester @Leicesterchem @cressymiff @0909cavendish @edgehill Think I paid £45ish a week for my room in John Dalton (number 54!). Full board and bedding. Used to go to the little room next to the Street to pick up fresh sheets!,False,"[84, 249]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2209945243669545e+18,1220994524366954496,1572611011.0,1572611011,faysherrington,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'faysherrington', 'name': 'Fay Sherrington', 'id': 1572611011, 'id_str': '1572611011', 'indices': [0, 15]}, {'screen_name': 'uniofleicester', 'name': 'University of Leicester', 'id': 81089247, 'id_str': '81089247', 'indices': [16, 31]}, {'screen_name': 'Leicesterchem', 'name': 'Leicester Chemistry', 'id': 161995019, 'id_str': '161995019', 'indices': [32, 46]}, {'screen_name': 'cressymiff', 'name': 'Sally Cinnamon', 'id': 721320017, 'id_str': '721320017', 'indices': [47, 58]}, {'screen_name': '0909cavendish', 'name': 'Sarah-Jane', 'id': 1413210534, 'id_str': '1413210534', 'indices': [59, 73]}, {'screen_name': 'edgehill', 'name': 'Edge Hill University', 'id': 14908181, 'id_str': '14908181', 'indices': [74, 83]}]",[],en,recent,3255669761,3255669761,Louise 📚🌍🐧☕ 🌳🌻🚶‍♀️👩‍🔬,ehusci_louise,,"FT primary science lecturer @EHU_FOE, PT PhD student. On a mission to get folk enthused about primary science, outdoor learning & sustainability! Views my own.",,[],False,2168,1677,39,Fri May 15 07:51:59 +0000 2015,42559,,,True,False,10642,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1213499295560851456/exKUkVTj_normal.jpg,https://pbs.twimg.com/profile_images/1213499295560851456/exKUkVTj_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/3255669761/1564322910,5e87fad60ff48693,https://api.twitter.com/1.1/geo/id/5e87fad60ff48693.json,city,Up Holland,"Up Holland, England",GB,United Kingdom,[],Polygon,"[[[-2.83144, 53.52434], [-2.717183, 53.52434], [-2.717183, 53.568179], [-2.83144, 53.568179]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sat Jan 25 08:59:14 +0000 2020,1220994524366954496,1220994524366954496,"@ehusci_louise @uniofleicester @Leicesterchem @cressymiff @0909cavendish @edgehill Haha - brilliant, the ducks are a constant feature 😊 🦆",False,"[83, 137]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2209908878425006e+18,1220990887842500609,3255669761.0,3255669761,ehusci_louise,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'ehusci_louise', 'name': 'Louise 📚🌍🐧☕ 🌳🌻🚶\u200d♀️👩\u200d🔬', 'id': 3255669761, 'id_str': '3255669761', 'indices': [0, 14]}, {'screen_name': 'uniofleicester', 'name': 'University of Leicester', 'id': 81089247, 'id_str': '81089247', 'indices': [15, 30]}, {'screen_name': 'Leicesterchem', 'name': 'Leicester Chemistry', 'id': 161995019, 'id_str': '161995019', 'indices': [31, 45]}, {'screen_name': 'cressymiff', 'name': 'Sally Cinnamon', 'id': 721320017, 'id_str': '721320017', 'indices': [46, 57]}, {'screen_name': '0909cavendish', 'name': 'Sarah-Jane', 'id': 1413210534, 'id_str': '1413210534', 'indices': [58, 72]}, {'screen_name': 'edgehill', 'name': 'Edge Hill University', 'id': 14908181, 'id_str': '14908181', 'indices': [73, 82]}]",[],en,recent,1572611011,1572611011,Fay Sherrington,faysherrington,,Director of Student Services at @edgehill; from Yorkshire now living in Lancashire; tea drinker; lover of wildlife and nature💚; views my own; she/her,,[],False,761,1495,9,Sat Jul 06 11:34:11 +0000 2013,4324,,,False,False,1385,,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/585773234857054211/noNJh1MF_normal.jpg,https://pbs.twimg.com/profile_images/585773234857054211/noNJh1MF_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/1572611011/1576775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat Jan 25 08:44:47 +0000 2020,1220990887842500609,1220990887842500609,@faysherrington @uniofleicester @Leicesterchem @cressymiff @0909cavendish I've probably still got mine from when I started  @edgehill in 1996 somewhere! Can remember it had ducks on the cover! 🦆🦆,False,"[74, 195]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2208355239730668e+18,1220835523973066753,1572611011.0,1572611011,faysherrington,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'faysherrington', 'name': 'Fay Sherrington', 'id': 1572611011, 'id_str': '1572611011', 'indices': [0, 15]}, {'screen_name': 'uniofleicester', 'name': 'University of Leicester', 'id': 81089247, 'id_str': '81089247', 'indices': [16, 31]}, {'screen_name': 'Leicesterchem', 'name': 'Leicester Chemistry', 'id': 161995019, 'id_str': '161995019', 'indices': [32, 46]}, {'screen_name': 'cressymiff', 'name': 'Sally Cinnamon', 'id': 721320017, 'id_str': '721320017', 'indices': [47, 58]}, {'screen_name': '0909cavendish', 'name': 'Sarah-Jane', 'id': 1413210534, 'id_str': '1413210534', 'indices': [59, 73]}, {'screen_name': 'edgehill', 'name': 'Edge Hill University', 'id': 14908181, 'id_str': '14908181', 'indices': [124, 133]}]",[],en,recent,3255669761,3255669761,Louise 📚🌍🐧☕ 🌳🌻🚶‍♀️👩‍🔬,ehusci_louise,,"FT primary science lecturer @EHU_FOE, PT PhD student. On a mission to get folk enthused about primary science, outdoor learning & sustainability! Views my own.",,[],False,2168,1677,39,Fri May 15 07:51:59 +0000 2015,42559,,,True,False,10642,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1213499295560851456/exKUkVTj_normal.jpg,https://pbs.twimg.com/profile_images/1213499295560851456/exKUkVTj_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/3255669761/1564322910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sat Jan 25 08:41:22 +0000 2020,1220990027632648193,1220990027632648193,"@WrightMelly @LWright_writer @uniofleicester Indeed, extremely lucky.",False,"[45, 69]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2209898821197046e+18,1220989882119704578,268509128.0,268509128,WrightMelly,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'WrightMelly', 'name': 'Melanie Wright', 'id': 268509128, 'id_str': '268509128', 'indices': [0, 12]}, {'screen_name': 'LWright_writer', 'name': 'Lee Wright', 'id': 1140210835308064770, 'id_str': '1140210835308064770', 'indices': [13, 28]}, {'screen_name': 'uniofleicester', 'name': 'University of Leicester', 'id': 81089247, 'id_str': '81089247', 'indices': [29, 44]}]",[],en,recent,436914945,436914945,#hellomynameis Ben,Benjie_Shep,"Lincoln, England",Husband. Father. Paramedic. BSc (Hons) student (Professional Practice). Views expressed here are mine alone & not those of my employer. #ProjectA,,[],False,747,1261,4,Wed Dec 14 18:49:22 +0000 2011,9485,,,True,False,2921,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1168340039006326784/lKAuMwB9_normal.jpg,https://pbs.twimg.com/profile_images/1168340039006326784/lKAuMwB9_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/436914945/1543011967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sat Jan 25 08:16:23 +0000 2020,1220983741205635072,1220983741205635072,"@Leic_hospital mock #MRCPpaces exam this am @NHS_HealthEdEng. Great initiative started ?8yrs ago by @KRUKPhD continued by RCP CTs
*3 critical points in my career 
1) place at medical school @uniofleicester -thanks!
2) finals
3) MRCP
*important to support next generation of docs",False,"[0, 278]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,102643049.0,102643049,Leic_hospital,,,,,False,0,0,False,False,en,"[{'text': 'MRCPpaces', 'indices': [20, 30]}]",[],"[{'screen_name': 'Leic_hospital', 'name': ""Leicester's Hospitals"", 'id': 102643049, 'id_str': '102643049', 'indices': [0, 14]}, {'screen_name': 'NHS_HealthEdEng', 'name': 'NHS HEE', 'id': 637008966, 'id_str': '637008966', 'indices': [44, 60]}, {'screen_name': 'KRUKPhD', 'name': 'Rupert Major', 'id': 3762138201, 'id_str': '3762138201', 'indices': [100, 108]}, {'screen_name': 'uniofleicester', 'name': 'University of Leicester', 'id': 81089247, 'id_str': '81089247', 'indices': [190, 205]}]",[],en,recent,930534747872382984,930534747872382984,Rachael Evans,REvans_Breathe,,"Consultant Respiratory Physician and Associate Professor. NIHR Clinician Scientist. Interest in Breathlessness, COPD and Pulmonary Rehabilitation.",,[],False,1678,1295,11,Tue Nov 14 20:35:47 +0000 2017,5359,,,False,False,3349,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/930540961465339904/GhuZKBAv_normal.jpg,https://pbs.twimg.com/profile_images/930540961465339904/GhuZKBAv_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sat Jan 25 07:45:09 +0000 2020,1220975882791198720,1220975882791198720,"@psiconlab @ioct_dmu @dmuleicester @ahugill @KerrynWise @sheffdocfest Yes, as @ahugill anticipated I'm working with him at @uniofleicester :) let me know when you are free for a drink! :)",False,"[70, 187]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2208556310049997e+18,1220855631004999681,77189392.0,77189392,psiconlab,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'psiconlab', 'name': 'Ben Neal', 'id': 77189392, 'id_str': '77189392', 'indices': [0, 10]}, {'screen_name': 'ioct_dmu', 'name': 'ioct', 'id': 90864923, 'id_str': '90864923', 'indices': [11, 20]}, {'screen_name': 'dmuleicester', 'name': 'De Montfort Uni DMU', 'id': 75247404, 'id_str': '75247404', 'indices': [21, 34]}, {'screen_name': 'ahugill', 'name': 'Andrew Hugill', 'id': 19902845, 'id_str': '19902845', 'indices': [35, 43]}, {'screen_name': 'KerrynWise', 'name': 'Kerryn Wise', 'id': 4473600868, 'id_str': '4473600868', 'indices': [44, 55]}, {'screen_name': 'sheffdocfest', 'name': 'Sheffield Doc/Fest', 'id': 6644602, 'id_str': '6644602', 'indices': [56, 69]}, {'screen_name': 'ahugill', 'name': 'Andrew Hugill', 'id': 19902845, 'id_str': '19902845', 'indices': [78, 86]}, {'screen_name': 'uniofleicester', 'name': 'University of Leicester', 'id': 81089247, 'id_str': '81089247', 'indices': [123, 138]}]",[],en,recent,77984972,77984972,Balandino Di Donato,balandino_dd,"Leicester, England",#Lecturer in #Creative #Computing at @UoLInformatics - @uniofleicester | #music #HCI #interaction #design #audiovisual #IxD | @MyoMapper creator,https://t.co/Uq3V0pYv4Q,[],False,769,933,34,Mon Sep 28 11:02:05 +0000 2009,927,,,True,False,1276,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/834676343426187264/tjXc78Tx_normal.jpg,https://pbs.twimg.com/profile_images/834676343426187264/tjXc78Tx_normal.jpg,000000,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/Uq3V0pYv4Q', 'expanded_url': 'http://www.balandinodidonato.com', 'display_url': 'balandinodidonato.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sat Jan 25 07:30:55 +0000 2020,1220972301354700800,1220972301354700800,"@WrightMelly @LWright_writer @uniofleicester Congratulations on such a fantastic achievement Lee ✍️🎉

Our eldest is in her 2nd year of a degree in Creative Writing. I must remember to send her your way for advice 😏",False,"[45, 214]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207586109821133e+18,1220758610982113285,268509128.0,268509128,WrightMelly,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'WrightMelly', 'name': 'Melanie Wright', 'id': 268509128, 'id_str': '268509128', 'indices': [0, 12]}, {'screen_name': 'LWright_writer', 'name': 'Lee Wright', 'id': 1140210835308064770, 'id_str': '1140210835308064770', 'indices': [13, 28]}, {'screen_name': 'uniofleicester', 'name': 'University of Leicester', 'id': 81089247, 'id_str': '81089247', 'indices': [29, 44]}]",[],en,recent,436914945,436914945,#hellomynameis Ben,Benjie_Shep,"Lincoln, England",Husband. Father. Paramedic. BSc (Hons) student (Professional Practice). Views expressed here are mine alone & not those of my employer. #ProjectA,,[],False,747,1261,4,Wed Dec 14 18:49:22 +0000 2011,9485,,,True,False,2921,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1168340039006326784/lKAuMwB9_normal.jpg,https://pbs.twimg.com/profile_images/1168340039006326784/lKAuMwB9_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/436914945/1543011967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
