,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls
55,Fri Jan 24 13:19:59 +0000 2020,1220697756383293442,1220697756383293442,"RT @KeeleBusiness: Cllr Winnington: ""The @KeeleUniversity Science &amp; Innovation Park is one of our prime sites for high value research &amp; dev…",False,"[0, 148]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,4,0,False,False,en,[],[],"[{'screen_name': 'KeeleBusiness', 'name': 'Keele Business Gateway', 'id': 73353278, 'id_str': '73353278', 'indices': [3, 17]}, {'screen_name': 'KeeleUniversity', 'name': 'Keele University', 'id': 15389918, 'id_str': '15389918', 'indices': [41, 57]}]",[],en,recent,835104496246263813,835104496246263813,Mark Ormerod,MarkOrmerod4,Keele and Nantwich,Deputy Vice-Chancellor and Provost @KeeleUniversity. Strategic Lead for @GreenKeele. Tweets about #Sustainability #HigherEd and #KeeleBecause,,[],False,1313,4069,12,Fri Feb 24 12:30:02 +0000 2017,4074,,,False,False,1166,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/954355313280512000/7VAC09KM_normal.jpg,https://pbs.twimg.com/profile_images/954355313280512000/7VAC09KM_normal.jpg,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/835104496246263813/1517582569,,,,,,,,,,,,Fri Jan 24 13:19:50 +0000 2020,1.2206977192762327e+18,1220697719276232704,"Cllr Winnington: ""The @KeeleUniversity Science &amp; Innovation Park is one of our prime sites for high value research &amp; development businesses, which also benefits from Enterprise Zone status, strengthening its position as a site to invest in""",False,"[0, 248]",[],[],"[{'screen_name': 'KeeleUniversity', 'name': 'Keele University', 'id': 15389918, 'id_str': '15389918', 'indices': [22, 38]}]",[],en,recent,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,,,73353278.0,73353278,Keele Business Gateway,KeeleBusiness,"Keele, Staffordshire, UK","Offering expert innovation support, funding, Science Park accommodation & specialist research facilities for businesses. Proud to be delivering #NewKeeleDeal",https://t.co/xl95FMYflv,[],False,2590.0,986.0,87.0,Fri Sep 11 10:06:31 +0000 2009,3100.0,,,True,False,4456.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme13/bg.gif,https://abs.twimg.com/images/themes/theme13/bg.gif,False,http://pbs.twimg.com/profile_images/895553459419787264/IxKkjroV_normal.jpg,https://pbs.twimg.com/profile_images/895553459419787264/IxKkjroV_normal.jpg,https://pbs.twimg.com/profile_banners/73353278/1506336985,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,4.0,5.0,False,False,en,"[{'url': 'https://t.co/xl95FMYflv', 'expanded_url': 'http://www.keele.ac.uk/business', 'display_url': 'keele.ac.uk/business', 'indices': [0, 23]}]"
56,Fri Jan 24 13:19:50 +0000 2020,1220697719276232704,1220697719276232704,"Cllr Winnington: ""The @KeeleUniversity Science &amp; Innovation Park is one of our prime sites for high value research &amp; development businesses, which also benefits from Enterprise Zone status, strengthening its position as a site to invest in""",False,"[0, 248]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,,,,,,,False,4,5,False,False,en,[],[],"[{'screen_name': 'KeeleUniversity', 'name': 'Keele University', 'id': 15389918, 'id_str': '15389918', 'indices': [22, 38]}]",[],en,recent,73353278,73353278,Keele Business Gateway,KeeleBusiness,"Keele, Staffordshire, UK","Offering expert innovation support, funding, Science Park accommodation & specialist research facilities for businesses. Proud to be delivering #NewKeeleDeal",https://t.co/xl95FMYflv,[],False,2590,986,87,Fri Sep 11 10:06:31 +0000 2009,3100,,,True,False,4456,,False,False,False,000000,http://abs.twimg.com/images/themes/theme13/bg.gif,https://abs.twimg.com/images/themes/theme13/bg.gif,False,http://pbs.twimg.com/profile_images/895553459419787264/IxKkjroV_normal.jpg,https://pbs.twimg.com/profile_images/895553459419787264/IxKkjroV_normal.jpg,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/73353278/1506336985,"[{'url': 'https://t.co/xl95FMYflv', 'expanded_url': 'http://www.keele.ac.uk/business', 'display_url': 'keele.ac.uk/business', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Fri Jan 24 13:19:38 +0000 2020,1220697667715596288,1220697667715596288,"Cllr Winnington: ""We have a highly successful partnership with @KeeleUniversity, in the form of the #NewKeeleDeal, which has resulted in the construction of both this building and Innovation Centre 5, both playing an important part in our continued economic growth""",False,"[0, 265]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,,,,,,,False,5,7,False,False,en,"[{'text': 'NewKeeleDeal', 'indices': [100, 113]}]",[],"[{'screen_name': 'KeeleUniversity', 'name': 'Keele University', 'id': 15389918, 'id_str': '15389918', 'indices': [63, 79]}]",[],en,recent,73353278,73353278,Keele Business Gateway,KeeleBusiness,"Keele, Staffordshire, UK","Offering expert innovation support, funding, Science Park accommodation & specialist research facilities for businesses. Proud to be delivering #NewKeeleDeal",https://t.co/xl95FMYflv,[],False,2590,986,87,Fri Sep 11 10:06:31 +0000 2009,3100,,,True,False,4456,,False,False,False,000000,http://abs.twimg.com/images/themes/theme13/bg.gif,https://abs.twimg.com/images/themes/theme13/bg.gif,False,http://pbs.twimg.com/profile_images/895553459419787264/IxKkjroV_normal.jpg,https://pbs.twimg.com/profile_images/895553459419787264/IxKkjroV_normal.jpg,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/73353278/1506336985,"[{'url': 'https://t.co/xl95FMYflv', 'expanded_url': 'http://www.keele.ac.uk/business', 'display_url': 'keele.ac.uk/business', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Fri Jan 24 09:42:17 +0000 2020,1220642971172982785,1220642971172982785,@KeeleUniversity @pkaturamu @talieybita Wow keep inspiring dear @talieybita,False,"[40, 75]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2203668327056876e+18,1220366832705687552,15389918.0,15389918,KeeleUniversity,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'KeeleUniversity', 'name': 'Keele University', 'id': 15389918, 'id_str': '15389918', 'indices': [0, 16]}, {'screen_name': 'pkaturamu', 'name': 'PAUL KATURAMU', 'id': 268787277, 'id_str': '268787277', 'indices': [17, 27]}, {'screen_name': 'talieybita', 'name': 'Nataliey Bitature', 'id': 22221089, 'id_str': '22221089', 'indices': [28, 39]}, {'screen_name': 'talieybita', 'name': 'Nataliey Bitature', 'id': 22221089, 'id_str': '22221089', 'indices': [64, 75]}]",[],en,recent,780701694631882752,780701694631882752,ndahiro Derrick Alter 🇷🇼,EarlNdahiro,"Kampala, Uganda","Global citizen.

Peer educator on ending gbv.

Wikipedia editor.

Proud @HeforShe.

Criminology student @makerere university.
Student leader 
#RWOT",,[],False,459,2103,0,Tue Sep 27 09:32:43 +0000 2016,2791,,,True,False,610,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1123675222949937152/iRXpjG05_normal.jpg,https://pbs.twimg.com/profile_images/1123675222949937152/iRXpjG05_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/780701694631882752/1573106986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Fri Jan 24 05:20:41 +0000 2020,1220577135879950336,1220577135879950336,@talieybita @KeeleUniversity Cong's lovely sister,False,"[29, 49]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2203694344827453e+18,1220369434482745344,22221089.0,22221089,talieybita,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'talieybita', 'name': 'Nataliey Bitature', 'id': 22221089, 'id_str': '22221089', 'indices': [0, 11]}, {'screen_name': 'KeeleUniversity', 'name': 'Keele University', 'id': 15389918, 'id_str': '15389918', 'indices': [12, 28]}]",[],en,recent,1338779623,1338779623,GILBERT HAPPY,GilbertHappyUg,"Kampala, Uganda",Gilbert is one of the world’s youngest development strategists passionate about Development and Sustainability with major focus on Education. #,https://t.co/PqboBBUuo7,[],False,1624,2947,7,Tue Apr 09 09:47:08 +0000 2013,1492,,,True,False,927,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/3497785649/d7e791067008a2c1f51e21e355e625af_normal.jpeg,https://pbs.twimg.com/profile_images/3497785649/d7e791067008a2c1f51e21e355e625af_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1338779623/1476391729,"[{'url': 'https://t.co/PqboBBUuo7', 'expanded_url': 'http://www.edufa.org', 'display_url': 'edufa.org', 'indices': [0, 23]}]",0011d2102e36ce25,https://api.twitter.com/1.1/geo/id/0011d2102e36ce25.json,admin,Ibanda,"Ibanda, Uganda",UG,Uganda,[],Polygon,"[[[30.2460501, -0.3032095], [30.6394749, -0.3032095], [30.6394749, 0.1620369], [30.2460501, 0.1620369]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Thu Jan 23 23:14:30 +0000 2020,1220484982755299330,1220484982755299330,"@glacialicon @KeeleUniversity It was fantastic to have you on board, Connor! We look forward to watching your career go from strength to strength! Not many people get to start their PhD with a few manuscripts under their belt! Well done! 👍",False,"[30, 239]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204360941367828e+18,1220436094136782850,441032330.0,441032330,glacialicon,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'glacialicon', 'name': 'Connor Shiggins', 'id': 441032330, 'id_str': '441032330', 'indices': [0, 12]}, {'screen_name': 'KeeleUniversity', 'name': 'Keele University', 'id': 15389918, 'id_str': '15389918', 'indices': [13, 29]}]",[],en,recent,3345602627,3345602627,MSc Geoscience Res,KeeleMScGeoRes,"Keele University, UK","Tweeting about our MSc in Geoscience Research course, and news from students and staff. Projects in geoscience, environmental science and physical geography.",https://t.co/XAgMhZzdDJ,[],False,568,405,15,Thu Jun 25 15:56:12 +0000 2015,1978,,,True,False,1142,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/614390777645531136/5dWOHB8C_normal.jpg,https://pbs.twimg.com/profile_images/614390777645531136/5dWOHB8C_normal.jpg,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/3345602627/1435589567,"[{'url': 'https://t.co/XAgMhZzdDJ', 'expanded_url': 'https://www.keele.ac.uk/pgtcourses/geoscienceresearch/', 'display_url': 'keele.ac.uk/pgtcourses/geo…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Thu Jan 23 22:54:05 +0000 2020,1220479848268861440,1220479848268861440,@pennyletters @KeeleUniversity Nice work Goldsmith!,False,"[31, 51]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220380517381628e+18,1220380517381627910,7.812255193920963e+17,781225519392096256,pennyletters,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'pennyletters', 'name': 'Rebecca Goldsmith', 'id': 781225519392096256, 'id_str': '781225519392096256', 'indices': [0, 13]}, {'screen_name': 'KeeleUniversity', 'name': 'Keele University', 'id': 15389918, 'id_str': '15389918', 'indices': [14, 30]}]",[],en,recent,491123,491123,Dave Windass,DaveW,"Hull, Europe",Writer. Producer. Outsider. Breather. @headsuphull @WeAreE52 @battersea_arts @WBPHull BBC Contains Strong Language. Postgrad at @UniOfHull 七転び八起き,https://t.co/PcdMUcVG1I,[],False,4341,2615,111,Wed Jan 03 13:02:32 +0000 2007,6305,,,True,False,53514,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/842898387817156609/--RGMgsP_normal.jpg,https://pbs.twimg.com/profile_images/842898387817156609/--RGMgsP_normal.jpg,0000FF,FFFFFF,FFFFFF,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/491123/1445199387,"[{'url': 'https://t.co/PcdMUcVG1I', 'expanded_url': 'http://www.davewindass.co.uk', 'display_url': 'davewindass.co.uk', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Thu Jan 23 21:53:39 +0000 2020,1220464638028144647,1220464638028144647,@JanetSFrancis @KeeleUniversity @callmek4te Well done Katy!,False,"[44, 59]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.22028179481532e+18,1220281794815320064,19018001.0,19018001,JanetSFrancis,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'JanetSFrancis', 'name': 'Janet Francis', 'id': 19018001, 'id_str': '19018001', 'indices': [0, 14]}, {'screen_name': 'KeeleUniversity', 'name': 'Keele University', 'id': 15389918, 'id_str': '15389918', 'indices': [15, 31]}, {'screen_name': 'callmek4te', 'name': 'KateⓋ🐰🌱', 'id': 2831604549, 'id_str': '2831604549', 'indices': [32, 43]}]",[],en,recent,2255665994,2255665994,Dave Thomas,DaveTatStaffs,Staffordshire,"Senior lecturer in Information Systems, educator, cyclist, logophile and juggler. EdD doctoral student interested in all aspects of Learning Communities,",https://t.co/34O68dOqOj,[],False,174,133,2,Fri Dec 20 23:40:19 +0000 2013,3253,,,False,False,557,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/414184536868528128/6o4Yk9r0_normal.jpeg,https://pbs.twimg.com/profile_images/414184536868528128/6o4Yk9r0_normal.jpeg,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,"[{'url': 'https://t.co/34O68dOqOj', 'expanded_url': 'http://davethomaswebspace.org', 'display_url': 'davethomaswebspace.org', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Thu Jan 23 21:37:04 +0000 2020,1220460465647771648,1220460465647771648,@KeeleGGE @alixcage @wallersaur @milgeol @KeeleUniversity @KeeleMScGeoRes @SharonGeorge5 We lost Ralf2 it seems,False,"[89, 111]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204154100188447e+18,1220415410018844672,2981276992.0,2981276992,KeeleGGE,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'KeeleGGE', 'name': 'Keele GGE', 'id': 2981276992, 'id_str': '2981276992', 'indices': [0, 9]}, {'screen_name': 'alixcage', 'name': 'Alix Cage', 'id': 234335755, 'id_str': '234335755', 'indices': [10, 19]}, {'screen_name': 'wallersaur', 'name': 'Richard Waller', 'id': 275722261, 'id_str': '275722261', 'indices': [20, 31]}, {'screen_name': 'milgeol', 'name': 'Jamie', 'id': 950457942, 'id_str': '950457942', 'indices': [32, 40]}, {'screen_name': 'KeeleUniversity', 'name': 'Keele University', 'id': 15389918, 'id_str': '15389918', 'indices': [41, 57]}, {'screen_name': 'KeeleMScGeoRes', 'name': 'MSc Geoscience Res', 'id': 3345602627, 'id_str': '3345602627', 'indices': [58, 73]}, {'screen_name': 'SharonGeorge5', 'name': 'Sharon George', 'id': 410185758, 'id_str': '410185758', 'indices': [74, 88]}]",[],en,recent,3345542668,3345542668,Keele Petrology,KeelePetrology,"Keele University, UK",News and updates from the Petrology Group at @KeeleUniversity. Account maintained by Ralf Gertisser (Ralf 1) and Ralf Halama (Ralf 2). All views are our own.,https://t.co/E3PrE2vIf1,[],False,1355,1492,21,Thu Jun 25 13:55:28 +0000 2015,6967,,,False,False,2759,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/614096439430520832/pD-4TJ6m_normal.jpg,https://pbs.twimg.com/profile_images/614096439430520832/pD-4TJ6m_normal.jpg,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/3345542668/1435244462,"[{'url': 'https://t.co/E3PrE2vIf1', 'expanded_url': 'http://www.keele.ac.uk/keelepetrologygroup/', 'display_url': 'keele.ac.uk/keelepetrology…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Thu Jan 23 20:13:41 +0000 2020,1220439479833546753,1220439479833546753,@notsohumble_sam @KeeleUniversity @KeeleMScGeoRes Forgot you were the man of the hour !,False,"[50, 87]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204392779658609e+18,1220439277965860864,232521562.0,232521562,notsohumble_sam,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'notsohumble_sam', 'name': 'Sam Marc #TeamIce 🎗', 'id': 232521562, 'id_str': '232521562', 'indices': [0, 16]}, {'screen_name': 'KeeleUniversity', 'name': 'Keele University', 'id': 15389918, 'id_str': '15389918', 'indices': [17, 33]}, {'screen_name': 'KeeleMScGeoRes', 'name': 'MSc Geoscience Res', 'id': 3345602627, 'id_str': '3345602627', 'indices': [34, 49]}]",[],en,recent,441032330,441032330,Connor Shiggins,glacialicon,"Liverpool, England",PhD @livunigeog • attempting to call myself a glaciologist • Yorkshire born • beer fan • optimist • blogger • YouTuber • passionate about memes.,https://t.co/GFKt4UBf0t,[],False,1374,3348,5,Mon Dec 19 17:31:35 +0000 2011,1113,,,True,False,10184,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1210166212115742721/qr9qp9si_normal.jpg,https://pbs.twimg.com/profile_images/1210166212115742721/qr9qp9si_normal.jpg,80A321,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/441032330/1567508102,"[{'url': 'https://t.co/GFKt4UBf0t', 'expanded_url': 'https://www.youtube.com/channel/UCcdKJ_AtE-lnjoCIJiOiCrA/discussion', 'display_url': 'youtube.com/channel/UCcdKJ…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Thu Jan 23 20:12:53 +0000 2020,1220439277965860864,1220439277965860864,@glacialicon @KeeleUniversity @KeeleMScGeoRes Great photographer there mate!,False,"[46, 76]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204360941367828e+18,1220436094136782850,441032330.0,441032330,glacialicon,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'glacialicon', 'name': 'Connor Shiggins', 'id': 441032330, 'id_str': '441032330', 'indices': [0, 12]}, {'screen_name': 'KeeleUniversity', 'name': 'Keele University', 'id': 15389918, 'id_str': '15389918', 'indices': [13, 29]}, {'screen_name': 'KeeleMScGeoRes', 'name': 'MSc Geoscience Res', 'id': 3345602627, 'id_str': '3345602627', 'indices': [30, 45]}]",[],en,recent,232521562,232521562,Sam Marc #TeamIce 🎗,notsohumble_sam,"West Midlands, England","Geography teacher | MSc Geoscience research | STEM outreach 🇬🇧 🇪🇺 
Science programme manager
He/Him",,[],False,351,707,9,Fri Dec 31 11:29:50 +0000 2010,15625,,,False,False,7815,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1122881312686256128/IU1gDDHW_normal.jpg,https://pbs.twimg.com/profile_images/1122881312686256128/IU1gDDHW_normal.jpg,7FDBB6,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/232521562/1579458457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Thu Jan 23 20:04:33 +0000 2020,1220437181006782464,1220437181006782464,@drjordankistler @English_Keele @KeeleUniversity Thank you!! ☺️ Had a fantastic day - really didn’t want to give my robes back 😂,False,"[49, 128]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204267801857106e+18,1220426780185710592,1.0358635042286305e+18,1035863504228630528,drjordankistler,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'drjordankistler', 'name': 'Dr Jordan Kistler', 'id': 1035863504228630528, 'id_str': '1035863504228630528', 'indices': [0, 16]}, {'screen_name': 'English_Keele', 'name': 'Keele English', 'id': 3026233839, 'id_str': '3026233839', 'indices': [17, 31]}, {'screen_name': 'KeeleUniversity', 'name': 'Keele University', 'id': 15389918, 'id_str': '15389918', 'indices': [32, 48]}]",[],en,recent,1093173717079859200,1093173717079859200,Amy Louise Blaney,blaney_louise,"Keele, England",She/Her. PhD Student @KeeleUniversity. Committee @KeeleWIP @UCKeele. Student Trustee @KPAKeele. Arthurian nerd. Archive Womble. Views my own.,,[],False,134,278,0,Wed Feb 06 15:44:59 +0000 2019,1432,,,False,False,739,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220459166642462743/HuTpnI6M_normal.jpg,https://pbs.twimg.com/profile_images/1220459166642462743/HuTpnI6M_normal.jpg,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1093173717079859200/1549468706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
