,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.profile_banner_url
14,Fri Jan 24 19:14:02 +0000 2020,1220786858046763008,1220786858046763008,@interwarintell @AberUni @MetroUK I might put ‘bacteria pioneer’ on my CV 😆,False,"[34, 75]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205991984768369e+18,1220599198476836865,1.0807675645344645e+18,1080767564534464513,interwarintell,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'interwarintell', 'name': 'Ben Hodges', 'id': 1080767564534464513, 'id_str': '1080767564534464513', 'indices': [0, 15]}, {'screen_name': 'AberUni', 'name': 'Aberystwyth University', 'id': 18721907, 'id_str': '18721907', 'indices': [16, 24]}, {'screen_name': 'MetroUK', 'name': 'Metro', 'id': 138749160, 'id_str': '138749160', 'indices': [25, 33]}]",[],en,recent,42991238,42991238,Charlotte Botfield,LottieBottie,Aberystwyth/Stafford ,"PhD awarded Int. History & Politics: WW1 & British colonial governance in East Africa. Interested in colonialism, how it is remembered, & its continuing impact",,[],False,333,526,14,Wed May 27 23:13:51 +0000 2009,3247,,,True,False,2858,,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,False,http://pbs.twimg.com/profile_images/1177397087505453059/l3DXusui_normal.jpg,https://pbs.twimg.com/profile_images/1177397087505453059/l3DXusui_normal.jpg,https://pbs.twimg.com/profile_banners/42991238/1399312576,CCB800,FFF8AD,F6FFD1,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 11:00:32 +0000 2020,1220662661991542785,1220662661991542785,"My thesis corrections were accepted yesterday (yay), so a decade long association with @AberUni is coming to a close. It turns out, the real Aberystwyth were the friends we made along the way.",False,"[0, 192]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,0,20,False,False,en,[],[],"[{'screen_name': 'AberUni', 'name': 'Aberystwyth University', 'id': 18721907, 'id_str': '18721907', 'indices': [87, 95]}]",[],en,recent,23810458,23810458,Jamie Terrill,jamieterrill,"Lancaster, UK",PhD | Research Associate at Lancaster University | Can tell the difference between Coke & Pepsi,https://t.co/EEc9aHIH5n,[],False,212,549,6,Wed Mar 11 19:12:32 +0000 2009,477,,,True,False,808,,False,False,False,C81E9F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/979146814107607041/Lyh-2KbE_normal.jpg,https://pbs.twimg.com/profile_images/979146814107607041/Lyh-2KbE_normal.jpg,https://pbs.twimg.com/profile_banners/23810458/1359031162,94D487,FFFFFF,CA216F,000000,True,True,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/EEc9aHIH5n', 'expanded_url': 'http://www.jamieterrill.com', 'display_url': 'jamieterrill.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Fri Jan 24 06:48:21 +0000 2020,1220599198476836865,1220599198476836865,@LottieBottie @AberUni @MetroUK I like to think we were pioneers,False,"[32, 64]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2204680381741548e+18,1220468038174154754,42991238.0,42991238,LottieBottie,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'LottieBottie', 'name': 'Charlotte Botfield', 'id': 42991238, 'id_str': '42991238', 'indices': [0, 13]}, {'screen_name': 'AberUni', 'name': 'Aberystwyth University', 'id': 18721907, 'id_str': '18721907', 'indices': [14, 22]}, {'screen_name': 'MetroUK', 'name': 'Metro', 'id': 138749160, 'id_str': '138749160', 'indices': [23, 31]}]",[],en,recent,1080767564534464513,1080767564534464513,Ben Hodges,interwarintell,Northamptonshire,"Part-time #PhD student @UniNorthants 'British Army Intelligence 1923-40'
Graduate of @AberUni & @BrunelUni  Ex @BritishArmy Ex @RoyalAirForce  Ex @metpoliceuk",,[],False,1531,3114,10,Thu Jan 03 10:07:21 +0000 2019,24051,,,False,False,11665,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1213114136537817088/0BxeVjwW_normal.jpg,https://pbs.twimg.com/profile_images/1213114136537817088/0BxeVjwW_normal.jpg,https://pbs.twimg.com/profile_banners/1080767564534464513/1546523737,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Thu Jan 23 22:07:10 +0000 2020,1220468038174154754,1220468038174154754,@interwarintell @AberUni @MetroUK I can just sense the amount of corallococcus aberystwythensis growing there 😂,False,"[34, 111]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203642451263283e+18,1220364245126328320,1.0807675645344645e+18,1080767564534464513,interwarintell,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'interwarintell', 'name': 'Ben Hodges', 'id': 1080767564534464513, 'id_str': '1080767564534464513', 'indices': [0, 15]}, {'screen_name': 'AberUni', 'name': 'Aberystwyth University', 'id': 18721907, 'id_str': '18721907', 'indices': [16, 24]}, {'screen_name': 'MetroUK', 'name': 'Metro', 'id': 138749160, 'id_str': '138749160', 'indices': [25, 33]}]",[],en,recent,42991238,42991238,Charlotte Botfield,LottieBottie,Aberystwyth/Stafford ,"PhD awarded Int. History & Politics: WW1 & British colonial governance in East Africa. Interested in colonialism, how it is remembered, & its continuing impact",,[],False,333,526,14,Wed May 27 23:13:51 +0000 2009,3247,,,True,False,2858,,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,False,http://pbs.twimg.com/profile_images/1177397087505453059/l3DXusui_normal.jpg,https://pbs.twimg.com/profile_images/1177397087505453059/l3DXusui_normal.jpg,https://pbs.twimg.com/profile_banners/42991238/1399312576,CCB800,FFF8AD,F6FFD1,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Thu Jan 23 17:07:41 +0000 2020,1220392670738231394,1220392670738231394,Off to a Psychotherapy residential wknd @Gregynog tomo. Its used by all the Unis in Wales. I asked for halal food but a halal diet is not catered for. Surely @AberUni @SwanseaUni @cardiffuni @BangorUni @UniSouthWales you cannot continue to support this racism? @BACP @EHRCwales,False,"[0, 277]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Gregynog', 'name': 'Gregynog', 'id': 2444036462, 'id_str': '2444036462', 'indices': [40, 49]}, {'screen_name': 'AberUni', 'name': 'Aberystwyth University', 'id': 18721907, 'id_str': '18721907', 'indices': [158, 166]}, {'screen_name': 'SwanseaUni', 'name': 'Swansea University', 'id': 62489200, 'id_str': '62489200', 'indices': [167, 178]}, {'screen_name': 'cardiffuni', 'name': 'Cardiff University', 'id': 12134862, 'id_str': '12134862', 'indices': [179, 190]}, {'screen_name': 'BangorUni', 'name': 'Bangor University', 'id': 19397548, 'id_str': '19397548', 'indices': [191, 201]}, {'screen_name': 'UniSouthWales', 'name': 'University of South Wales', 'id': 14360811, 'id_str': '14360811', 'indices': [202, 216]}, {'screen_name': 'BACP', 'name': 'BACP', 'id': 95275149, 'id_str': '95275149', 'indices': [261, 266]}, {'screen_name': 'EHRCwales', 'name': 'EHRC Wales', 'id': 1513284392, 'id_str': '1513284392', 'indices': [267, 277]}]",[],en,recent,738006757285466113,738006757285466113,Dr Nilufar Ahmed,ahmed_nilufar,,"Lecturer in Social Sciences @ Bristol Uni.
Interests: migration, ethnicity, ageing, place, gender, mental health, self harm, Islam, Bangladeshis. Views my own.",,[],False,291,453,2,Wed Jun 01 13:58:17 +0000 2016,960,,,True,False,792,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/738009004966871040/arDBES3t_normal.jpg,https://pbs.twimg.com/profile_images/738009004966871040/arDBES3t_normal.jpg,,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Tue Jan 21 07:30:15 +0000 2020,1219522578898915328,1219522578898915328,@jaCattell @AberUni @Astro_Christina @Astro_Jessica @Space_Station I started in 1994 I used lynx as well as telnet from the vaxs. Then used fancy Netscape on the Solaris machines,False,"[67, 178]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2193083574226698e+18,1219308357422669824,118012929.0,118012929,jaCattell,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'jaCattell', 'name': 'James Arthur Cattell', 'id': 118012929, 'id_str': '118012929', 'indices': [0, 10]}, {'screen_name': 'AberUni', 'name': 'Aberystwyth University', 'id': 18721907, 'id_str': '18721907', 'indices': [11, 19]}, {'screen_name': 'Astro_Christina', 'name': 'Christina H Koch', 'id': 3404297319, 'id_str': '3404297319', 'indices': [20, 36]}, {'screen_name': 'Astro_Jessica', 'name': 'Jessica Meir', 'id': 1524976560, 'id_str': '1524976560', 'indices': [37, 51]}, {'screen_name': 'Space_Station', 'name': 'Intl. Space Station', 'id': 1451773004, 'id_str': '1451773004', 'indices': [52, 66]}]",[],en,recent,43745768,43745768,Justin List,JustinList,London,Head of EMEA Humio . Christian . Sci-Fi author . All posts are my own (sadly ).  Coffee is my water,,[],False,654,2219,45,Sun May 31 20:05:49 +0000 2009,23630,,,True,False,25481,,False,False,False,C3E1FB,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1084433054754578432/MPMYDnoW_normal.jpg,https://pbs.twimg.com/profile_images/1084433054754578432/MPMYDnoW_normal.jpg,https://pbs.twimg.com/profile_banners/43745768/1416513155,E0BCCA,2A1B14,BC053B,FF9FBA,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Mon Jan 20 19:46:57 +0000 2020,1219345589768466435,1219345589768466435,"@AberEnglishDept @AberUni Thank you, my wonderful former department! ❤️",False,"[26, 71]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2193452075667497e+18,1219345207566749699,1009281631.0,1009281631,AberEnglishDept,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'AberEnglishDept', 'name': 'AberEnglishDept', 'id': 1009281631, 'id_str': '1009281631', 'indices': [0, 16]}, {'screen_name': 'AberUni', 'name': 'Aberystwyth University', 'id': 18721907, 'id_str': '18721907', 'indices': [17, 25]}]",[],en,recent,936297832058933248,936297832058933248,Molly 🌈,Sonder_98,"Aberystwyth, Wales","MA student.
BA Art and English Lit graduate. Lover of cycling, music and tasty food. Etsy link below for my Fine Art Prints 🎨",https://t.co/ZBljQr6zqq,[],False,54,158,0,Thu Nov 30 18:16:13 +0000 2017,1988,,,False,False,661,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1205481105622806528/BhDjZDgm_normal.jpg,https://pbs.twimg.com/profile_images/1205481105622806528/BhDjZDgm_normal.jpg,https://pbs.twimg.com/profile_banners/936297832058933248/1579541301,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/ZBljQr6zqq', 'expanded_url': 'https://etsy.me/2IaDqBO', 'display_url': 'etsy.me/2IaDqBO', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Mon Jan 20 19:45:26 +0000 2020,1219345207566749699,1219345207566749699,@Sonder_98 @AberUni I love those! They're fabulous.,False,"[20, 51]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2193111261497672e+18,1219311126149767169,9.362978320589332e+17,936297832058933248,Sonder_98,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Sonder_98', 'name': 'Molly 🌈', 'id': 936297832058933248, 'id_str': '936297832058933248', 'indices': [0, 10]}, {'screen_name': 'AberUni', 'name': 'Aberystwyth University', 'id': 18721907, 'id_str': '18721907', 'indices': [11, 19]}]",[],en,recent,1009281631,1009281631,AberEnglishDept,AberEnglishDept,,Aberystwyth University's award-winning Dept of English & Creative Writing. Top 3 UK ECW departments & #1 for Assessment and Feedback (NSS) Also @AdranSaesnegAU,https://t.co/IYaTe1E550,[],False,1641,1478,32,Thu Dec 13 17:09:30 +0000 2012,9676,,,True,False,10190,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/710072299181969408/gOOTAD6U_normal.jpg,https://pbs.twimg.com/profile_images/710072299181969408/gOOTAD6U_normal.jpg,https://pbs.twimg.com/profile_banners/1009281631/1389026486,002DB3,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/IYaTe1E550', 'expanded_url': 'http://www.aber.ac.uk/en/english/', 'display_url': 'aber.ac.uk/en/english/', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Mon Jan 20 13:36:50 +0000 2020,1219252446607835138,1219252446607835138,"@ProfDiCrone @cardiffmet @cardiffuni @swanseauni @RWCMD @UniSouthWales @UWTSD @AberUni Please RT thread:

I’m investigating demand for a pop-up childcare service for academic conferences in S Wales. 1/2",False,"[0, 202]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,2314156936.0,2314156936,ProfDiCrone,,,,False,1,2,False,False,en,[],[],"[{'screen_name': 'ProfDiCrone', 'name': 'Diane Crone #FBPE', 'id': 2314156936, 'id_str': '2314156936', 'indices': [0, 12]}, {'screen_name': 'cardiffmet', 'name': 'Cardiff Metropolitan University', 'id': 19019152, 'id_str': '19019152', 'indices': [13, 24]}, {'screen_name': 'cardiffuni', 'name': 'Cardiff University', 'id': 12134862, 'id_str': '12134862', 'indices': [25, 36]}, {'screen_name': 'SwanseaUni', 'name': 'Swansea University', 'id': 62489200, 'id_str': '62489200', 'indices': [37, 48]}, {'screen_name': 'RWCMD', 'name': 'Royal Welsh College of Music & Drama', 'id': 41679716, 'id_str': '41679716', 'indices': [49, 55]}, {'screen_name': 'UniSouthWales', 'name': 'University of South Wales', 'id': 14360811, 'id_str': '14360811', 'indices': [56, 70]}, {'screen_name': 'UWTSD', 'name': 'University of Wales Trinity Saint David', 'id': 41316129, 'id_str': '41316129', 'indices': [71, 77]}, {'screen_name': 'AberUni', 'name': 'Aberystwyth University', 'id': 18721907, 'id_str': '18721907', 'indices': [78, 86]}]",[],en,recent,1217952271197245441,1217952271197245441,Event Childcare Research,ChildcareEvent,Cardiff Metropolitan Uni,Cardiff Metropolitan University postgraduate student researching childcare provision for academic conferences 📨: st20129258@outlook.cardiffmet.ac.uk,,[],False,2,9,0,Thu Jan 16 23:30:33 +0000 2020,0,,,False,False,2,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1219240264516149248/FGutu6BP_normal.jpg,https://pbs.twimg.com/profile_images/1219240264516149248/FGutu6BP_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Mon Jan 20 11:31:41 +0000 2020,1219220951361118208,1219220951361118208,"11) The ""contact an expert"" was generally so poor that it again made a mockery of impact. If you can't easily find the most relevant expert then why bother asking that university? @AberUni was easiest, in fact it was superbly designed to find who does what and how to contact.",False,"[0, 276]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2192209501488824e+18,1219220950148882432,268524627.0,268524627,Seismic_Newts,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'AberUni', 'name': 'Aberystwyth University', 'id': 18721907, 'id_str': '18721907', 'indices': [180, 188]}]",[],en,recent,268524627,268524627,Andrew Newton🦎,Seismic_Newts,Northern Ireland,"Carbon capture & storage and high latitude/altitude geoscientist at @QUBNBE exploring geophysics, geology & climate. Views mine. For my sins @officialpompey fan",,[],False,484,1067,8,Fri Mar 18 23:33:02 +0000 2011,2231,,,True,False,2220,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/544429881162235904/nbiXsc3P_normal.jpeg,https://pbs.twimg.com/profile_images/544429881162235904/nbiXsc3P_normal.jpeg,https://pbs.twimg.com/profile_banners/268524627/1367329361,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
