,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
5,Fri Jan 24 19:38:06 +0000 2020,1220792915343151105,1220792915343151105,"@_colm_ @utmbhealth Yes, they have a ""Gender and Sexual Diversity Patient Training"" next month.",False,"[20, 95]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207679163937137e+18,1220767916393713664,15483332.0,15483332,_colm_,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': '_colm_', 'name': 'Dr. Colm Atkins', 'id': 15483332, 'id_str': '15483332', 'indices': [0, 7]}, {'screen_name': 'utmbhealth', 'name': 'UTMB Health', 'id': 83675581, 'id_str': '83675581', 'indices': [8, 19]}]",[],en,recent,1197552513140047873,1197552513140047873,Corri Levine,CBLevineMS,,PhD candidate studying #ebola @UTMBGSBS. MPH student @UTMB_PrevMed focused on #infection #prevention and control. All opinions are my own.,https://t.co/ZWT3Kiq4my,[],False,49,321,0,Thu Nov 21 16:29:10 +0000 2019,70,,,False,False,52,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1214405513653444608/DcAK8leX_normal.jpg,https://pbs.twimg.com/profile_images/1214405513653444608/DcAK8leX_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/ZWT3Kiq4my', 'expanded_url': 'http://www.linkedin.com/in/corri-b-levine', 'display_url': 'linkedin.com/in/corri-b-lev…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fri Jan 24 17:55:29 +0000 2020,1220767087976685569,1220767087976685569,"Overheard some med students @utmbhealth ""As physicians it's really important we know our patients' demographics and take that into account."" Social determinants of health",False,"[0, 170]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'utmbhealth', 'name': 'UTMB Health', 'id': 83675581, 'id_str': '83675581', 'indices': [28, 39]}]",[],en,recent,1197552513140047873,1197552513140047873,Corri Levine,CBLevineMS,,PhD candidate studying #ebola @UTMBGSBS. MPH student @UTMB_PrevMed focused on #infection #prevention and control. All opinions are my own.,https://t.co/ZWT3Kiq4my,[],False,49,321,0,Thu Nov 21 16:29:10 +0000 2019,70,,,False,False,52,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1214405513653444608/DcAK8leX_normal.jpg,https://pbs.twimg.com/profile_images/1214405513653444608/DcAK8leX_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/ZWT3Kiq4my', 'expanded_url': 'http://www.linkedin.com/in/corri-b-levine', 'display_url': 'linkedin.com/in/corri-b-lev…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fri Jan 24 16:16:10 +0000 2020,1220742096786726912,1220742096786726912,@CBHSRichMath @jefflukens0613 @T3Learns @TICalculators @TXInstruments @VernierST @TexasSTEM @utmbhealth @jefflukens0613 is the best!,False,"[104, 132]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207351318598e+18,1220735131859800064,8.982786754472632e+17,898278675447263233,CBHSRichMath,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'CBHSRichMath', 'name': 'Mrs. Lisa Richardson', 'id': 898278675447263233, 'id_str': '898278675447263233', 'indices': [0, 13]}, {'screen_name': 'jefflukens0613', 'name': 'Jeff Lukens', 'id': 2657939292, 'id_str': '2657939292', 'indices': [14, 29]}, {'screen_name': 'T3Learns', 'name': 'T3Learns', 'id': 4567335554, 'id_str': '4567335554', 'indices': [30, 39]}, {'screen_name': 'TICalculators', 'name': 'Texas Instruments Education', 'id': 18200424, 'id_str': '18200424', 'indices': [40, 54]}, {'screen_name': 'TXInstruments', 'name': 'Texas Instruments', 'id': 13613292, 'id_str': '13613292', 'indices': [55, 69]}, {'screen_name': 'VernierST', 'name': 'Vernier', 'id': 20822211, 'id_str': '20822211', 'indices': [70, 80]}, {'screen_name': 'TexasSTEM', 'name': 'Texas STEM Coalition', 'id': 520056415, 'id_str': '520056415', 'indices': [81, 91]}, {'screen_name': 'utmbhealth', 'name': 'UTMB Health', 'id': 83675581, 'id_str': '83675581', 'indices': [92, 103]}, {'screen_name': 'jefflukens0613', 'name': 'Jeff Lukens', 'id': 2657939292, 'id_str': '2657939292', 'indices': [104, 119]}]",[],en,recent,430196454,430196454,Jennie K,JennieKelly04,Texas,"Pre-AP Algebra 2 and AP Computer Science Principles Teacher, T^3 Regional Instructor",https://t.co/K8byTtOkeO,[],False,193,441,5,Tue Dec 06 21:44:41 +0000 2011,248,,,False,False,384,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/720939820852195329/t3tjXNTy_normal.jpg,https://pbs.twimg.com/profile_images/720939820852195329/t3tjXNTy_normal.jpg,0099B9,5ED4DC,95E8EC,3C3940,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/K8byTtOkeO', 'expanded_url': 'http://www.parentfunction.net', 'display_url': 'parentfunction.net', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fri Jan 24 15:29:32 +0000 2020,1220730358565605386,1220730358565605386,"RT @NatureConf: The last day to submit papers for this conference is Monday, January 27 at 6 pm EST. Don't let the opportunity pass!
RT and…",False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'NatureConf', 'name': 'NatureConferences', 'id': 342710270, 'id_str': '342710270', 'indices': [3, 14]}]",[],en,recent,206255645,206255645,Nature Communications,NatureComms,"London, Berlin, New York and Shanghai","Nature Communications is an open access journal publishing high-quality research in all areas of the biological, physical, chemical and Earth sciences.",https://t.co/WVjnsRKlJ5,[],False,94716,483,1308,Fri Oct 22 15:52:51 +0000 2010,3532,,,False,True,14946,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1187008072948027392/vrIu9cof_normal.jpg,https://pbs.twimg.com/profile_images/1187008072948027392/vrIu9cof_normal.jpg,0084B4,C0DEED,DDEEF6,333333,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/WVjnsRKlJ5', 'expanded_url': 'http://nature.com/naturecommunications', 'display_url': 'nature.com/naturecommunic…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/206255645/1579272265,,,,,,,,,,,Fri Jan 24 11:00:00 +0000 2020,1.2206625295774228e+18,1220662529577422848,"The last day to submit papers for this conference is Monday, January 27 at 6 pm EST. Don't let the opportunity pass!
RT and tell your colleagues and friends.

@utmbhealth @NatureComms @Nature_NPJ #VectorborneID20",False,"[0, 212]","[{'text': 'VectorborneID20', 'indices': [196, 212]}]",[],"[{'screen_name': 'utmbhealth', 'name': 'UTMB Health', 'id': 83675581, 'id_str': '83675581', 'indices': [159, 170]}, {'screen_name': 'NatureComms', 'name': 'Nature Communications', 'id': 206255645, 'id_str': '206255645', 'indices': [171, 183]}, {'screen_name': 'Nature_NPJ', 'name': 'Nature Partner Jnls', 'id': 3445189401, 'id_str': '3445189401', 'indices': [184, 195]}]",[],en,recent,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,342710270.0,342710270,NatureConferences,NatureConf,Worldwide,"Unique events committed to scientific excellence by the editorial team of Nature. New conferences added every month, visit our website for the latest info.",https://t.co/UbRKP2Lhxb,"[{'url': 'https://t.co/UbRKP2Lhxb', 'expanded_url': 'http://www.nature.com/natureconferences', 'display_url': 'nature.com/natureconferen…', 'indices': [0, 23]}]",[],False,6775.0,409.0,124.0,Tue Jul 26 13:21:26 +0000 2011,660.0,,,True,False,1031.0,,False,False,False,C91C33,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1194318821257089025/RpRd4Tw8_normal.jpg,https://pbs.twimg.com/profile_images/1194318821257089025/RpRd4Tw8_normal.jpg,https://pbs.twimg.com/profile_banners/342710270/1559161716,009999,EEEEEE,EFEFEF,333333,False,False,False,False,False,False,False,none,,,,,False,2.0,5.0,False,False,en,,,,,,,,,,
16,Fri Jan 24 11:00:00 +0000 2020,1220662529577422848,1220662529577422848,"The last day to submit papers for this conference is Monday, January 27 at 6 pm EST. Don't let the opportunity pass!
RT and tell your colleagues and friends.

@utmbhealth @NatureComms @Nature_NPJ #VectorborneID20",False,"[0, 212]","<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,,,,,False,2,5,False,False,en,"[{'text': 'VectorborneID20', 'indices': [196, 212]}]",[],"[{'screen_name': 'utmbhealth', 'name': 'UTMB Health', 'id': 83675581, 'id_str': '83675581', 'indices': [159, 170]}, {'screen_name': 'NatureComms', 'name': 'Nature Communications', 'id': 206255645, 'id_str': '206255645', 'indices': [171, 183]}, {'screen_name': 'Nature_NPJ', 'name': 'Nature Partner Jnls', 'id': 3445189401, 'id_str': '3445189401', 'indices': [184, 195]}]",[],en,recent,342710270,342710270,NatureConferences,NatureConf,Worldwide,"Unique events committed to scientific excellence by the editorial team of Nature. New conferences added every month, visit our website for the latest info.",https://t.co/UbRKP2Lhxb,[],False,6775,409,124,Tue Jul 26 13:21:26 +0000 2011,660,,,True,False,1031,,False,False,False,C91C33,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1194318821257089025/RpRd4Tw8_normal.jpg,https://pbs.twimg.com/profile_images/1194318821257089025/RpRd4Tw8_normal.jpg,009999,EEEEEE,EFEFEF,333333,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/UbRKP2Lhxb', 'expanded_url': 'http://www.nature.com/natureconferences', 'display_url': 'nature.com/natureconferen…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/342710270/1559161716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Fri Jan 24 01:24:01 +0000 2020,1220517578184982528,1220517578184982528,"@CBLevineMS @clpennel @utmbhealth @UTMBGSBS @UTMB_PrevMed Echoing some of the other responses but affordable housing, jobs, and transportation.",False,"[58, 143]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220384210445357e+18,1220384210445357057,1.197552513140048e+18,1197552513140047873,CBLevineMS,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'CBLevineMS', 'name': 'Corri Levine', 'id': 1197552513140047873, 'id_str': '1197552513140047873', 'indices': [0, 11]}, {'screen_name': 'clpennel', 'name': 'Cara Pennel', 'id': 184038003, 'id_str': '184038003', 'indices': [12, 21]}, {'screen_name': 'utmbhealth', 'name': 'UTMB Health', 'id': 83675581, 'id_str': '83675581', 'indices': [22, 33]}, {'screen_name': 'UTMBGSBS', 'name': 'UTMBGradSchoolBioSci', 'id': 3188882882, 'id_str': '3188882882', 'indices': [34, 43]}, {'screen_name': 'UTMB_PrevMed', 'name': 'UTMB Preventive Medicine & Population Health', 'id': 1110308703373283328, 'id_str': '1110308703373283328', 'indices': [44, 57]}]",[],en,recent,1021417557079855106,1021417557079855106,Leslie Stalnaker,LeslieStal,,"Program Manager for @UTMB_PrevMed in Galveston, TX. Student at @UTexasSPH. Passionate about public health, social justice, and education.

Tweets are my own.",,[],False,96,329,1,Mon Jul 23 15:31:37 +0000 2018,1386,,,True,False,266,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1024332426179297280/PqYxzHy9_normal.jpg,https://pbs.twimg.com/profile_images/1024332426179297280/PqYxzHy9_normal.jpg,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/1021417557079855106/1576040820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 00:56:15 +0000 2020,1220510592882167808,1220510592882167808,"@LustmanShelley @PeterHotez @BCM_TropMed @TCHGlobalHealth @TexasChildrens @utmbhealth @NYBloodCenter @FudanUniv Which sources would you like? Epidemiological, clinical, immunological, or genomic? A good deal of data exists to support this, data that are readily and publicly available online published by a variety of public health departments across the globe.",False,"[112, 361]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204373553136722e+18,1220437355313672193,8.896834376735293e+17,889683437673529346,LustmanShelley,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'LustmanShelley', 'name': 'shelley lustman', 'id': 889683437673529346, 'id_str': '889683437673529346', 'indices': [0, 15]}, {'screen_name': 'PeterHotez', 'name': 'Prof Peter Hotez MD PhD', 'id': 593289567, 'id_str': '593289567', 'indices': [16, 27]}, {'screen_name': 'BCM_TropMed', 'name': 'BCM_TropMed', 'id': 2801959208, 'id_str': '2801959208', 'indices': [28, 40]}, {'screen_name': 'TCHGlobalHealth', 'name': 'TCHGlobalHealth', 'id': 1377714433, 'id_str': '1377714433', 'indices': [41, 57]}, {'screen_name': 'TexasChildrens', 'name': ""Texas Children's"", 'id': 15393700, 'id_str': '15393700', 'indices': [58, 73]}, {'screen_name': 'utmbhealth', 'name': 'UTMB Health', 'id': 83675581, 'id_str': '83675581', 'indices': [74, 85]}, {'screen_name': 'NYBloodCenter', 'name': 'NY Blood Center', 'id': 42145896, 'id_str': '42145896', 'indices': [86, 100]}, {'screen_name': 'FudanUniv', 'name': 'FuDan University', 'id': 392569009, 'id_str': '392569009', 'indices': [101, 111]}]",[],en,recent,19869115,19869115,Helen Valier,HelenValier,"Houston, TX","Medical hist/phil PhD; critical EBM & health systems; forced migration & global health. Roaming Englishwoman in spare time. She/her🏳️‍🌈 UCC, Church in Society",,[],False,179,767,0,Sun Feb 01 18:19:33 +0000 2009,5460,,,True,False,1512,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1216154559204163587/0Sy-E4Gc_normal.jpg,https://pbs.twimg.com/profile_images/1216154559204163587/0Sy-E4Gc_normal.jpg,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/19869115/1578789520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fri Jan 24 00:33:56 +0000 2020,1220504975253606400,1220504975253606400,"@CBLevineMS @clpennel @utmbhealth @UTMBGSBS @UTMB_PrevMed Absolutely. Mental health, dental, vision, all types of care.",False,"[58, 119]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.2204866674816246e+18,1220486667481624576,1.197552513140048e+18,1197552513140047873,CBLevineMS,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'CBLevineMS', 'name': 'Corri Levine', 'id': 1197552513140047873, 'id_str': '1197552513140047873', 'indices': [0, 11]}, {'screen_name': 'clpennel', 'name': 'Cara Pennel', 'id': 184038003, 'id_str': '184038003', 'indices': [12, 21]}, {'screen_name': 'utmbhealth', 'name': 'UTMB Health', 'id': 83675581, 'id_str': '83675581', 'indices': [22, 33]}, {'screen_name': 'UTMBGSBS', 'name': 'UTMBGradSchoolBioSci', 'id': 3188882882, 'id_str': '3188882882', 'indices': [34, 43]}, {'screen_name': 'UTMB_PrevMed', 'name': 'UTMB Preventive Medicine & Population Health', 'id': 1110308703373283328, 'id_str': '1110308703373283328', 'indices': [44, 57]}]",[],en,recent,803749627,803749627,Laura Rudkin,laura_rudkin,"Galveston, Texas",Professor of Preventive Medicine & Population Health @UTMB_PrevMed. Alum of @uiowa @Princeton sociology and demography. she/her,https://t.co/Pu6qmdi0Td,[],False,234,646,1,Wed Sep 05 03:16:25 +0000 2012,1038,,,False,False,633,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/433453666331144192/VqvRvbvw_normal.jpeg,https://pbs.twimg.com/profile_images/433453666331144192/VqvRvbvw_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/Pu6qmdi0Td', 'expanded_url': 'http://pmch.utmb.edu', 'display_url': 'pmch.utmb.edu', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/803749627/1569896535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Thu Jan 23 23:41:08 +0000 2020,1220491686780067840,1220491686780067840,@CBLevineMS @clpennel @utmbhealth @UTMBGSBS @UTMB_PrevMed Access to affordable health food and a good quality education,False,"[58, 119]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220384210445357e+18,1220384210445357057,1.197552513140048e+18,1197552513140047873,CBLevineMS,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'CBLevineMS', 'name': 'Corri Levine', 'id': 1197552513140047873, 'id_str': '1197552513140047873', 'indices': [0, 11]}, {'screen_name': 'clpennel', 'name': 'Cara Pennel', 'id': 184038003, 'id_str': '184038003', 'indices': [12, 21]}, {'screen_name': 'utmbhealth', 'name': 'UTMB Health', 'id': 83675581, 'id_str': '83675581', 'indices': [22, 33]}, {'screen_name': 'UTMBGSBS', 'name': 'UTMBGradSchoolBioSci', 'id': 3188882882, 'id_str': '3188882882', 'indices': [34, 43]}, {'screen_name': 'UTMB_PrevMed', 'name': 'UTMB Preventive Medicine & Population Health', 'id': 1110308703373283328, 'id_str': '1110308703373283328', 'indices': [44, 57]}]",[],en,recent,3242492633,3242492633,Craig Klugman,CraigKlugman,"Chicago, IL","@bioethics_net, @DePaulU, @DePaulHlthSci #depaulbioethics, #bioethicsTV, #ArtRounds, #GraphicBioethics",https://t.co/SBzoeCScaN,[],False,547,191,12,Fri May 08 21:41:52 +0000 2015,2098,,,True,False,2704,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/963519477840150531/vkU0idfc_normal.jpg,https://pbs.twimg.com/profile_images/963519477840150531/vkU0idfc_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/SBzoeCScaN', 'expanded_url': 'http://craigklugman.com', 'display_url': 'craigklugman.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Thu Jan 23 23:21:11 +0000 2020,1220486667481624576,1220486667481624576,@laura_rudkin @clpennel @utmbhealth @UTMBGSBS @UTMB_PrevMed These topics came up in several of my interviews with Galveston county residents. Access to mental health services was highlighted by one person.,False,"[60, 205]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204805376908534e+18,1220480537690853376,803749627.0,803749627,laura_rudkin,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'laura_rudkin', 'name': 'Laura Rudkin', 'id': 803749627, 'id_str': '803749627', 'indices': [0, 13]}, {'screen_name': 'clpennel', 'name': 'Cara Pennel', 'id': 184038003, 'id_str': '184038003', 'indices': [14, 23]}, {'screen_name': 'utmbhealth', 'name': 'UTMB Health', 'id': 83675581, 'id_str': '83675581', 'indices': [24, 35]}, {'screen_name': 'UTMBGSBS', 'name': 'UTMBGradSchoolBioSci', 'id': 3188882882, 'id_str': '3188882882', 'indices': [36, 45]}, {'screen_name': 'UTMB_PrevMed', 'name': 'UTMB Preventive Medicine & Population Health', 'id': 1110308703373283328, 'id_str': '1110308703373283328', 'indices': [46, 59]}]",[],en,recent,1197552513140047873,1197552513140047873,Corri Levine,CBLevineMS,,PhD candidate studying #ebola @UTMBGSBS. MPH student @UTMB_PrevMed focused on #infection #prevention and control. All opinions are my own.,https://t.co/ZWT3Kiq4my,[],False,49,321,0,Thu Nov 21 16:29:10 +0000 2019,70,,,False,False,52,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1214405513653444608/DcAK8leX_normal.jpg,https://pbs.twimg.com/profile_images/1214405513653444608/DcAK8leX_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/ZWT3Kiq4my', 'expanded_url': 'http://www.linkedin.com/in/corri-b-levine', 'display_url': 'linkedin.com/in/corri-b-lev…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
