,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.profile_banner_url,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
4,Sun Jan 26 01:38:53 +0000 2020,1221246097194176514,1221246097194176514,RT @BGSUesports: Great job to @bgsu very own all female a cappella group the @AcousChicksBG at their performance tonight! Way to rock the I…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,4,0,False,False,en,[],[],"[{'screen_name': 'BGSUesports', 'name': 'BGSU Esports', 'id': 852638257397596162, 'id_str': '852638257397596162', 'indices': [3, 15]}, {'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [30, 35]}, {'screen_name': 'AcousChicksBG', 'name': 'AcousChicks', 'id': 3098120671, 'id_str': '3098120671', 'indices': [77, 91]}]",[],en,recent,1564686368,1564686368,Val Buchanan ♡,ValerieB98,,| bgsu ‘22 |,,[],False,404,487,0,Wed Jul 03 02:55:51 +0000 2013,4898,,,True,False,1278,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1167804970168705032/4vbqzlOo_normal.jpg,https://pbs.twimg.com/profile_images/1167804970168705032/4vbqzlOo_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1564686368/1574397566,Sun Jan 26 01:14:10 +0000 2020,1.2212398744576246e+18,1221239874457624576,Great job to @bgsu very own all female a cappella group the @AcousChicksBG at their performance tonight! Way to rock the ICCA’s!,False,"[0, 128]",[],[],"[{'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [13, 18]}, {'screen_name': 'AcousChicksBG', 'name': 'AcousChicks', 'id': 3098120671, 'id_str': '3098120671', 'indices': [60, 74]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,8.526382573975962e+17,852638257397596162,BGSU Esports,BGSUesports,"Bowling Green, OH",Official Bowling Green Esports Twitter | Meetings: Biweekly on Wednesdays @ 6 PM 223 Eppler Center,https://t.co/29BJPHcgp2,"[{'url': 'https://t.co/29BJPHcgp2', 'expanded_url': 'http://bgsuesports.org', 'display_url': 'bgsuesports.org', 'indices': [0, 23]}]",[],False,156.0,132.0,0.0,Thu Apr 13 21:42:56 +0000 2017,28.0,,,False,False,88.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1160600416809377792/FrAouuZx_normal.jpg,https://pbs.twimg.com/profile_images/1160600416809377792/FrAouuZx_normal.jpg,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,4.0,9.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,
6,Sun Jan 26 01:26:51 +0000 2020,1221243068827033600,1221243068827033600,@BGSUesports @bgsu Thank you!!! 💙💙,False,"[19, 34]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212398744576246e+18,1221239874457624576,8.526382573975962e+17,852638257397596162,BGSUesports,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'BGSUesports', 'name': 'BGSU Esports', 'id': 852638257397596162, 'id_str': '852638257397596162', 'indices': [0, 12]}, {'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [13, 18]}]",[],en,recent,3098120671,3098120671,AcousChicks,AcousChicksBG,"Bowling Green, OH",All-female a cappella group at BGSU✨ Contact us: acouschicksofficial@gmail.com,,[],False,258,58,2,Thu Mar 19 15:14:59 +0000 2015,514,,,True,False,524,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1034561398309892099/V-5m2fGK_normal.jpg,https://pbs.twimg.com/profile_images/1034561398309892099/V-5m2fGK_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/3098120671/1535493634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sun Jan 26 01:26:43 +0000 2020,1221243032344895489,1221243032344895489,RT @BGSUesports: Great job to @bgsu very own all female a cappella group the @AcousChicksBG at their performance tonight! Way to rock the I…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,4,0,False,False,en,[],[],"[{'screen_name': 'BGSUesports', 'name': 'BGSU Esports', 'id': 852638257397596162, 'id_str': '852638257397596162', 'indices': [3, 15]}, {'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [30, 35]}, {'screen_name': 'AcousChicksBG', 'name': 'AcousChicks', 'id': 3098120671, 'id_str': '3098120671', 'indices': [77, 91]}]",[],en,recent,3098120671,3098120671,AcousChicks,AcousChicksBG,"Bowling Green, OH",All-female a cappella group at BGSU✨ Contact us: acouschicksofficial@gmail.com,,[],False,258,58,2,Thu Mar 19 15:14:59 +0000 2015,514,,,True,False,524,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1034561398309892099/V-5m2fGK_normal.jpg,https://pbs.twimg.com/profile_images/1034561398309892099/V-5m2fGK_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/3098120671/1535493634,Sun Jan 26 01:14:10 +0000 2020,1.2212398744576246e+18,1221239874457624576,Great job to @bgsu very own all female a cappella group the @AcousChicksBG at their performance tonight! Way to rock the ICCA’s!,False,"[0, 128]",[],[],"[{'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [13, 18]}, {'screen_name': 'AcousChicksBG', 'name': 'AcousChicks', 'id': 3098120671, 'id_str': '3098120671', 'indices': [60, 74]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,8.526382573975962e+17,852638257397596162,BGSU Esports,BGSUesports,"Bowling Green, OH",Official Bowling Green Esports Twitter | Meetings: Biweekly on Wednesdays @ 6 PM 223 Eppler Center,https://t.co/29BJPHcgp2,"[{'url': 'https://t.co/29BJPHcgp2', 'expanded_url': 'http://bgsuesports.org', 'display_url': 'bgsuesports.org', 'indices': [0, 23]}]",[],False,156.0,132.0,0.0,Thu Apr 13 21:42:56 +0000 2017,28.0,,,False,False,88.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1160600416809377792/FrAouuZx_normal.jpg,https://pbs.twimg.com/profile_images/1160600416809377792/FrAouuZx_normal.jpg,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,4.0,9.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,
12,Sat Jan 25 14:25:48 +0000 2020,1221076708037681152,1221076708037681152,"@OSHP I was a freshman at @BGSU. Isolated for about a week, much of it without water and dwindling food supplies. Lots of crazy stories!",False,"[6, 136]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221062692145967e+18,1221062692145967105,15516354.0,15516354,OSHP,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'OSHP', 'name': 'Ohio State Patrol', 'id': 15516354, 'id_str': '15516354', 'indices': [0, 5]}, {'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [26, 31]}]",[],en,recent,435457427,435457427,Jim Rudloff 🇺🇸🇻🇪⚓️📫,JimRudloff,"Zanesville, Ohio","Web Guy & SID, Zanesville CS. PA anncr. Var. golf & asst. var. baseball coach, ZHS. Runner! BGSU '82 Also: @ZVilleSchools @ZHS_Athletics @ZHS_Golf @ZHS_Baseball",https://t.co/Y4sSmca8ko,[],False,1043,1974,30,Tue Dec 13 02:45:23 +0000 2011,17020,,,True,False,27989,,False,False,False,0033FF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/820664992324354048/fcUk5ET__normal.jpg,https://pbs.twimg.com/profile_images/820664992324354048/fcUk5ET__normal.jpg,0033FF,000000,DDEEF6,333333,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/435457427/1529209935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/Y4sSmca8ko', 'expanded_url': 'http://www.zanesville.k12.oh.us', 'display_url': 'zanesville.k12.oh.us', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,
13,Sat Jan 25 12:58:19 +0000 2020,1221054691758497792,1221054691758497792,@bgsu @BGSU_Cheer Roll along,False,"[18, 28]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207415989103206e+18,1220741598910320640,17388662.0,17388662,bgsu,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [0, 5]}, {'screen_name': 'BGSU_Cheer', 'name': 'BGSU Cheerleading', 'id': 1511761004, 'id_str': '1511761004', 'indices': [6, 17]}]",[],en,recent,3198202972,3198202972,Jeremy Baker,FancyPantsWTVD,,"Photojournalist, ENG operator, Editor, reigning champion of 2 board games, nerd, husband, dad, SICSIC alumni, and burrito lover.",https://t.co/Ui3JFRsgNo,[],False,333,189,23,Thu Apr 23 14:28:32 +0000 2015,514,,,True,False,4793,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1156601497053999105/xzV690_e_normal.jpg,https://pbs.twimg.com/profile_images/1156601497053999105/xzV690_e_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/3198202972/1512600001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/Ui3JFRsgNo', 'expanded_url': 'http://abc11.com', 'display_url': 'abc11.com', 'indices': [0, 23]}]",3b98b02fba3f9753,https://api.twitter.com/1.1/geo/id/3b98b02fba3f9753.json,admin,North Carolina,"North Carolina, USA",US,United States,[],Polygon,"[[[-84.3219475, 33.752879], [-75.40012, 33.752879], [-75.40012, 36.588118], [-84.3219475, 36.588118]]]",,,,,,,,,,,
17,Thu Jan 23 21:24:34 +0000 2020,1220457317470298130,1220457317470298130,@mollygmartin @bgsu @NewAmerica We are so excited to have you give our keynote address!,False,"[32, 87]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204466725532385e+18,1220446672553238532,24942624.0,24942624,mollygmartin,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'mollygmartin', 'name': 'Molly G. Martin', 'id': 24942624, 'id_str': '24942624', 'indices': [0, 13]}, {'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [14, 19]}, {'screen_name': 'NewAmerica', 'name': 'New America', 'id': 7091082, 'id_str': '7091082', 'indices': [20, 31]}]",[],en,recent,2891151965,2891151965,Center for Regional Development,CRDBGSU,"Bowling Green, OH",The Center for Regional Development at Bowling Green State University focuses on regional economic research and community development in Northwest Ohio,https://t.co/hEU1br2Ew2,[],False,222,156,4,Mon Nov 24 18:40:27 +0000 2014,473,,,False,False,344,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/758004714822852608/jHV9t5nZ_normal.jpg,https://pbs.twimg.com/profile_images/758004714822852608/jHV9t5nZ_normal.jpg,FF7300,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2891151965/1470244192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/hEU1br2Ew2', 'expanded_url': 'http://www.bgsu.edu/crd', 'display_url': 'bgsu.edu/crd', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,
25,Wed Jan 22 16:41:09 +0000 2020,1220023608438816768,1220023608438816768,@KitHughesBG @NWSL @BGathletics @bgsu couldn’t have asked for a better university to attend!! once a falcon always a falcon🧡,False,"[38, 124]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200199135295488e+18,1220019913529548800,2484398171.0,2484398171,KitHughesBG,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'KitHughesBG', 'name': 'Kit Hughes', 'id': 2484398171, 'id_str': '2484398171', 'indices': [0, 12]}, {'screen_name': 'NWSL', 'name': 'NWSL', 'id': 1013399942, 'id_str': '1013399942', 'indices': [13, 18]}, {'screen_name': 'BGathletics', 'name': 'BGSU Athletics', 'id': 31186714, 'id_str': '31186714', 'indices': [19, 31]}, {'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [32, 37]}]",[],en,recent,560042254,560042254,Chelsee Washington,ChelsWashington,dallas,perhaps this is the moment for which you have been created | bgsu ‘20⚽️,,[],False,1095,632,5,Sun Apr 22 03:50:53 +0000 2012,11901,,,True,False,11990,,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/1200540024455991296/PMDywgkc_normal.jpg,https://pbs.twimg.com/profile_images/1200540024455991296/PMDywgkc_normal.jpg,DB115B,65B0DA,7AC3EE,3D1957,True,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/560042254/1570784787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Wed Jan 22 12:23:49 +0000 2020,1219958846246047744,1219958846246047744,"@K_LaVenia @edhdbgsu @bgsu Ah, the memories! 19 years ago, this was me!",False,"[27, 71]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.219712504156369e+18,1219712504156368896,1.1797559246946755e+18,1179755924694675466,K_LaVenia,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'K_LaVenia', 'name': 'Kristina LaVenia', 'id': 1179755924694675466, 'id_str': '1179755924694675466', 'indices': [0, 10]}, {'screen_name': 'edhdbgsu', 'name': 'BGSU College of EDHD', 'id': 770269349357711361, 'id_str': '770269349357711361', 'indices': [11, 20]}, {'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [21, 26]}]",[],en,recent,2306882497,2306882497,Mary-Jon Ludy,MJLudy,"Bowling Green, OH","Registered dietitian, nutrition scientist, and professor.",,[],False,733,702,10,Thu Jan 23 16:33:12 +0000 2014,2394,,,True,False,1116,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/921863480382230528/6N1IQSES_normal.jpg,https://pbs.twimg.com/profile_images/921863480382230528/6N1IQSES_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2306882497/1390686498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001bdb1154d55f66,https://api.twitter.com/1.1/geo/id/001bdb1154d55f66.json,city,Bowling Green,"Bowling Green, OH",US,United States,[],Polygon,"[[[-83.690916, 41.348047], [-83.6007019, 41.348047], [-83.6007019, 41.426132], [-83.690916, 41.426132]]]",,,,,,,,,,,
32,Mon Jan 20 04:11:58 +0000 2020,1219110293587910656,1219110293587910656,RT @riddhima_rs: 1. Good afternoon everyone! I'm Riddhima. I'm a doctoral student @bgsu and have worked in the digital feminist space throu…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,6,0,False,False,en,[],[],"[{'screen_name': 'riddhima_rs', 'name': 'Riddhima Sharma', 'id': 2532197070, 'id_str': '2532197070', 'indices': [3, 15]}, {'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [82, 87]}]",[],en,recent,108282184,108282184,Umar Farooq,Umarstar,India,"'You don't fight fascism because you are going to win, you fight fascism because it is fascist.'
Jean Paul Sartre",,[],False,88,455,0,Mon Jan 25 12:50:03 +0000 2010,18086,,,False,False,20937,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1108973287391014912/DURxoW2x_normal.png,https://pbs.twimg.com/profile_images/1108973287391014912/DURxoW2x_normal.png,89C9FA,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/108282184/1577898419,Sun Jan 19 07:33:02 +0000 2020,1.2187985040148316e+18,1218798504014831616,1. Good afternoon everyone! I'm Riddhima. I'm a doctoral student @bgsu and have worked in the digital feminist space through @fempositive for just over half a decade. So excited to be presenting at #DHARTITwitterConf my first Twiter conference experience.,False,"[0, 255]","[{'text': 'DHARTITwitterConf', 'indices': [198, 216]}]",[],"[{'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [65, 70]}, {'screen_name': 'fempositive', 'name': 'FemPositive', 'id': 3180499470, 'id_str': '3180499470', 'indices': [125, 137]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,2532197070.0,2532197070,Riddhima Sharma,riddhima_rs,"Bowling Green, OH, USA","Founder @fempositive 
PhD student @BGSU",https://t.co/Fq2dytljt9,"[{'url': 'https://t.co/Fq2dytljt9', 'expanded_url': 'https://tinyurl.com/CAANRCNPRReadingList', 'display_url': 'tinyurl.com/CAANRCNPRReadi…', 'indices': [0, 23]}]",[],False,474.0,628.0,15.0,Thu May 29 08:40:03 +0000 2014,1135.0,,,False,False,2183.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1049118170588618752/Twt1i9B3_normal.jpg,https://pbs.twimg.com/profile_images/1049118170588618752/Twt1i9B3_normal.jpg,3125D9,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,False,6.0,21.0,False,False,en,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/2532197070/1576177343,,,,,,,,,,
40,Sun Jan 19 18:40:40 +0000 2020,1218966522535636997,1218966522535636997,RT @riddhima_rs: 1. Good afternoon everyone! I'm Riddhima. I'm a doctoral student @bgsu and have worked in the digital feminist space throu…,False,"[0, 140]","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>",,,,,,,,,,False,6,0,False,False,en,[],[],"[{'screen_name': 'riddhima_rs', 'name': 'Riddhima Sharma', 'id': 2532197070, 'id_str': '2532197070', 'indices': [3, 15]}, {'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [82, 87]}]",[],en,recent,263647843,263647843,Lukas Daniel Klausner,_l17r_,127.0.0.1,"mathematician • computer scientist • linguist • progressive

(he/him/his)",https://t.co/9SfR5PzUiK,[],False,3911,2066,446,Thu Mar 10 13:17:13 +0000 2011,854838,,,True,False,496591,,False,False,False,352726,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/433653826839539712/X1f5f7iY_normal.jpeg,https://pbs.twimg.com/profile_images/433653826839539712/X1f5f7iY_normal.jpeg,3269C1,829D5E,99CC33,3E4415,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/263647843/1406107221,Sun Jan 19 07:33:02 +0000 2020,1.2187985040148316e+18,1218798504014831616,1. Good afternoon everyone! I'm Riddhima. I'm a doctoral student @bgsu and have worked in the digital feminist space through @fempositive for just over half a decade. So excited to be presenting at #DHARTITwitterConf my first Twiter conference experience.,False,"[0, 255]","[{'text': 'DHARTITwitterConf', 'indices': [198, 216]}]",[],"[{'screen_name': 'bgsu', 'name': 'BGSU', 'id': 17388662, 'id_str': '17388662', 'indices': [65, 70]}, {'screen_name': 'fempositive', 'name': 'FemPositive', 'id': 3180499470, 'id_str': '3180499470', 'indices': [125, 137]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,2532197070.0,2532197070,Riddhima Sharma,riddhima_rs,"Bowling Green, OH, USA","Founder @fempositive 
PhD student @BGSU",https://t.co/Fq2dytljt9,"[{'url': 'https://t.co/Fq2dytljt9', 'expanded_url': 'https://tinyurl.com/CAANRCNPRReadingList', 'display_url': 'tinyurl.com/CAANRCNPRReadi…', 'indices': [0, 23]}]",[],False,474.0,628.0,15.0,Thu May 29 08:40:03 +0000 2014,1135.0,,,False,False,2183.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1049118170588618752/Twt1i9B3_normal.jpg,https://pbs.twimg.com/profile_images/1049118170588618752/Twt1i9B3_normal.jpg,3125D9,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,False,6.0,21.0,False,False,en,"[{'url': 'https://t.co/9SfR5PzUiK', 'expanded_url': 'http://l17r.eu', 'display_url': 'l17r.eu', 'indices': [0, 23]}]",,,,,,,,,,,https://pbs.twimg.com/profile_banners/2532197070/1576177343,,,,,,,,,,
