,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
11,Sat Jan 25 13:46:58 +0000 2020,1221066937276432386,1221066937276432386,"Favourite quote from today's (open) day @SussexUni...

One of our PhD students looking at a seagull...
""Bloody dinosaurs.""!

🤣",False,"[0, 126]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,6,False,False,en,[],[],"[{'screen_name': 'SussexUni', 'name': 'University of Sussex', 'id': 21000110, 'id_str': '21000110', 'indices': [40, 50]}]",[],en,recent,1884152480,1884152480,Das Baskill,DrDasB,Brighton,Astrophysicist by trade & Physics/Astro/Maths outreacher/educator/lecturer @SussexUni. Photographer. Nature lover. Sheffielder in Brighton. Contains sarcasm.,http://t.co/zWHPVTmtbc,[],False,1181,1096,44,Thu Sep 19 19:30:15 +0000 2013,17247,,,False,False,18665,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/921097221281648645/xboeHV9Q_normal.jpg,https://pbs.twimg.com/profile_images/921097221281648645/xboeHV9Q_normal.jpg,4321CC,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1884152480/1495148428,"[{'url': 'http://t.co/zWHPVTmtbc', 'expanded_url': 'http://www.DarrenBaskill.co.uk', 'display_url': 'DarrenBaskill.co.uk', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sat Jan 25 11:18:46 +0000 2020,1221029640111820802,1221029640111820802,"@SussexUni good afternoon, I've sent an email to the International postgraduate office for about 2 weeks now, I haven't gotten a response yet. It's urgent because it's in line with my offer (acceptance of the offer). Hoping to hear from you soon. Thanks",False,"[0, 253]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,21000110.0,21000110,SussexUni,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'SussexUni', 'name': 'University of Sussex', 'id': 21000110, 'id_str': '21000110', 'indices': [0, 10]}]",[],en,recent,917420654,917420654,"Suleiman, SK. (AESM)",Anatomist15,🌐 ,"https://t.co/gebWOjr3YN
#Anatomist #MultipleSclerosis #Neurodegeneration #MolecularBiology #GradStudent #Research",https://t.co/qk9yyeDm1I,"[{'url': 'https://t.co/gebWOjr3YN', 'expanded_url': 'https://www.slideshare.net/mobile/secret/jN8rLAOspuc1Fc', 'display_url': 'slideshare.net/mobile/secret/…', 'indices': [0, 23]}]",False,539,355,4,Wed Oct 31 18:32:33 +0000 2012,3961,,,True,False,3477,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1214656764202954753/I6tw96zS_normal.jpg,https://pbs.twimg.com/profile_images/1214656764202954753/I6tw96zS_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,"[{'url': 'https://t.co/qk9yyeDm1I', 'expanded_url': 'https://www.linkedin.com/in/shamsudeen-suleiman-2950a781', 'display_url': 'linkedin.com/in/shamsudeen-…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sat Jan 25 10:53:36 +0000 2020,1221023305345458176,1221023305345458176,@dikshadutta @Nikita_ @SussexUni Bitte :),False,"[33, 41]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2210207952684892e+18,1221020795268489216,85747103.0,85747103,dikshadutta,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'dikshadutta', 'name': 'Diksha Dutta', 'id': 85747103, 'id_str': '85747103', 'indices': [0, 12]}, {'screen_name': 'Nikita_', 'name': 'Nikita Marwaha', 'id': 21423976, 'id_str': '21423976', 'indices': [13, 21]}, {'screen_name': 'SussexUni', 'name': 'University of Sussex', 'id': 21000110, 'id_str': '21000110', 'indices': [22, 32]}]",[],en,recent,2296689098,2296689098,Sanjeev Bhaskar,TVSanjeev,Here,"Added ""Chuddies"" to OED #Chancellor@SussexUni #Yesterday #Unforgotten #Paddington2 #Spamalot #GGM #IndianDr #Kumars@42 Agent: SGascoine@unitedagents.co.uk #YNWA",,[],False,59910,1111,225,Fri Jan 17 19:57:59 +0000 2014,20484,,,False,True,29232,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/724321011286609920/qAHRQWLt_normal.jpg,https://pbs.twimg.com/profile_images/724321011286609920/qAHRQWLt_normal.jpg,0084B4,000000,DDEEF6,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2296689098/1391422154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Sat Jan 25 05:37:58 +0000 2020,1220943875180658688,1220943875180658688,@SussexUni @N_Kabeer @IDS_UK Congratulations!!!👏,False,"[29, 48]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207186482154742e+18,1220718648215474176,21000110.0,21000110,SussexUni,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'SussexUni', 'name': 'University of Sussex', 'id': 21000110, 'id_str': '21000110', 'indices': [0, 10]}, {'screen_name': 'N_Kabeer', 'name': 'Naila Kabeer', 'id': 2207167747, 'id_str': '2207167747', 'indices': [11, 20]}, {'screen_name': 'IDS_UK', 'name': 'IDS UK', 'id': 27000767, 'id_str': '27000767', 'indices': [21, 28]}]",[],en,recent,1526176465,1526176465,Kasia Popiołek,popiolekk,"Bangkok, Thailand",Feminist and digital storyteller serving @UNDPasiapac | @ids_uk alumna | views my own,,[],False,356,463,1,Mon Jun 17 23:18:40 +0000 2013,1261,,,True,False,433,,False,False,False,001329,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1178952932378591232/eJBJXq-R_normal.jpg,https://pbs.twimg.com/profile_images/1178952932378591232/eJBJXq-R_normal.jpg,9266CC,F7B565,000B17,448668,False,False,False,False,False,False,False,regular,https://pbs.twimg.com/profile_banners/1526176465/1572083536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014db45c395d0608,https://api.twitter.com/1.1/geo/id/014db45c395d0608.json,city,Thanon Phaya Thai,"Thanon Phaya Thai, Thailand",TH,Thailand,[],Polygon,"[[[100.5312951, 13.7497458], [100.5433258, 13.7497458], [100.5433258, 13.7660562], [100.5312951, 13.7660562]]]",,,,,,,,,,,
45,Fri Jan 24 21:44:10 +0000 2020,1220824637812224000,1220824637812224000,@dikshadutta @Nikita_ @SussexUni Copyright!!!! (Unless you're Asian in which case it means the right to copy - Kumars joke),False,"[33, 123]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2208217932729344e+18,1220821793272934400,85747103.0,85747103,dikshadutta,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'dikshadutta', 'name': 'Diksha Dutta', 'id': 85747103, 'id_str': '85747103', 'indices': [0, 12]}, {'screen_name': 'Nikita_', 'name': 'Nikita Marwaha', 'id': 21423976, 'id_str': '21423976', 'indices': [13, 21]}, {'screen_name': 'SussexUni', 'name': 'University of Sussex', 'id': 21000110, 'id_str': '21000110', 'indices': [22, 32]}]",[],en,recent,2296689098,2296689098,Sanjeev Bhaskar,TVSanjeev,Here,"Added ""Chuddies"" to OED #Chancellor@SussexUni #Yesterday #Unforgotten #Paddington2 #Spamalot #GGM #IndianDr #Kumars@42 Agent: SGascoine@unitedagents.co.uk #YNWA",,[],False,59910,1111,225,Fri Jan 17 19:57:59 +0000 2014,20484,,,False,True,29232,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/724321011286609920/qAHRQWLt_normal.jpg,https://pbs.twimg.com/profile_images/724321011286609920/qAHRQWLt_normal.jpg,0084B4,000000,DDEEF6,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2296689098/1391422154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Fri Jan 24 21:02:32 +0000 2020,1220814160805666816,1220814160805666816,"@avinashkalla @aqueeljaipur @SussexUni @cheveningfco Congratulations AQS!! @aqueeljaipur 
It’s time to conquer the 🌏 ✨",False,"[53, 118]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220564043015934e+18,1220564043015933952,74947226.0,74947226,avinashkalla,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'avinashkalla', 'name': 'Avinash Kalla', 'id': 74947226, 'id_str': '74947226', 'indices': [0, 13]}, {'screen_name': 'aqueeljaipur', 'name': 'Aqueel Khan', 'id': 390571252, 'id_str': '390571252', 'indices': [14, 27]}, {'screen_name': 'SussexUni', 'name': 'University of Sussex', 'id': 21000110, 'id_str': '21000110', 'indices': [28, 38]}, {'screen_name': 'cheveningfco', 'name': 'Chevening Awards🇬🇧', 'id': 71529987, 'id_str': '71529987', 'indices': [39, 52]}, {'screen_name': 'aqueeljaipur', 'name': 'Aqueel Khan', 'id': 390571252, 'id_str': '390571252', 'indices': [75, 88]}]",[],en,recent,1149834493492191233,1149834493492191233,Bhavna,iBhavnaVerma,"London, England","Neuroscientist, EHDN Scholar UK | Dementia Research | Self-proclaimed Artist | Indian #MitronMujhseDurRaho",,[],False,5,35,0,Sat Jul 13 00:14:40 +0000 2019,1,,,False,False,2,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1219270673304035329/K1sgct-9_normal.jpg,https://pbs.twimg.com/profile_images/1219270673304035329/K1sgct-9_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1149834493492191233/1579533606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Fri Jan 24 19:21:57 +0000 2020,1220788848634028033,1220788848634028033,@EtodMar @profsaulbecker @SussexUni @SussexGlobal @IDS_UK Thanks MET. Interesting that you thought it was because of age as opposed to some injury :),False,"[58, 149]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220772609400492e+18,1220772609400492033,2830995173.0,2830995173,EtodMar,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'EtodMar', 'name': 'Mary Elizabeth Todd', 'id': 2830995173, 'id_str': '2830995173', 'indices': [0, 8]}, {'screen_name': 'profsaulbecker', 'name': 'Saul Becker', 'id': 2697869537, 'id_str': '2697869537', 'indices': [9, 24]}, {'screen_name': 'SussexUni', 'name': 'University of Sussex', 'id': 21000110, 'id_str': '21000110', 'indices': [25, 35]}, {'screen_name': 'SussexGlobal', 'name': 'Sussex Global', 'id': 204344289, 'id_str': '204344289', 'indices': [36, 49]}, {'screen_name': 'IDS_UK', 'name': 'IDS UK', 'id': 27000767, 'id_str': '27000767', 'indices': [50, 57]}]",[],en,recent,2296689098,2296689098,Sanjeev Bhaskar,TVSanjeev,Here,"Added ""Chuddies"" to OED #Chancellor@SussexUni #Yesterday #Unforgotten #Paddington2 #Spamalot #GGM #IndianDr #Kumars@42 Agent: SGascoine@unitedagents.co.uk #YNWA",,[],False,59910,1111,225,Fri Jan 17 19:57:59 +0000 2014,20484,,,False,True,29232,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/724321011286609920/qAHRQWLt_normal.jpg,https://pbs.twimg.com/profile_images/724321011286609920/qAHRQWLt_normal.jpg,0084B4,000000,DDEEF6,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2296689098/1391422154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Fri Jan 24 17:16:41 +0000 2020,1220757324140294150,1220757324140294150,@GoodluckAnugwom @SussexUni @SussexGlobal Well done! Great achievement :),False,"[42, 73]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2206269152430572e+18,1220626915243057152,2446915521.0,2446915521,GoodluckAnugwom,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'GoodluckAnugwom', 'name': 'anugwom goodluck', 'id': 2446915521, 'id_str': '2446915521', 'indices': [0, 16]}, {'screen_name': 'SussexUni', 'name': 'University of Sussex', 'id': 21000110, 'id_str': '21000110', 'indices': [17, 27]}, {'screen_name': 'SussexGlobal', 'name': 'Sussex Global', 'id': 204344289, 'id_str': '204344289', 'indices': [28, 41]}]",[],en,recent,4691159178,4691159178,Duncan Moore 🔶🇪🇺,DuncanMSussex,"Hove, England",Former biochemist but escaped from the lab! Now part-time interdisciplinary researcher. Standing in Brunswick & Adelaide.,,[],False,472,1460,7,Fri Jan 01 19:24:53 +0000 2016,46113,,,False,False,13562,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1052873814303010816/WNWH-VBu_normal.jpg,https://pbs.twimg.com/profile_images/1052873814303010816/WNWH-VBu_normal.jpg,FF691F,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/4691159178/1541499741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Fri Jan 24 15:44:11 +0000 2020,1220734045660774401,1220734045660774401,"@darcianflux @profsaulbecker @SussexUni @SussexGlobal @IDS_UK Just tried this, pretty good.  Thank you",False,"[62, 102]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207289799860347e+18,1220728979986034695,8.76428793220563e+17,876428793220562944,darcianflux,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'darcianflux', 'name': 'Darcian Flux 🌱', 'id': 876428793220562944, 'id_str': '876428793220562944', 'indices': [0, 12]}, {'screen_name': 'profsaulbecker', 'name': 'Saul Becker', 'id': 2697869537, 'id_str': '2697869537', 'indices': [13, 28]}, {'screen_name': 'SussexUni', 'name': 'University of Sussex', 'id': 21000110, 'id_str': '21000110', 'indices': [29, 39]}, {'screen_name': 'SussexGlobal', 'name': 'Sussex Global', 'id': 204344289, 'id_str': '204344289', 'indices': [40, 53]}, {'screen_name': 'IDS_UK', 'name': 'IDS UK', 'id': 27000767, 'id_str': '27000767', 'indices': [54, 61]}]",[],en,recent,2296689098,2296689098,Sanjeev Bhaskar,TVSanjeev,Here,"Added ""Chuddies"" to OED #Chancellor@SussexUni #Yesterday #Unforgotten #Paddington2 #Spamalot #GGM #IndianDr #Kumars@42 Agent: SGascoine@unitedagents.co.uk #YNWA",,[],False,59910,1111,225,Fri Jan 17 19:57:59 +0000 2014,20484,,,False,True,29232,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/724321011286609920/qAHRQWLt_normal.jpg,https://pbs.twimg.com/profile_images/724321011286609920/qAHRQWLt_normal.jpg,0084B4,000000,DDEEF6,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2296689098/1391422154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Fri Jan 24 15:22:54 +0000 2020,1220728690767691776,1220728690767691776,"@darcianflux @profsaulbecker @SussexUni @SussexGlobal @IDS_UK Thank you, that's useful (I hope)",False,"[62, 95]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207254889703465e+18,1220725488970346497,8.76428793220563e+17,876428793220562944,darcianflux,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'darcianflux', 'name': 'Darcian Flux 🌱', 'id': 876428793220562944, 'id_str': '876428793220562944', 'indices': [0, 12]}, {'screen_name': 'profsaulbecker', 'name': 'Saul Becker', 'id': 2697869537, 'id_str': '2697869537', 'indices': [13, 28]}, {'screen_name': 'SussexUni', 'name': 'University of Sussex', 'id': 21000110, 'id_str': '21000110', 'indices': [29, 39]}, {'screen_name': 'SussexGlobal', 'name': 'Sussex Global', 'id': 204344289, 'id_str': '204344289', 'indices': [40, 53]}, {'screen_name': 'IDS_UK', 'name': 'IDS UK', 'id': 27000767, 'id_str': '27000767', 'indices': [54, 61]}]",[],en,recent,2296689098,2296689098,Sanjeev Bhaskar,TVSanjeev,Here,"Added ""Chuddies"" to OED #Chancellor@SussexUni #Yesterday #Unforgotten #Paddington2 #Spamalot #GGM #IndianDr #Kumars@42 Agent: SGascoine@unitedagents.co.uk #YNWA",,[],False,59910,1111,225,Fri Jan 17 19:57:59 +0000 2014,20484,,,False,True,29232,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/724321011286609920/qAHRQWLt_normal.jpg,https://pbs.twimg.com/profile_images/724321011286609920/qAHRQWLt_normal.jpg,0084B4,000000,DDEEF6,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2296689098/1391422154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
