,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls
3,Sat Jan 25 21:25:49 +0000 2020,1221182409904803840,1221182409904803840,"@tamperista @Matter_CP @uoregon @strivefortone but we could have, of course, just said ""wetting"" instead.",False,"[47, 105]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2211762702827438e+18,1221176270282743808,480673741.0,480673741,tamperista,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'tamperista', 'name': 'Dana Paul', 'id': 480673741, 'id_str': '480673741', 'indices': [0, 11]}, {'screen_name': 'Matter_CP', 'name': 'Matter_CP', 'id': 1050083147432509443, 'id_str': '1050083147432509443', 'indices': [12, 22]}, {'screen_name': 'uoregon', 'name': 'University of Oregon', 'id': 40940457, 'id_str': '40940457', 'indices': [23, 31]}, {'screen_name': 'strivefortone', 'name': 'Michael Cameron', 'id': 239720673, 'id_str': '239720673', 'indices': [32, 46]}]",[],en,recent,848349637,848349637,Christopher H. Hendon,chhendon,"Eugene, OR",assistant professor of chemistry at @uoregon. energy materials modeling. coffee. water for coffee ed2 is coming. promise.,https://t.co/mSn3yqSl2B,[],False,2111,692,44,Wed Sep 26 23:58:47 +0000 2012,3086,,,True,False,523,,False,False,False,3C3C3C,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1088888952843464704/sCEajVnA_normal.jpg,https://pbs.twimg.com/profile_images/1088888952843464704/sCEajVnA_normal.jpg,https://pbs.twimg.com/profile_banners/848349637/1542927885,144633,000000,000000,000000,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/mSn3yqSl2B', 'expanded_url': 'http://pages.uoregon.edu/chendon', 'display_url': 'pages.uoregon.edu/chendon', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sat Jan 25 21:24:47 +0000 2020,1221182147513372672,1221182147513372672,"@tamperista @Matter_CP @uoregon @strivefortone We thought it was appropriate partly because the word intruder is also the technical word for a ""boulder"" in a bed full of coffee grinds.  i.e., the one 200 µm particle in 100,000,000 20 µm particles is called an intruder (aka a boulder)",False,"[47, 284]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2211762702827438e+18,1221176270282743808,480673741.0,480673741,tamperista,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'tamperista', 'name': 'Dana Paul', 'id': 480673741, 'id_str': '480673741', 'indices': [0, 11]}, {'screen_name': 'Matter_CP', 'name': 'Matter_CP', 'id': 1050083147432509443, 'id_str': '1050083147432509443', 'indices': [12, 22]}, {'screen_name': 'uoregon', 'name': 'University of Oregon', 'id': 40940457, 'id_str': '40940457', 'indices': [23, 31]}, {'screen_name': 'strivefortone', 'name': 'Michael Cameron', 'id': 239720673, 'id_str': '239720673', 'indices': [32, 46]}]",[],en,recent,848349637,848349637,Christopher H. Hendon,chhendon,"Eugene, OR",assistant professor of chemistry at @uoregon. energy materials modeling. coffee. water for coffee ed2 is coming. promise.,https://t.co/mSn3yqSl2B,[],False,2111,692,44,Wed Sep 26 23:58:47 +0000 2012,3086,,,True,False,523,,False,False,False,3C3C3C,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1088888952843464704/sCEajVnA_normal.jpg,https://pbs.twimg.com/profile_images/1088888952843464704/sCEajVnA_normal.jpg,https://pbs.twimg.com/profile_banners/848349637/1542927885,144633,000000,000000,000000,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/mSn3yqSl2B', 'expanded_url': 'http://pages.uoregon.edu/chendon', 'display_url': 'pages.uoregon.edu/chendon', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat Jan 25 21:22:54 +0000 2020,1221181674148417537,1221181674148417537,"@tamperista @Matter_CP @uoregon @strivefortone Good question.  The mathematical part of the paper was written by Jamie, and sometimes I wonder whether words like this mean different things in maths.  I understood it to mean the entering of a foreign object (water) into the bed of coffee, i.e. like an intruder in a house.",False,"[47, 322]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2211762702827438e+18,1221176270282743808,480673741.0,480673741,tamperista,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'tamperista', 'name': 'Dana Paul', 'id': 480673741, 'id_str': '480673741', 'indices': [0, 11]}, {'screen_name': 'Matter_CP', 'name': 'Matter_CP', 'id': 1050083147432509443, 'id_str': '1050083147432509443', 'indices': [12, 22]}, {'screen_name': 'uoregon', 'name': 'University of Oregon', 'id': 40940457, 'id_str': '40940457', 'indices': [23, 31]}, {'screen_name': 'strivefortone', 'name': 'Michael Cameron', 'id': 239720673, 'id_str': '239720673', 'indices': [32, 46]}]",[],en,recent,848349637,848349637,Christopher H. Hendon,chhendon,"Eugene, OR",assistant professor of chemistry at @uoregon. energy materials modeling. coffee. water for coffee ed2 is coming. promise.,https://t.co/mSn3yqSl2B,[],False,2111,692,44,Wed Sep 26 23:58:47 +0000 2012,3086,,,True,False,523,,False,False,False,3C3C3C,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1088888952843464704/sCEajVnA_normal.jpg,https://pbs.twimg.com/profile_images/1088888952843464704/sCEajVnA_normal.jpg,https://pbs.twimg.com/profile_banners/848349637/1542927885,144633,000000,000000,000000,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/mSn3yqSl2B', 'expanded_url': 'http://pages.uoregon.edu/chendon', 'display_url': 'pages.uoregon.edu/chendon', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sat Jan 25 05:14:24 +0000 2020,1220937945021992960,1220937945021992960,@BettinaCornwell @uoregon Bump up that ranking!,False,"[26, 47]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220937102658982e+18,1220937102658981888,705748375.0,705748375,BettinaCornwell,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'BettinaCornwell', 'name': 'T. Bettina Cornwell', 'id': 705748375, 'id_str': '705748375', 'indices': [0, 16]}, {'screen_name': 'uoregon', 'name': 'University of Oregon', 'id': 40940457, 'id_str': '40940457', 'indices': [17, 25]}]",[],en,recent,2816860646,2816860646,Alex Yi,yiizo,510 to the world,"UOregon alum... Human physiology (Health & Sports Performance), Business, Ethics... Ex-boxer... Nonpareil... Personal account.",https://t.co/eo35V6dajz,[],False,238,243,4,Thu Sep 18 11:32:20 +0000 2014,42730,,,True,False,16946,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1213401035563159553/4NoUs14a_normal.jpg,https://pbs.twimg.com/profile_images/1213401035563159553/4NoUs14a_normal.jpg,https://pbs.twimg.com/profile_banners/2816860646/1544160993,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/eo35V6dajz', 'expanded_url': 'https://myaction.app/yiizo', 'display_url': 'myaction.app/yiizo', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Fri Jan 24 21:49:00 +0000 2020,1220825854424387584,1220825854424387584,@speightify @Matter_CP @uoregon @strivefortone Let me know how you get on.,False,"[47, 74]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220823975669969e+18,1220823975669968896,612683826.0,612683826,speightify,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'speightify', 'name': 'Mark Speight', 'id': 612683826, 'id_str': '612683826', 'indices': [0, 11]}, {'screen_name': 'Matter_CP', 'name': 'Matter_CP', 'id': 1050083147432509443, 'id_str': '1050083147432509443', 'indices': [12, 22]}, {'screen_name': 'uoregon', 'name': 'University of Oregon', 'id': 40940457, 'id_str': '40940457', 'indices': [23, 31]}, {'screen_name': 'strivefortone', 'name': 'Michael Cameron', 'id': 239720673, 'id_str': '239720673', 'indices': [32, 46]}]",[],en,recent,848349637,848349637,Christopher H. Hendon,chhendon,"Eugene, OR",assistant professor of chemistry at @uoregon. energy materials modeling. coffee. water for coffee ed2 is coming. promise.,https://t.co/mSn3yqSl2B,[],False,2111,692,44,Wed Sep 26 23:58:47 +0000 2012,3086,,,True,False,523,,False,False,False,3C3C3C,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1088888952843464704/sCEajVnA_normal.jpg,https://pbs.twimg.com/profile_images/1088888952843464704/sCEajVnA_normal.jpg,https://pbs.twimg.com/profile_banners/848349637/1542927885,144633,000000,000000,000000,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/mSn3yqSl2B', 'expanded_url': 'http://pages.uoregon.edu/chendon', 'display_url': 'pages.uoregon.edu/chendon', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Fri Jan 24 19:50:23 +0000 2020,1220796005035147268,1220796005035147268,Animal House is the BEST movie...because it was based @uoregon!!,False,"[0, 64]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'uoregon', 'name': 'University of Oregon', 'id': 40940457, 'id_str': '40940457', 'indices': [54, 62]}]",[],en,recent,1088166855536185348,1088166855536185348,Malia Hale,Malia_Hale2019,Oregon,Hawaii native. Psych major. Born to be near the beach 🌊🌊,,[],False,4,96,0,Wed Jan 23 20:09:30 +0000 2019,259,,,False,False,704,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1088172640437788674/oxgfVAGF_normal.jpg,https://pbs.twimg.com/profile_images/1088172640437788674/oxgfVAGF_normal.jpg,https://pbs.twimg.com/profile_banners/1088166855536185348/1548275648,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Fri Jan 24 18:52:00 +0000 2020,1220781312044412930,1220781312044412930,Yesterday was an EPIC win for @uoregon over USC! #GoDucks,False,"[0, 57]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,2,False,False,en,"[{'text': 'GoDucks', 'indices': [49, 57]}]",[],"[{'screen_name': 'uoregon', 'name': 'University of Oregon', 'id': 40940457, 'id_str': '40940457', 'indices': [30, 38]}]",[],en,recent,1088166855536185348,1088166855536185348,Malia Hale,Malia_Hale2019,Oregon,Hawaii native. Psych major. Born to be near the beach 🌊🌊,,[],False,4,96,0,Wed Jan 23 20:09:30 +0000 2019,259,,,False,False,704,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1088172640437788674/oxgfVAGF_normal.jpg,https://pbs.twimg.com/profile_images/1088172640437788674/oxgfVAGF_normal.jpg,https://pbs.twimg.com/profile_banners/1088166855536185348/1548275648,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Fri Jan 24 00:36:48 +0000 2020,1220505696329842690,1220505696329842690,"@Jaredsawyer @DallasWarmack @Disneyland @uoregon @GoDucks @oregonfootball Answer to #2 

That is also known as a peace ☮️✌🏽sign lol",False,"[74, 131]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205046095899075e+18,1220504609589907458,133330302.0,133330302,Jaredsawyer,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Jaredsawyer', 'name': 'The Jared Sawyer', 'id': 133330302, 'id_str': '133330302', 'indices': [0, 12]}, {'screen_name': 'DallasWarmack', 'name': 'Dallas Warmack', 'id': 2416472832, 'id_str': '2416472832', 'indices': [13, 27]}, {'screen_name': 'Disneyland', 'name': 'Disneyland Resort', 'id': 12378512, 'id_str': '12378512', 'indices': [28, 39]}, {'screen_name': 'uoregon', 'name': 'University of Oregon', 'id': 40940457, 'id_str': '40940457', 'indices': [40, 48]}, {'screen_name': 'GoDucks', 'name': 'GoDucks', 'id': 15638912, 'id_str': '15638912', 'indices': [49, 57]}, {'screen_name': 'oregonfootball', 'name': 'Oregon Football', 'id': 870731426, 'id_str': '870731426', 'indices': [58, 73]}]",[],en,recent,216290755,216290755,〽️icah🦆,godux1987,Southern Oregon ,Jesus🙏🏽 Die hard @uoregon @goducks fan🦆 @oregonfootball season ticket🎟holder 🦆 #RN4L☠️ #LakeShow🏆#RZRLife 🏁,,[],False,885,1936,13,Tue Nov 16 08:48:57 +0000 2010,34585,,,True,False,10360,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219808234854215680/rFBOobIc_normal.jpg,https://pbs.twimg.com/profile_images/1219808234854215680/rFBOobIc_normal.jpg,https://pbs.twimg.com/profile_banners/216290755/1578019225,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,0c2e6999105f8070,https://api.twitter.com/1.1/geo/id/0c2e6999105f8070.json,city,Anaheim,"Anaheim, CA",US,United States,[],Polygon,"[[[-118.017789, 33.788913], [-117.684389, 33.788913], [-117.684389, 33.896813], [-118.017789, 33.896813]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Thu Jan 23 23:41:57 +0000 2020,1220491893689053184,1220491893689053184,RT @ducksVSall: @godux1987 @DallasWarmack @Disneyland @uoregon @GoDucks @oregonfootball SCO MOUNTAIN 😂😂😂,False,"[0, 104]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'ducksVSall', 'name': '🌹💛🦆JOINTHEFLOCK🦆💚🌹', 'id': 1015671840679661569, 'id_str': '1015671840679661569', 'indices': [3, 14]}, {'screen_name': 'godux1987', 'name': '〽️icah🦆', 'id': 216290755, 'id_str': '216290755', 'indices': [16, 26]}, {'screen_name': 'DallasWarmack', 'name': 'Dallas Warmack', 'id': 2416472832, 'id_str': '2416472832', 'indices': [27, 41]}, {'screen_name': 'Disneyland', 'name': 'Disneyland Resort', 'id': 12378512, 'id_str': '12378512', 'indices': [42, 53]}, {'screen_name': 'uoregon', 'name': 'University of Oregon', 'id': 40940457, 'id_str': '40940457', 'indices': [54, 62]}, {'screen_name': 'GoDucks', 'name': 'GoDucks', 'id': 15638912, 'id_str': '15638912', 'indices': [63, 71]}, {'screen_name': 'oregonfootball', 'name': 'Oregon Football', 'id': 870731426, 'id_str': '870731426', 'indices': [72, 87]}]",[],en,recent,216290755,216290755,〽️icah🦆,godux1987,Southern Oregon ,Jesus🙏🏽 Die hard @uoregon @goducks fan🦆 @oregonfootball season ticket🎟holder 🦆 #RN4L☠️ #LakeShow🏆#RZRLife 🏁,,[],False,885,1936,13,Tue Nov 16 08:48:57 +0000 2010,34585,,,True,False,10360,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219808234854215680/rFBOobIc_normal.jpg,https://pbs.twimg.com/profile_images/1219808234854215680/rFBOobIc_normal.jpg,https://pbs.twimg.com/profile_banners/216290755/1578019225,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,Thu Jan 23 23:41:05 +0000 2020,1.2204916731274117e+18,1220491673127411712,@godux1987 @DallasWarmack @Disneyland @uoregon @GoDucks @oregonfootball SCO MOUNTAIN 😂😂😂,False,"[72, 88]",[],[],"[{'screen_name': 'godux1987', 'name': '〽️icah🦆', 'id': 216290755, 'id_str': '216290755', 'indices': [0, 10]}, {'screen_name': 'DallasWarmack', 'name': 'Dallas Warmack', 'id': 2416472832, 'id_str': '2416472832', 'indices': [11, 25]}, {'screen_name': 'Disneyland', 'name': 'Disneyland Resort', 'id': 12378512, 'id_str': '12378512', 'indices': [26, 37]}, {'screen_name': 'uoregon', 'name': 'University of Oregon', 'id': 40940457, 'id_str': '40940457', 'indices': [38, 46]}, {'screen_name': 'GoDucks', 'name': 'GoDucks', 'id': 15638912, 'id_str': '15638912', 'indices': [47, 55]}, {'screen_name': 'oregonfootball', 'name': 'Oregon Football', 'id': 870731426, 'id_str': '870731426', 'indices': [56, 71]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204911696221798e+18,1220491169622179841,216290755.0,216290755,godux1987,1.0156718406796616e+18,1015671840679661569,🌹💛🦆JOINTHEFLOCK🦆💚🌹,ducksVSall,,It never Rains in.......Go Ducks!. Oregon Ducks Over Everything. 🦆 🐣 Oregon Voice 💨,,[],False,1832.0,4228.0,9.0,Sat Jul 07 19:00:11 +0000 2018,34056.0,,,True,False,27798.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1213005779189391360/iIlDR0hU_normal.jpg,https://pbs.twimg.com/profile_images/1213005779189391360/iIlDR0hU_normal.jpg,https://pbs.twimg.com/profile_banners/1015671840679661569/1532460863,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,2.0,False,False,en,
86,Thu Jan 23 13:54:36 +0000 2020,1220344079965282305,1220344079965282305,"@ProperOrder_ @hasbeansteve @Matter_CP @uoregon @strivefortone @dublinbarista 💯. There's the first person who said it, and the first person who was heard.

Im certainly not claiming to be the first to say anything.",False,"[78, 214]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2203069633068605e+18,1220306963306860544,4479161961.0,4479161961,ProperOrder_,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ProperOrder_', 'name': 'Proper Order', 'id': 4479161961, 'id_str': '4479161961', 'indices': [0, 13]}, {'screen_name': 'hasbeansteve', 'name': 'Stephen Leighton', 'id': 973553167593037824, 'id_str': '973553167593037824', 'indices': [14, 27]}, {'screen_name': 'Matter_CP', 'name': 'Matter_CP', 'id': 1050083147432509443, 'id_str': '1050083147432509443', 'indices': [28, 38]}, {'screen_name': 'uoregon', 'name': 'University of Oregon', 'id': 40940457, 'id_str': '40940457', 'indices': [39, 47]}, {'screen_name': 'strivefortone', 'name': 'Michael Cameron', 'id': 239720673, 'id_str': '239720673', 'indices': [48, 62]}, {'screen_name': 'dublinbarista', 'name': 'Colin Harmon', 'id': 18914585, 'id_str': '18914585', 'indices': [63, 77]}]",[],en,recent,848349637,848349637,Christopher H. Hendon,chhendon,"Eugene, OR",assistant professor of chemistry at @uoregon. energy materials modeling. coffee. water for coffee ed2 is coming. promise.,https://t.co/mSn3yqSl2B,[],False,2111,692,44,Wed Sep 26 23:58:47 +0000 2012,3086,,,True,False,523,,False,False,False,3C3C3C,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1088888952843464704/sCEajVnA_normal.jpg,https://pbs.twimg.com/profile_images/1088888952843464704/sCEajVnA_normal.jpg,https://pbs.twimg.com/profile_banners/848349637/1542927885,144633,000000,000000,000000,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/mSn3yqSl2B', 'expanded_url': 'http://pages.uoregon.edu/chendon', 'display_url': 'pages.uoregon.edu/chendon', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
