,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,possibly_sensitive,retweeted_status.user.entities.url.urls
2,Sun Jan 26 04:41:11 +0000 2020,1221291972201070592,1221291972201070592,"@kierig @kcristol @CD4arlington oh, nice.  This could be a big deal for @VTMURP and the rest of the programs at @VTNCR-Arlington, not to mention the @GWtweets and @marymountu programs also on the corner of Glebe &amp; Fairfax...",False,"[32, 228]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2211599115744502e+18,1221159911574450177,1.021918131525247e+18,1021918131525246976,kierig,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'kierig', 'name': 'Andrew Kierig', 'id': 1021918131525246976, 'id_str': '1021918131525246976', 'indices': [0, 7]}, {'screen_name': 'kcristol', 'name': 'Katie Cristol', 'id': 39255167, 'id_str': '39255167', 'indices': [8, 17]}, {'screen_name': 'CD4arlington', 'name': 'Christian Dorsey', 'id': 710161119671939076, 'id_str': '710161119671939076', 'indices': [18, 31]}, {'screen_name': 'VTMURP', 'name': 'MURP @ Virginia Tech', 'id': 778642734332649472, 'id_str': '778642734332649472', 'indices': [72, 79]}, {'screen_name': 'vtncr', 'name': 'Virginia Tech NCR', 'id': 110190547, 'id_str': '110190547', 'indices': [112, 118]}, {'screen_name': 'GWtweets', 'name': 'GW University', 'id': 28101965, 'id_str': '28101965', 'indices': [149, 158]}, {'screen_name': 'marymountu', 'name': 'Marymount University', 'id': 361280541, 'id_str': '361280541', 'indices': [163, 174]}]",[],en,recent,112826457,112826457,Bison bison,infinitebuffalo,"Washington, DC (formerly Pittsburgh & Michigan. Not from or of NY.)","VTMURP student, bike+bus rider, queer (they/them). Interests: maps, transport, & cities; libraries & info; baseball & hockey; puns; oxford commas; & semicolons",https://t.co/2Q8YhRCY6t,[],False,937,403,49,Tue Feb 09 20:53:50 +0000 2010,134592,,,False,False,41444,,False,False,False,8C8B91,http://abs.twimg.com/images/themes/theme20/bg.png,https://abs.twimg.com/images/themes/theme20/bg.png,False,http://pbs.twimg.com/profile_images/1179034045558095872/HnyfGsBY_normal.jpg,https://pbs.twimg.com/profile_images/1179034045558095872/HnyfGsBY_normal.jpg,5C268A,68FA04,1D1D1D,D4D4D4,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/2Q8YhRCY6t', 'expanded_url': 'https://infinitebuffalo.wordpress.com', 'display_url': 'infinitebuffalo.wordpress.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sun Jan 26 02:10:34 +0000 2020,1221254067709796352,1221254067709796352,@jimmysaw @gwbiology @gwucolumbian @GWtweets Thanks a lot Jimmy!,False,"[45, 64]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208723637782323e+18,1220872363778232321,14715819.0,14715819,jimmysaw,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'jimmysaw', 'name': 'Jimmy Saw', 'id': 14715819, 'id_str': '14715819', 'indices': [0, 9]}, {'screen_name': 'gwbiology', 'name': 'GW Biology', 'id': 770359896529367040, 'id_str': '770359896529367040', 'indices': [10, 20]}, {'screen_name': 'gwucolumbian', 'name': 'GW Arts & Sciences', 'id': 54639174, 'id_str': '54639174', 'indices': [21, 34]}, {'screen_name': 'GWtweets', 'name': 'GW University', 'id': 28101965, 'id_str': '28101965', 'indices': [35, 44]}]",[],en,recent,533067056,533067056,Yaprak Ozakman,yaprakozakman,"Washington, DC",PhD student at GWU.                          🦠🧬🔬📷☕️,,[],False,104,115,1,Thu Mar 22 11:45:17 +0000 2012,527,,,True,False,53,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,True,http://pbs.twimg.com/profile_images/1067834978422140929/rx0ENUrQ_normal.jpg,https://pbs.twimg.com/profile_images/1067834978422140929/rx0ENUrQ_normal.jpg,91D2FA,FFFFFF,A0C5C7,333333,True,False,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/533067056/1543426839,01fbe706f872cb32,https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json,city,Washington,"Washington, DC",US,United States,[],Polygon,"[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sat Jan 25 19:30:47 +0000 2020,1221153461502382080,1221153461502382080,"@thepattymatos @latteash duh, she went to @GWtweets",False,"[25, 51]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.221153332774998e+18,1221153332774998017,16349877.0,16349877,thepattymatos,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'thepattymatos', 'name': 'patty', 'id': 16349877, 'id_str': '16349877', 'indices': [0, 14]}, {'screen_name': 'latteash', 'name': 'Lottie Ash', 'id': 428529059, 'id_str': '428529059', 'indices': [15, 24]}, {'screen_name': 'GWtweets', 'name': 'GW University', 'id': 28101965, 'id_str': '28101965', 'indices': [42, 51]}]",[],en,recent,541189945,541189945,Alex Barbieri,abarbieri3,,"team @ewarren / @iaforwarren | @fladems, @HillaryforOH, @wendydavis, @bgtx, @gwtweets alum | first gen 🇺🇸 & 🇻🇪 | find me an arepa & you can be my friend",,[],False,1516,918,45,Fri Mar 30 22:56:33 +0000 2012,4368,,,True,False,6353,,False,False,False,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1138965518227070977/BwKIwD08_normal.png,https://pbs.twimg.com/profile_images/1138965518227070977/BwKIwD08_normal.png,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/541189945/1577730431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Fri Jan 24 03:15:55 +0000 2020,1220545740910530560,1220545740910530560,@LiselHintz @GWtweets thanks chica!!,False,"[22, 36]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205215579671675e+18,1220521557967167488,7.305606983344783e+17,730560698334478336,LiselHintz,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'LiselHintz', 'name': 'Lisel Hintz', 'id': 730560698334478336, 'id_str': '730560698334478336', 'indices': [0, 11]}, {'screen_name': 'GWtweets', 'name': 'GW University', 'id': 28101965, 'id_str': '28101965', 'indices': [12, 21]}]",[],en,recent,285435496,285435496,Kelly Bauer,__queli,,"political scientist at @newesleyan. posting ab Latin America (usualmente 🇨🇱), indigenous politics, territory, sports, migration, higher ed. Views are my own",https://t.co/bnZRQSXKvc,[],False,328,968,6,Thu Apr 21 04:26:33 +0000 2011,408,,,True,False,872,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/528638237200244736/oIWE3rcL_normal.jpeg,https://pbs.twimg.com/profile_images/528638237200244736/oIWE3rcL_normal.jpeg,2FC2EF,181A1E,252429,666666,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/bnZRQSXKvc', 'expanded_url': 'https://kellymbauer.wordpress.com/', 'display_url': 'kellymbauer.wordpress.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/285435496/1568239086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Thu Jan 23 01:43:25 +0000 2020,1220160071440781312,1220160071440781312,@JasonChow @gwGSEHD @GWtweets @YaleEmotion @YaleCSC @vcusoe Thank you!,False,"[60, 70]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2200093156054753e+18,1220009315605475328,48910467.0,48910467,JasonChow,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JasonChow', 'name': 'Jason Chow', 'id': 48910467, 'id_str': '48910467', 'indices': [0, 10]}, {'screen_name': 'gwGSEHD', 'name': 'Grad School of Education', 'id': 106738012, 'id_str': '106738012', 'indices': [11, 19]}, {'screen_name': 'GWtweets', 'name': 'GW University', 'id': 28101965, 'id_str': '28101965', 'indices': [20, 29]}, {'screen_name': 'YaleEmotion', 'name': '@YaleEmotion', 'id': 2325962143, 'id_str': '2325962143', 'indices': [30, 42]}, {'screen_name': 'YaleCSC', 'name': 'Yale Child Study Center', 'id': 113698114, 'id_str': '113698114', 'indices': [43, 51]}, {'screen_name': 'vcusoe', 'name': 'VCU Education', 'id': 20072348, 'id_str': '20072348', 'indices': [52, 59]}]",[],en,recent,2851530838,2851530838,Ventris Learning,VentrisLearning,Wisconsin,Our language development resources help teachers better meet the instructional needs of students underserved in literacy.,http://t.co/wFOJH6hFpI,[],False,126,464,2,Thu Oct 30 14:56:50 +0000 2014,560,,,False,False,686,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/527838863100624897/XMWXeE3Y_normal.jpeg,https://pbs.twimg.com/profile_images/527838863100624897/XMWXeE3Y_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'http://t.co/wFOJH6hFpI', 'expanded_url': 'http://www.ventrislearning.com', 'display_url': 'ventrislearning.com', 'indices': [0, 22]}]",https://pbs.twimg.com/profile_banners/2851530838/1414681550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Wed Jan 22 15:33:54 +0000 2020,1220006683562389504,1220006683562389504,@JasonChow @gwGSEHD @GWtweets @YaleEmotion @YaleCSC @vcusoe link?,False,"[60, 65]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.219310113397334e+18,1219310113397334018,48910467.0,48910467,JasonChow,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JasonChow', 'name': 'Jason Chow', 'id': 48910467, 'id_str': '48910467', 'indices': [0, 10]}, {'screen_name': 'gwGSEHD', 'name': 'Grad School of Education', 'id': 106738012, 'id_str': '106738012', 'indices': [11, 19]}, {'screen_name': 'GWtweets', 'name': 'GW University', 'id': 28101965, 'id_str': '28101965', 'indices': [20, 29]}, {'screen_name': 'YaleEmotion', 'name': '@YaleEmotion', 'id': 2325962143, 'id_str': '2325962143', 'indices': [30, 42]}, {'screen_name': 'YaleCSC', 'name': 'Yale Child Study Center', 'id': 113698114, 'id_str': '113698114', 'indices': [43, 51]}, {'screen_name': 'vcusoe', 'name': 'VCU Education', 'id': 20072348, 'id_str': '20072348', 'indices': [52, 59]}]",[],en,recent,2851530838,2851530838,Ventris Learning,VentrisLearning,Wisconsin,Our language development resources help teachers better meet the instructional needs of students underserved in literacy.,http://t.co/wFOJH6hFpI,[],False,126,464,2,Thu Oct 30 14:56:50 +0000 2014,560,,,False,False,686,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/527838863100624897/XMWXeE3Y_normal.jpeg,https://pbs.twimg.com/profile_images/527838863100624897/XMWXeE3Y_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'http://t.co/wFOJH6hFpI', 'expanded_url': 'http://www.ventrislearning.com', 'display_url': 'ventrislearning.com', 'indices': [0, 22]}]",https://pbs.twimg.com/profile_banners/2851530838/1414681550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Wed Jan 22 15:32:30 +0000 2020,1220006332398477313,1220006332398477313,"George Washington University has accepted millions of dollars from the Chinese government. Has this affected free speech on campus, @GWtweets? 

https://t.co/HFdgW2X40m",False,"[0, 168]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,5,5,False,False,en,[],[],"[{'screen_name': 'GWtweets', 'name': 'GW University', 'id': 28101965, 'id_str': '28101965', 'indices': [132, 141]}]","[{'url': 'https://t.co/HFdgW2X40m', 'expanded_url': 'https://www.gwhatchet.com/2020/01/21/gw-has-taken-80-million-from-foreign-governments-largely-in-tuition-since-2013/', 'display_url': 'gwhatchet.com/2020/01/21/gw-…', 'indices': [145, 168]}]",en,recent,20443232,20443232,Students for a Free Tibet,SFTHQ,International,Students for a Free Tibet (SFT) works in solidarity with the Tibetan people in their struggle for freedom and independence. #Tibet will be free!,https://t.co/EJze0vGkje,[],False,9465,355,205,Mon Feb 09 15:49:40 +0000 2009,944,,,True,False,5354,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/961621306738401280/EqpJoJj__normal.jpg,https://pbs.twimg.com/profile_images/961621306738401280/EqpJoJj__normal.jpg,CB2228,181A1E,252429,666666,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/EJze0vGkje', 'expanded_url': 'http://www.studentsforafreetibet.org', 'display_url': 'studentsforafreetibet.org', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/20443232/1527695696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
52,Wed Jan 22 02:51:17 +0000 2020,1219814765356298241,1219814765356298241,sad that @GWtweets won’t let us take over their instagram for our super cool 14th Annual Cabaret. they don’t know what they’re missing......,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,8,False,False,en,[],[],"[{'screen_name': 'GWtweets', 'name': 'GW University', 'id': 28101965, 'id_str': '28101965', 'indices': [9, 18]}]",[],en,recent,50461222,50461222,Forbidden Planet Productions,fppgwu,GWU,We are a student theatre org at the George Washington University. We can’t wait for Spring 2020!,https://t.co/QNLcEyyWrf,[],False,290,250,4,Wed Jun 24 22:20:43 +0000 2009,222,,,True,False,301,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1093530053781139457/SbRhxZza_normal.jpg,https://pbs.twimg.com/profile_images/1093530053781139457/SbRhxZza_normal.jpg,F00E59,F70000,000000,E01616,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/QNLcEyyWrf', 'expanded_url': 'http://www.fppgwu.com', 'display_url': 'fppgwu.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/50461222/1558114970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Tue Jan 21 17:41:07 +0000 2020,1219676308700979200,1219676308700979200,@ProfAdamFLee @ChemSusChem @GWtweets @ResearchRMIT Congrats!!!!,False,"[51, 63]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2193935815483105e+18,1219393581548310534,4304874863.0,4304874863,ProfAdamFLee,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ProfAdamFLee', 'name': 'Adam Lee', 'id': 4304874863, 'id_str': '4304874863', 'indices': [0, 13]}, {'screen_name': 'ChemSusChem', 'name': 'ChemSusChem', 'id': 64353973, 'id_str': '64353973', 'indices': [14, 26]}, {'screen_name': 'GWtweets', 'name': 'GW University', 'id': 28101965, 'id_str': '28101965', 'indices': [27, 36]}, {'screen_name': 'ResearchRMIT', 'name': 'RMIT Research', 'id': 193935341, 'id_str': '193935341', 'indices': [37, 50]}]",[],en,recent,738477625375641602,738477625375641602,Esmail Doustkhah,EDoustkhah,Japan,"PhD of Organic and Nanochemistry, Nanoporous Materials, Post-Doc at National Institute for Materials Science (NIMS)",https://t.co/3xOvM59wwX,[],False,158,315,0,Thu Jun 02 21:09:20 +0000 2016,447,,,False,False,107,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1127794906259279872/9uv90634_normal.jpg,https://pbs.twimg.com/profile_images/1127794906259279872/9uv90634_normal.jpg,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/3xOvM59wwX', 'expanded_url': 'http://www.photobiocatalysis.com', 'display_url': 'photobiocatalysis.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/738477625375641602/1483805207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Tue Jan 21 01:04:32 +0000 2020,1219425512138989568,1219425512138989568,"@sarahlouwou @gwGSEHD @GWtweets @YaleEmotion @YaleCSC @vcusoe Agreed. We would know more to have had direct speech assessments, but something to work off of",False,"[62, 156]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2193112021336678e+18,1219311202133667840,110051399.0,110051399,sarahlouwou,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'sarahlouwou', 'name': 'Sarah Woulfin', 'id': 110051399, 'id_str': '110051399', 'indices': [0, 12]}, {'screen_name': 'gwGSEHD', 'name': 'Grad School of Education', 'id': 106738012, 'id_str': '106738012', 'indices': [13, 21]}, {'screen_name': 'GWtweets', 'name': 'GW University', 'id': 28101965, 'id_str': '28101965', 'indices': [22, 31]}, {'screen_name': 'YaleEmotion', 'name': '@YaleEmotion', 'id': 2325962143, 'id_str': '2325962143', 'indices': [32, 44]}, {'screen_name': 'YaleCSC', 'name': 'Yale Child Study Center', 'id': 113698114, 'id_str': '113698114', 'indices': [45, 53]}, {'screen_name': 'vcusoe', 'name': 'VCU Education', 'id': 20072348, 'id_str': '20072348', 'indices': [54, 61]}]",[],en,recent,48910467,48910467,Jason Chow,JasonChow,"Richmond, VA","Assistant Prof of Special Education @vcusoe | @vupeabody @SyracuseU alum | I study language, behavioral, & social development, meta-analysis, and math | he/his",https://t.co/JszF3lKSOg,[],False,1931,938,17,Sat Jun 20 03:04:55 +0000 2009,21255,,,True,False,9479,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/768574404901138436/pObc13g__normal.jpg,https://pbs.twimg.com/profile_images/768574404901138436/pObc13g__normal.jpg,19CF86,181A1E,252429,666666,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/JszF3lKSOg', 'expanded_url': 'http://rampages.us/coglearnlab', 'display_url': 'rampages.us/coglearnlab', 'indices': [0, 23]}]",,00f751614d8ce37b,https://api.twitter.com/1.1/geo/id/00f751614d8ce37b.json,city,Richmond,"Richmond, VA",US,United States,[],Polygon,"[[[-77.601044, 37.447046], [-77.385297, 37.447046], [-77.385297, 37.61272], [-77.601044, 37.61272]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
