,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.scopes.followers
1,Sun Jan 26 04:43:56 +0000 2020,1221292664210870273,1221292664210870273,@mypsanz @KingsCollegeLon She’s my #first tho ... #midwiferyresearch 💜,False,"[26, 70]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211157013913928e+18,1221115701391392769,3254374742.0,3254374742,mypsanz,,,,,False,0,0,False,False,en,"[{'text': 'first', 'indices': [35, 41]}, {'text': 'midwiferyresearch', 'indices': [50, 68]}]",[],"[{'screen_name': 'mypsanz', 'name': 'PSANZ', 'id': 3254374742, 'id_str': '3254374742', 'indices': [0, 8]}, {'screen_name': 'KingsCollegeLon', 'name': ""King's College London"", 'id': 22624441, 'id_str': '22624441', 'indices': [9, 25]}]",[],en,recent,1325063706,1325063706,Jen Hocking,jenhock13,Wurundjeri land ,midwifery lecturer PhD candidate WSU Victorian branch chair @MidwivesACM🤰🏻 #AFC #Özil4eva ⚽️ #breastfeeding🤱🏽🌱,https://t.co/1kJIGMPWof,"[{'url': 'https://t.co/1kJIGMPWof', 'expanded_url': 'http://jenhock.com', 'display_url': 'jenhock.com', 'indices': [0, 23]}]",[],False,1727,2496,63,Wed Apr 03 17:26:47 +0000 2013,54693,,,True,False,19587,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1203458310927609856/a02SLENX_normal.jpg,https://pbs.twimg.com/profile_images/1203458310927609856/a02SLENX_normal.jpg,https://pbs.twimg.com/profile_banners/1325063706/1567899970,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sun Jan 26 03:37:18 +0000 2020,1221275896394518528,1221275896394518528,@aliaadani @KingsCollegeLon @KCLalumni Congrats Alia!! 😍,False,"[39, 56]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212504621853368e+18,1221250462185336832,69578039.0,69578039,aliaadani,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'aliaadani', 'name': 'Alia Dani', 'id': 69578039, 'id_str': '69578039', 'indices': [0, 10]}, {'screen_name': 'KingsCollegeLon', 'name': ""King's College London"", 'id': 22624441, 'id_str': '22624441', 'indices': [11, 27]}, {'screen_name': 'KCLalumni', 'name': 'KCL Alumni', 'id': 115126633, 'id_str': '115126633', 'indices': [28, 38]}]",[],en,recent,1170112778339835904,1170112778339835904,Jessica El Halabi,Jessica_Halabi,"Boston, MA","MD @aub_lebanon, Masters' Student @HarvardDBMI, Postdoc Fellow Farhat Lab @HarvardDBMI @harvardmed",,,[],False,113,161,0,Fri Sep 06 23:14:04 +0000 2019,200,,,False,False,29,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1219798512617082883/qI8HYhiX_normal.jpg,https://pbs.twimg.com/profile_images/1219798512617082883/qI8HYhiX_normal.jpg,https://pbs.twimg.com/profile_banners/1170112778339835904/1567812296,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Sat Jan 25 22:53:41 +0000 2020,1221204522850226177,1221204522850226177,@NatashaSeaton2 @KingsCollegeLon @MSc_HealthPsy @KingsIoPPN Congrats! Glad that you'll be sticking around in health psych ☺,False,"[60, 123]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2210968448660849e+18,1221096844866084867,1.169006797765714e+18,1169006797765713925,NatashaSeaton2,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'NatashaSeaton2', 'name': 'Natasha Seaton', 'id': 1169006797765713925, 'id_str': '1169006797765713925', 'indices': [0, 15]}, {'screen_name': 'KingsCollegeLon', 'name': ""King's College London"", 'id': 22624441, 'id_str': '22624441', 'indices': [16, 32]}, {'screen_name': 'MSc_HealthPsy', 'name': 'kcl_msc_healthpsy', 'id': 964167598198935554, 'id_str': '964167598198935554', 'indices': [33, 47]}, {'screen_name': 'KingsIoPPN', 'name': 'Institute of Psychiatry, Psychology & Neuroscience', 'id': 936581539, 'id_str': '936581539', 'indices': [48, 59]}]",[],en,recent,1003673139216252928,1003673139216252928,Ashley Brown,sarashleybrown,"London, England",PhD student researching atypical sexual interests and mental health. Future professor and sex therapist.  All views are my own!,,,[],False,121,144,3,Mon Jun 04 16:21:38 +0000 2018,1046,,,False,False,247,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1008720061102788610/9Wh-YUKI_normal.jpg,https://pbs.twimg.com/profile_images/1008720061102788610/9Wh-YUKI_normal.jpg,,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Sat Jan 25 16:12:01 +0000 2020,1221103440065069056,1221103440065069056,"""History Was Accelerated in the Wake of BJP's 2019 Victory"". An interview with Prof. @jaffrelotc with @thewire_in 

@KingsSSPP @KingsCollegeLon",False,"[0, 143]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'jaffrelotc', 'name': 'Jaffrelot Christophe', 'id': 316939684, 'id_str': '316939684', 'indices': [85, 96]}, {'screen_name': 'thewire_in', 'name': 'The Wire', 'id': 3150940290, 'id_str': '3150940290', 'indices': [102, 113]}, {'screen_name': 'KingsSSPP', 'name': ""King's SSPP"", 'id': 435969548, 'id_str': '435969548', 'indices': [116, 126]}, {'screen_name': 'KingsCollegeLon', 'name': ""King's College London"", 'id': 22624441, 'id_str': '22624441', 'indices': [127, 143]}]",[],en,recent,356093768,356093768,King's India Institute,KingsIndiaInst,"London, United Kingdom",The King's India Institute at @KingsCollegeLon | promoting a greater understanding of contemporary India in the UK and worldwide,https://t.co/bk66tx7p7O,"[{'url': 'https://t.co/bk66tx7p7O', 'expanded_url': 'http://www.kcl.ac.uk/india', 'display_url': 'kcl.ac.uk/india', 'indices': [0, 23]}]",[],False,4497,645,98,Tue Aug 16 10:08:17 +0000 2011,271,,,False,False,3225,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1161288608650813440/4f64NgxM_normal.jpg,https://pbs.twimg.com/profile_images/1161288608650813440/4f64NgxM_normal.jpg,https://pbs.twimg.com/profile_banners/356093768/1565707847,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Sat Jan 25 10:46:52 +0000 2020,1221021613212217344,1221021613212217344,"@KingsIoPPN @IoPPN_Inclusion @ACMA_KCL @KingsCollegeLon Make sure you share and connect with their work! Thank you 💛💛 @hambahamba01 @ShyaamMarcus @jasonpaulgrant @shocka_artist @Infecta @Deji_Vu @yyalipende  
@SumanFernando, @CallMePrime_
@dbcxptures, Dr Isaac Akande, Dr Cyrus Abbasian! #BIPPNetwork",False,"[56, 300]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2210202303543378e+18,1221020230354337793,1.1932473262378394e+18,1193247326237839360,BIPPNetwork,,,,,False,3,1,False,False,en,"[{'text': 'BIPPNetwork', 'indices': [288, 300]}]",[],"[{'screen_name': 'KingsIoPPN', 'name': 'Institute of Psychiatry, Psychology & Neuroscience', 'id': 936581539, 'id_str': '936581539', 'indices': [0, 11]}, {'screen_name': 'IoPPN_Inclusion', 'name': 'IoPPN D&I', 'id': 4105658669, 'id_str': '4105658669', 'indices': [12, 28]}, {'screen_name': 'ACMA_KCL', 'name': 'KCL African-Caribbean Medical Association', 'id': 1015692100548034560, 'id_str': '1015692100548034560', 'indices': [29, 38]}, {'screen_name': 'KingsCollegeLon', 'name': ""King's College London"", 'id': 22624441, 'id_str': '22624441', 'indices': [39, 55]}, {'screen_name': 'hambahamba01', 'name': 'Dr Peter Phiri', 'id': 31474439, 'id_str': '31474439', 'indices': [118, 131]}, {'screen_name': 'ShyaamMarcus', 'name': 'Shy Bundy (BSc., MBPsS)', 'id': 190367583, 'id_str': '190367583', 'indices': [132, 145]}, {'screen_name': 'jasonpaulgrant', 'name': 'Jason Paul Grant', 'id': 72939033, 'id_str': '72939033', 'indices': [146, 161]}, {'screen_name': 'shocka_artist', 'name': 'Shocka Artist', 'id': 2718178857, 'id_str': '2718178857', 'indices': [162, 176]}, {'screen_name': 'Infecta', 'name': 'I.', 'id': 22988731, 'id_str': '22988731', 'indices': [177, 185]}, {'screen_name': 'Deji_Vu', 'name': 'Dej The Ego', 'id': 230804728, 'id_str': '230804728', 'indices': [186, 194]}, {'screen_name': 'yyalipende', 'name': 'Yannick Yalipende', 'id': 1207966378738823168, 'id_str': '1207966378738823168', 'indices': [195, 206]}, {'screen_name': 'SumanFernando', 'name': 'Suman Fernando', 'id': 3208575527, 'id_str': '3208575527', 'indices': [209, 223]}, {'screen_name': 'CallMePrime_', 'name': 'Drakken Ryuguji', 'id': 268511056, 'id_str': '268511056', 'indices': [225, 238]}, {'screen_name': 'dbcxptures', 'name': 'Mr #WrayNPlay 🖤', 'id': 2426616467, 'id_str': '2426616467', 'indices': [239, 250]}]",[],en,recent,1193247326237839360,1193247326237839360,BAME in Psychiatry & Psychology,BIPPNetwork,"London, England",A network of BAME psychiatrists and psychologists prioritising and advancing the representation of BAME groups within psych-disciplines | bameinpp@gmail.com,https://t.co/aXn60I6m3s,"[{'url': 'https://t.co/aXn60I6m3s', 'expanded_url': 'http://www.linkedin.com/company/bippnetwork', 'display_url': 'linkedin.com/company/bippne…', 'indices': [0, 23]}]",[],False,748,333,3,Sat Nov 09 19:22:02 +0000 2019,57,,,True,False,128,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1193251173777788928/b273iFPE_normal.jpg,https://pbs.twimg.com/profile_images/1193251173777788928/b273iFPE_normal.jpg,https://pbs.twimg.com/profile_banners/1193247326237839360/1573328464,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Sat Jan 25 10:41:23 +0000 2020,1221020230354337793,1221020230354337793,"@KingsIoPPN @IoPPN_Inclusion @ACMA_KCL @KingsCollegeLon We would also like to say a huge thank you to our fantastic panellists who shared their lived experience, knowledge, energy and insights into what needs to be done to support BAME men experiencing #mentalhealth issues.",False,"[56, 274]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2210196124033802e+18,1221019612403380226,1.1932473262378394e+18,1193247326237839360,BIPPNetwork,,,,,False,1,2,False,False,en,"[{'text': 'mentalhealth', 'indices': [253, 266]}]",[],"[{'screen_name': 'KingsIoPPN', 'name': 'Institute of Psychiatry, Psychology & Neuroscience', 'id': 936581539, 'id_str': '936581539', 'indices': [0, 11]}, {'screen_name': 'IoPPN_Inclusion', 'name': 'IoPPN D&I', 'id': 4105658669, 'id_str': '4105658669', 'indices': [12, 28]}, {'screen_name': 'ACMA_KCL', 'name': 'KCL African-Caribbean Medical Association', 'id': 1015692100548034560, 'id_str': '1015692100548034560', 'indices': [29, 38]}, {'screen_name': 'KingsCollegeLon', 'name': ""King's College London"", 'id': 22624441, 'id_str': '22624441', 'indices': [39, 55]}]",[],en,recent,1193247326237839360,1193247326237839360,BAME in Psychiatry & Psychology,BIPPNetwork,"London, England",A network of BAME psychiatrists and psychologists prioritising and advancing the representation of BAME groups within psych-disciplines | bameinpp@gmail.com,https://t.co/aXn60I6m3s,"[{'url': 'https://t.co/aXn60I6m3s', 'expanded_url': 'http://www.linkedin.com/company/bippnetwork', 'display_url': 'linkedin.com/company/bippne…', 'indices': [0, 23]}]",[],False,748,333,3,Sat Nov 09 19:22:02 +0000 2019,57,,,True,False,128,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1193251173777788928/b273iFPE_normal.jpg,https://pbs.twimg.com/profile_images/1193251173777788928/b273iFPE_normal.jpg,https://pbs.twimg.com/profile_banners/1193247326237839360/1573328464,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Sat Jan 25 10:38:55 +0000 2020,1221019612403380226,1221019612403380226,@KingsIoPPN @IoPPN_Inclusion @ACMA_KCL It goes without saying (but also important to say) that the event would not have been such a success without the support of collaborators @KingsCollegeLon and @ACMA_KCL ! Thank you 💙,False,"[39, 221]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.221018734258684e+18,1221018734258683904,1.1932473262378394e+18,1193247326237839360,BIPPNetwork,,,,,False,1,1,False,False,en,[],[],"[{'screen_name': 'KingsIoPPN', 'name': 'Institute of Psychiatry, Psychology & Neuroscience', 'id': 936581539, 'id_str': '936581539', 'indices': [0, 11]}, {'screen_name': 'IoPPN_Inclusion', 'name': 'IoPPN D&I', 'id': 4105658669, 'id_str': '4105658669', 'indices': [12, 28]}, {'screen_name': 'ACMA_KCL', 'name': 'KCL African-Caribbean Medical Association', 'id': 1015692100548034560, 'id_str': '1015692100548034560', 'indices': [29, 38]}, {'screen_name': 'KingsCollegeLon', 'name': ""King's College London"", 'id': 22624441, 'id_str': '22624441', 'indices': [177, 193]}, {'screen_name': 'ACMA_KCL', 'name': 'KCL African-Caribbean Medical Association', 'id': 1015692100548034560, 'id_str': '1015692100548034560', 'indices': [198, 207]}]",[],en,recent,1193247326237839360,1193247326237839360,BAME in Psychiatry & Psychology,BIPPNetwork,"London, England",A network of BAME psychiatrists and psychologists prioritising and advancing the representation of BAME groups within psych-disciplines | bameinpp@gmail.com,https://t.co/aXn60I6m3s,"[{'url': 'https://t.co/aXn60I6m3s', 'expanded_url': 'http://www.linkedin.com/company/bippnetwork', 'display_url': 'linkedin.com/company/bippne…', 'indices': [0, 23]}]",[],False,748,333,3,Sat Nov 09 19:22:02 +0000 2019,57,,,True,False,128,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1193251173777788928/b273iFPE_normal.jpg,https://pbs.twimg.com/profile_images/1193251173777788928/b273iFPE_normal.jpg,https://pbs.twimg.com/profile_banners/1193247326237839360/1573328464,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Sat Jan 25 05:50:52 +0000 2020,1220947119722442752,1220947119722442752,"@flimsin @KingsCollegeLon No, thank you for sharing this.",False,"[26, 57]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2209461867833385e+18,1220946186783338497,92241457.0,92241457,flimsin,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'flimsin', 'name': 'Dr Tamsin Edwards', 'id': 92241457, 'id_str': '92241457', 'indices': [0, 8]}, {'screen_name': 'KingsCollegeLon', 'name': ""King's College London"", 'id': 22624441, 'id_str': '22624441', 'indices': [9, 25]}]",[],en,recent,17259482,17259482,Diego Arguedas Ortiz,arguedasortiz,"San Jose, Costa Rica",Comunicación climática | Antes periodista en @ojoalclima @BBC_Future @ClimateTracking | Coordino periodismo en @ECCC_UCR | @KingsCollegeLon 17-18 | Él/He/Him,https://t.co/5WvSfQG3yI,"[{'url': 'https://t.co/5WvSfQG3yI', 'expanded_url': 'https://www.clippings.me/diegoarguedas', 'display_url': 'clippings.me/diegoarguedas', 'indices': [0, 23]}]",[],False,4266,2172,124,Sat Nov 08 21:29:29 +0000 2008,22806,,,True,False,10845,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1131218380663472128/qrNxmZvO_normal.png,https://pbs.twimg.com/profile_images/1131218380663472128/qrNxmZvO_normal.png,https://pbs.twimg.com/profile_banners/17259482/1569798003,4A913C,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Sat Jan 25 05:47:09 +0000 2020,1220946186783338497,1220946186783338497,@arguedasortiz @KingsCollegeLon Thank you Diego,False,"[32, 47]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220844097486934e+18,1220844097486934016,17259482.0,17259482,arguedasortiz,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'arguedasortiz', 'name': 'Diego Arguedas Ortiz', 'id': 17259482, 'id_str': '17259482', 'indices': [0, 14]}, {'screen_name': 'KingsCollegeLon', 'name': ""King's College London"", 'id': 22624441, 'id_str': '22624441', 'indices': [15, 31]}]",[],en,recent,92241457,92241457,Dr Tamsin Edwards,flimsin,"London, England","Climate scientist, lecturer @KCLGeography, IPCC author, PLOS blogger. Researching: sea level rise from Antarctica & Greenland. Surviving: bowel cancer. 🏳️‍🌈",https://t.co/ita1O5NJeE,"[{'url': 'https://t.co/ita1O5NJeE', 'expanded_url': 'http://blogs.plos.org/models', 'display_url': 'blogs.plos.org/models', 'indices': [0, 23]}]",[],False,17764,2613,572,Tue Nov 24 10:19:24 +0000 2009,11909,,,False,False,39298,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1003555792551858177/e_ZSpa4X_normal.jpg,https://pbs.twimg.com/profile_images/1003555792551858177/e_ZSpa4X_normal.jpg,https://pbs.twimg.com/profile_banners/92241457/1430144463,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Fri Jan 24 20:57:03 +0000 2020,1220812780363796487,1220812780363796487,"@JamesSaretta @morenorse @UofGIMCSB @KingsCollegeLon @ProfClayton @MassiVassi It absolutely does NOT matter one bit in principle. In practice, I just like the look of pencil for my rough notes on the first pass. My drawings look better to me with that sketchy look.",False,"[78, 265]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2208120152470856e+18,1220812015247085568,17721541.0,17721541,JamesSaretta,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'JamesSaretta', 'name': 'James Saretta', 'id': 17721541, 'id_str': '17721541', 'indices': [0, 13]}, {'screen_name': 'morenorse', 'name': 'Mathis O Riehle', 'id': 222024531, 'id_str': '222024531', 'indices': [14, 24]}, {'screen_name': 'UofGIMCSB', 'name': 'Institute of MCSB', 'id': 710446214534324224, 'id_str': '710446214534324224', 'indices': [25, 35]}, {'screen_name': 'KingsCollegeLon', 'name': ""King's College London"", 'id': 22624441, 'id_str': '22624441', 'indices': [36, 52]}, {'screen_name': 'ProfClayton', 'name': 'ProfClayton', 'id': 65554213, 'id_str': '65554213', 'indices': [53, 65]}, {'screen_name': 'MassiVassi', 'name': 'Massimo Vassalli', 'id': 1005901371365838848, 'id_str': '1005901371365838848', 'indices': [66, 77]}]",[],en,recent,2395056180,2395056180,Rob Dimeo,Rob_Dimeo,"Germantown, MD",Sketchnoter of science & other stuff; doodler; physicist; scatterer of neutrons; doing one creative thing a day. Opinions expressed here are my own.,https://t.co/9VeBlVKQFW,"[{'url': 'https://t.co/9VeBlVKQFW', 'expanded_url': 'https://flic.kr/s/aHsk4Gruno', 'display_url': 'flic.kr/s/aHsk4Gruno', 'indices': [0, 23]}]",[],False,4259,1713,224,Mon Mar 17 20:31:42 +0000 2014,26120,,,True,False,8777,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1194580414310039552/9_joAhg9_normal.jpg,https://pbs.twimg.com/profile_images/1194580414310039552/9_joAhg9_normal.jpg,https://pbs.twimg.com/profile_banners/2395056180/1473800034,4A913C,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
