,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
3,Sun Jan 26 00:58:59 +0000 2020,1221236055212470278,1221236055212470278,@AllenThomas4ENC @ecubasketball @American_Conf @EastCarolina @ECUChancellor @ECUAthletics JJ Miles for miles and miles and miles and miles!!!,False,"[90, 141]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2212358240517489e+18,1221235824051748864,258671240.0,258671240,AllenThomas4ENC,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'AllenThomas4ENC', 'name': 'Allen Thomas', 'id': 258671240, 'id_str': '258671240', 'indices': [0, 16]}, {'screen_name': 'ecubasketball', 'name': 'ECU Men’s Basketball', 'id': 183442003, 'id_str': '183442003', 'indices': [17, 31]}, {'screen_name': 'American_Conf', 'name': 'The American', 'id': 35800079, 'id_str': '35800079', 'indices': [32, 46]}, {'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [47, 60]}, {'screen_name': 'ECUChancellor', 'name': 'Ron Mitchelson', 'id': 725026332439121921, 'id_str': '725026332439121921', 'indices': [61, 75]}, {'screen_name': 'ECUAthletics', 'name': 'ECU Athletics', 'id': 55227147, 'id_str': '55227147', 'indices': [76, 89]}]",[],en,recent,63357946,63357946,Chris Floyd,piratefloyd,NC - USA,"Dignified Insanity, lover of laughter, East Carolina University fanatic and lifelong hospitality geek.",,[],False,67,239,1,Thu Aug 06 03:35:31 +0000 2009,5693,,,False,False,1392,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/350650041/Me_and_PeeDee_normal.jpg,https://pbs.twimg.com/profile_images/350650041/Me_and_PeeDee_normal.jpg,https://pbs.twimg.com/profile_banners/63357946/1524846473,0099B9,000000,000000,000000,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sat Jan 25 01:49:55 +0000 2020,1220886483051085824,1220886483051085824,RT @MsRiversACHS: Hey NC schools--I'm a high school teacher and want to display college pennants in my classroom to encourage college atten…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,13,0,False,False,en,[],[],"[{'screen_name': 'MsRiversACHS', 'name': 'Christy Rivers', 'id': 2441011077, 'id_str': '2441011077', 'indices': [3, 16]}]",[],en,recent,824353028824322083,824353028824322083,Lauren,pirategal71,"Virginia, USA",CHD Survivor ❤ Crazy about #EastCarolina Football and all things Purple💜  FKA @Pirategal4 #BTeam,https://t.co/losYmNZSyq,[],False,256,835,3,Wed Jan 25 20:27:32 +0000 2017,51530,,,False,False,5477,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1205672572702068737/-qLlf0Uz_normal.jpg,https://pbs.twimg.com/profile_images/1205672572702068737/-qLlf0Uz_normal.jpg,https://pbs.twimg.com/profile_banners/824353028824322083/1576278503,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,"[{'url': 'https://t.co/losYmNZSyq', 'expanded_url': 'http://www.mendedlittlehearts.org', 'display_url': 'mendedlittlehearts.org', 'indices': [0, 23]}]",Fri Jan 24 14:27:02 +0000 2020,1.2207146325636792e+18,1220714632563679233,Hey NC schools--I'm a high school teacher and want to display college pennants in my classroom to encourage college attendance. Will you help me by donating one? @unc @ncstate @dukeu @unccharlotte @NCATAdmissions @EastCarolina @WCU @DavidsonCollege @WakeForest @campbelledu,False,"[0, 273]",[],[],"[{'screen_name': 'UNC', 'name': 'UNC-Chapel Hill', 'id': 20683724, 'id_str': '20683724', 'indices': [162, 166]}, {'screen_name': 'NCState', 'name': 'NC State University', 'id': 487624974, 'id_str': '487624974', 'indices': [167, 175]}, {'screen_name': 'DukeU', 'name': 'Duke University', 'id': 23450421, 'id_str': '23450421', 'indices': [176, 182]}, {'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [183, 196]}, {'screen_name': 'NCATAdmissions', 'name': 'NC A&T Admissions', 'id': 80351365, 'id_str': '80351365', 'indices': [197, 212]}, {'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [213, 226]}, {'screen_name': 'WCU', 'name': 'Western Carolina University', 'id': 16349298, 'id_str': '16349298', 'indices': [227, 231]}, {'screen_name': 'DavidsonCollege', 'name': 'Davidson College', 'id': 353477625, 'id_str': '353477625', 'indices': [232, 248]}, {'screen_name': 'WakeForest', 'name': 'Wake Forest University', 'id': 34685994, 'id_str': '34685994', 'indices': [249, 260]}, {'screen_name': 'campbelledu', 'name': 'Campbell University', 'id': 36977227, 'id_str': '36977227', 'indices': [261, 273]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,2441011077.0,2441011077,Christy Rivers,MsRiversACHS,"Boone, NC","English teacher at Ashe County High School in West Jefferson, NC.",https://t.co/kHcq8qAGAi,"[{'url': 'https://t.co/kHcq8qAGAi', 'expanded_url': 'https://goo.gl/sIwg7q', 'display_url': 'goo.gl/sIwg7q', 'indices': [0, 23]}]",[],False,239.0,455.0,12.0,Fri Mar 28 00:38:08 +0000 2014,1174.0,,,False,False,901.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1038088783365922816/nplLuBI3_normal.jpg,https://pbs.twimg.com/profile_images/1038088783365922816/nplLuBI3_normal.jpg,https://pbs.twimg.com/profile_banners/2441011077/1536334772,9266CC,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,False,13.0,122.0,False,False,en
31,Fri Jan 24 20:00:21 +0000 2020,1220798511383531522,1220798511383531522,@MsRiversACHS @UNC @NCState @DukeU @unccharlotte @EastCarolina @WCU @DavidsonCollege @WakeForest @campbelledu We’d love for Aggie Pride to be represented! Please send an email to rjworthy@ncat.edu and we will send one to you 💙💛.,False,"[110, 228]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207146325636792e+18,1220714632563679233,2441011077.0,2441011077,MsRiversACHS,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'MsRiversACHS', 'name': 'Christy Rivers', 'id': 2441011077, 'id_str': '2441011077', 'indices': [0, 13]}, {'screen_name': 'UNC', 'name': 'UNC-Chapel Hill', 'id': 20683724, 'id_str': '20683724', 'indices': [14, 18]}, {'screen_name': 'NCState', 'name': 'NC State University', 'id': 487624974, 'id_str': '487624974', 'indices': [19, 27]}, {'screen_name': 'DukeU', 'name': 'Duke University', 'id': 23450421, 'id_str': '23450421', 'indices': [28, 34]}, {'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [35, 48]}, {'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [49, 62]}, {'screen_name': 'WCU', 'name': 'Western Carolina University', 'id': 16349298, 'id_str': '16349298', 'indices': [63, 67]}, {'screen_name': 'DavidsonCollege', 'name': 'Davidson College', 'id': 353477625, 'id_str': '353477625', 'indices': [68, 84]}, {'screen_name': 'WakeForest', 'name': 'Wake Forest University', 'id': 34685994, 'id_str': '34685994', 'indices': [85, 96]}, {'screen_name': 'campbelledu', 'name': 'Campbell University', 'id': 36977227, 'id_str': '36977227', 'indices': [97, 109]}]",[],en,recent,80351365,80351365,NC A&T Admissions,NCATAdmissions,"Greensboro, NC",Office of Undergraduate Admissions,https://t.co/fDqV5q9ZCs,[],False,3242,359,40,Tue Oct 06 17:11:42 +0000 2009,4566,,,True,False,5458,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/659807549198368769/cE4rdDAU_normal.png,https://pbs.twimg.com/profile_images/659807549198368769/cE4rdDAU_normal.png,https://pbs.twimg.com/profile_banners/80351365/1415278547,0084B4,A8C7F7,C0DFEC,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,"[{'url': 'https://t.co/fDqV5q9ZCs', 'expanded_url': 'http://www.ncat.edu/admissions/undergraduate', 'display_url': 'ncat.edu/admissions/und…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Fri Jan 24 17:32:00 +0000 2020,1220761177766158336,1220761177766158336,@MsRiversACHS @UNC @NCState @DukeU @unccharlotte @NCATAdmissions @EastCarolina @WCU @DavidsonCollege @WakeForest @campbelledu We’d love to send a WFU pennant your way! DM us your address. 🎩 #godeacs,False,"[126, 198]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207146325636792e+18,1220714632563679233,2441011077.0,2441011077,MsRiversACHS,,,,,False,0,9,False,False,en,"[{'text': 'godeacs', 'indices': [190, 198]}]",[],"[{'screen_name': 'MsRiversACHS', 'name': 'Christy Rivers', 'id': 2441011077, 'id_str': '2441011077', 'indices': [0, 13]}, {'screen_name': 'UNC', 'name': 'UNC-Chapel Hill', 'id': 20683724, 'id_str': '20683724', 'indices': [14, 18]}, {'screen_name': 'NCState', 'name': 'NC State University', 'id': 487624974, 'id_str': '487624974', 'indices': [19, 27]}, {'screen_name': 'DukeU', 'name': 'Duke University', 'id': 23450421, 'id_str': '23450421', 'indices': [28, 34]}, {'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [35, 48]}, {'screen_name': 'NCATAdmissions', 'name': 'NC A&T Admissions', 'id': 80351365, 'id_str': '80351365', 'indices': [49, 64]}, {'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [65, 78]}, {'screen_name': 'WCU', 'name': 'Western Carolina University', 'id': 16349298, 'id_str': '16349298', 'indices': [79, 83]}, {'screen_name': 'DavidsonCollege', 'name': 'Davidson College', 'id': 353477625, 'id_str': '353477625', 'indices': [84, 100]}, {'screen_name': 'WakeForest', 'name': 'Wake Forest University', 'id': 34685994, 'id_str': '34685994', 'indices': [101, 112]}, {'screen_name': 'campbelledu', 'name': 'Campbell University', 'id': 36977227, 'id_str': '36977227', 'indices': [113, 125]}]",[],en,recent,1901670500,1901670500,Wake Forest Alumni,WFUAlumni,"Winston-Salem, NC",Cultivating goodwill and engagement between Deacons everywhere and @WakeForest. The official voice of the Office of Alumni Engagement. #WFUAlumni,https://t.co/0GtrFmKEtJ,[],False,2892,518,38,Tue Sep 24 20:27:39 +0000 2013,7647,,,True,False,4104,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/598138664246448128/qPF8R_iI_normal.jpg,https://pbs.twimg.com/profile_images/598138664246448128/qPF8R_iI_normal.jpg,https://pbs.twimg.com/profile_banners/1901670500/1579878098,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,"[{'url': 'https://t.co/0GtrFmKEtJ', 'expanded_url': 'http://alumni.wfu.edu', 'display_url': 'alumni.wfu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Fri Jan 24 16:44:42 +0000 2020,1220749274130132997,1220749274130132997,@MsRiversACHS @UNC @NCState @DukeU @unccharlotte @NCATAdmissions @EastCarolina @DavidsonCollege @WakeForest @campbelledu Email our admissions office at admiss@wcu.edu!,False,"[121, 167]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207146325636792e+18,1220714632563679233,2441011077.0,2441011077,MsRiversACHS,,,,,False,0,6,False,False,en,[],[],"[{'screen_name': 'MsRiversACHS', 'name': 'Christy Rivers', 'id': 2441011077, 'id_str': '2441011077', 'indices': [0, 13]}, {'screen_name': 'UNC', 'name': 'UNC-Chapel Hill', 'id': 20683724, 'id_str': '20683724', 'indices': [14, 18]}, {'screen_name': 'NCState', 'name': 'NC State University', 'id': 487624974, 'id_str': '487624974', 'indices': [19, 27]}, {'screen_name': 'DukeU', 'name': 'Duke University', 'id': 23450421, 'id_str': '23450421', 'indices': [28, 34]}, {'screen_name': 'unccharlotte', 'name': 'UNC Charlotte', 'id': 281285283, 'id_str': '281285283', 'indices': [35, 48]}, {'screen_name': 'NCATAdmissions', 'name': 'NC A&T Admissions', 'id': 80351365, 'id_str': '80351365', 'indices': [49, 64]}, {'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [65, 78]}, {'screen_name': 'DavidsonCollege', 'name': 'Davidson College', 'id': 353477625, 'id_str': '353477625', 'indices': [79, 95]}, {'screen_name': 'WakeForest', 'name': 'Wake Forest University', 'id': 34685994, 'id_str': '34685994', 'indices': [96, 107]}, {'screen_name': 'campbelledu', 'name': 'Campbell University', 'id': 36977227, 'id_str': '36977227', 'indices': [108, 120]}]",[],en,recent,16349298,16349298,Western Carolina University,WCU,"Cullowhee, NC","We look for students who fight for success. Who are ready to explore, challenge themselves, and work harder for their ambitions. RTs are not endorsements.",https://t.co/c4jHvhRnES,[],False,18807,750,181,Thu Sep 18 16:57:35 +0000 2008,11488,,,True,True,17817,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/925766074481590272/x1OqMteU_normal.jpg,https://pbs.twimg.com/profile_images/925766074481590272/x1OqMteU_normal.jpg,https://pbs.twimg.com/profile_banners/16349298/1551889701,4D038A,FFFFFF,C6A85E,401683,True,False,False,False,False,False,False,none,,,,,,,,,,,"[{'url': 'https://t.co/c4jHvhRnES', 'expanded_url': 'http://wcu.edu', 'display_url': 'wcu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Fri Jan 24 15:00:16 +0000 2020,1220722995112574978,1220722995112574978,"Here in @GreenvilleNC, United States, near @EastCarolina, it takes about 2-3 years to build a bridge and a Building the size of @Starbucks. Till this day, they are ‘still’ building it. In China, they are about to build a 25,000 square meter Hospital within 10 days. Amazing!",False,"[0, 274]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'GreenvilleNC', 'name': 'City of Greenville, NC', 'id': 36648252, 'id_str': '36648252', 'indices': [8, 21]}, {'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [43, 56]}, {'screen_name': 'Starbucks', 'name': 'Starbucks Coffee', 'id': 30973, 'id_str': '30973', 'indices': [128, 138]}]",[],en,recent,786934772190687232,786934772190687232,🥛🧢,DRINKTHYMILK,,United States Veteran. A University student specializing in “Creative Writing” GOD is my everything.,,[],False,4790,3194,20,Fri Oct 14 14:20:45 +0000 2016,15261,,,True,False,7374,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1214373764932210689/jcJe801Q_normal.jpg,https://pbs.twimg.com/profile_images/1214373764932210689/jcJe801Q_normal.jpg,https://pbs.twimg.com/profile_banners/786934772190687232/1574485100,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Fri Jan 24 12:07:28 +0000 2020,1220679507562127361,1220679507562127361,"@CAMontgomeryEDU @Publix @EastCarolina @EastCarolina I would actually be curious what the distribution plan is here, considering most people are saying you can’t find these in NC./SC.",False,"[39, 183]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220205421631279e+18,1220205421631279104,8.348531387713454e+17,834853138771345409,CAMontgomeryEDU,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'CAMontgomeryEDU', 'name': 'Chelsea A. Montgomery', 'id': 834853138771345409, 'id_str': '834853138771345409', 'indices': [0, 16]}, {'screen_name': 'Publix', 'name': 'Publix', 'id': 14784550, 'id_str': '14784550', 'indices': [17, 24]}, {'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [25, 38]}, {'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [39, 52]}]",[],en,recent,61818433,61818433,Coastal Juan,Coastal_Juan,"Wilmington, NC","Cruncher Of Numbers, Captain Of Miniature Yacht, ECU Alum, Panthers Fan, Business Drunk",,[],False,76,330,1,Fri Jul 31 17:06:22 +0000 2009,3606,,,True,False,1017,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/883300473637359616/f2Dryyg6_normal.jpg,https://pbs.twimg.com/profile_images/883300473637359616/f2Dryyg6_normal.jpg,https://pbs.twimg.com/profile_banners/61818433/1572991830,007599,000000,EFEFEF,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Fri Jan 24 07:53:01 +0000 2020,1220615471818592256,1220615471818592256,"@VanCarlito2003 @EastCarolina @UofAlabama Man I studied, bought the books, took a class had the cards with gre words.I just don’t understand the worth of it.",False,"[42, 157]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2206130244421468e+18,1220613024442146816,136480743.0,136480743,VanCarlito2003,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'VanCarlito2003', 'name': 'Dr. Frederick V. Engram Jr.', 'id': 136480743, 'id_str': '136480743', 'indices': [0, 15]}, {'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [16, 29]}, {'screen_name': 'UofAlabama', 'name': 'The Univ. of Alabama', 'id': 18685948, 'id_str': '18685948', 'indices': [30, 41]}]",[],en,recent,736956341793751040,736956341793751040,Richard Jowers,JowersWBB,,U. of Alabama Doctoral Student Women's Basketball Coach ΩΨΦ. Powerful Beyond Measures USAB Gold WCBA. 16-17 CAASC STATE CHAMP HBCU ALUMNUS ECSU-ECU-UA,https://t.co/EzOMqtrZQi,[],False,1862,3114,3,Sun May 29 16:24:18 +0000 2016,6802,,,True,False,12945,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1100209858379431936/pP6dDUDK_normal.jpg,https://pbs.twimg.com/profile_images/1100209858379431936/pP6dDUDK_normal.jpg,https://pbs.twimg.com/profile_banners/736956341793751040/1552768878,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,"[{'url': 'https://t.co/EzOMqtrZQi', 'expanded_url': 'http://richardjowers.com', 'display_url': 'richardjowers.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Fri Jan 24 07:40:48 +0000 2020,1220612397620174849,1220612397620174849,"@VanCarlito2003 Preach, I’m thankful to @EastCarolina for giving me entrance on academic probation and my program at @UofAlabama for  not requiring it! I did  not do good at all but I currently have a 3.8 cumulative gpa and got A’s in all of my statistic classes",False,"[16, 262]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205667605854208e+18,1220566760585420800,136480743.0,136480743,VanCarlito2003,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'VanCarlito2003', 'name': 'Dr. Frederick V. Engram Jr.', 'id': 136480743, 'id_str': '136480743', 'indices': [0, 15]}, {'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [40, 53]}, {'screen_name': 'UofAlabama', 'name': 'The Univ. of Alabama', 'id': 18685948, 'id_str': '18685948', 'indices': [117, 128]}]",[],en,recent,736956341793751040,736956341793751040,Richard Jowers,JowersWBB,,U. of Alabama Doctoral Student Women's Basketball Coach ΩΨΦ. Powerful Beyond Measures USAB Gold WCBA. 16-17 CAASC STATE CHAMP HBCU ALUMNUS ECSU-ECU-UA,https://t.co/EzOMqtrZQi,[],False,1862,3114,3,Sun May 29 16:24:18 +0000 2016,6802,,,True,False,12945,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1100209858379431936/pP6dDUDK_normal.jpg,https://pbs.twimg.com/profile_images/1100209858379431936/pP6dDUDK_normal.jpg,https://pbs.twimg.com/profile_banners/736956341793751040/1552768878,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,"[{'url': 'https://t.co/EzOMqtrZQi', 'expanded_url': 'http://richardjowers.com', 'display_url': 'richardjowers.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Fri Jan 24 05:29:06 +0000 2020,1220579253747699712,1220579253747699712,"@EastCarolina @TEC_newspaper Get 2 Med 2 Toppings $5.99 each. Or Med 2 Topping &amp; 2 20oz Cokes $9.99. Add LavaCake $4.49, CinnaTwist $5.99 or CookieBrownie $6.49.",False,"[0, 165]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,179111246.0,179111246,EastCarolina,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'EastCarolina', 'name': 'ECU', 'id': 179111246, 'id_str': '179111246', 'indices': [0, 13]}, {'screen_name': 'TEC_newspaper', 'name': 'The East Carolinian', 'id': 38582082, 'id_str': '38582082', 'indices': [14, 28]}]",[],en,recent,1141543392,1141543392,1201SCharlesBlvdGrvl,NCECUDominos,"1201S.CharlesB.Greenville,NC",Proudly Serving East Carolina University and the surrounding area since 1979. Follow us for daily specials. Phone# (252)758-6660 Online: http://t.co/chn09qZS,,"[{'url': 'http://t.co/chn09qZS', 'expanded_url': 'http://Dominos.com', 'display_url': 'Dominos.com', 'indices': [137, 157]}]",False,203,229,3,Sat Feb 02 05:20:19 +0000 2013,199,,,False,False,5295,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/3202810354/c1324be645565e8500c15824b549d727_normal.jpeg,https://pbs.twimg.com/profile_images/3202810354/c1324be645565e8500c15824b549d727_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
