,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.scopes.followers,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,possibly_sensitive
2,Sat Jan 25 16:07:29 +0000 2020,1221102297515724801,1221102297515724801,@MLBArabie @KAUST_News @EnrichAtKaust Well deserved! ❤️,False,"[38, 55]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2210995092515512e+18,1221099509251551232,155538784.0,155538784,MLBArabie,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'MLBArabie', 'name': 'marie-laure boulot', 'id': 155538784, 'id_str': '155538784', 'indices': [0, 10]}, {'screen_name': 'KAUST_News', 'name': 'KAUST', 'id': 22501769, 'id_str': '22501769', 'indices': [11, 22]}, {'screen_name': 'EnrichAtKaust', 'name': 'Enrichment at KAUST', 'id': 2922743164, 'id_str': '2922743164', 'indices': [23, 37]}]",[],en,recent,917080517950038016,917080517950038016,Susann Rossbach,SusiDoesScience,Koenigreich Saudi-Arabien,Marine biologist&Scientific diver💦PhD candidate @RSRC_KAUST working on Giant clams+aspiring Mermaid🐠#WomenofSTEM⚗️Follow me also at Instagram @scientificdiver,,[],False,428,548,3,Sun Oct 08 17:33:28 +0000 2017,2170,,,True,False,562,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1140370681932255245/CMNvKlhg_normal.jpg,https://pbs.twimg.com/profile_images/1140370681932255245/CMNvKlhg_normal.jpg,https://pbs.twimg.com/profile_banners/917080517950038016/1560873988,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006ff2b76ee930ad,https://api.twitter.com/1.1/geo/id/006ff2b76ee930ad.json,city,Thuwal,"Thuwal, Kingdom of Saudi Arabia",SA,Kingdom of Saudi Arabia,[],Polygon,"[[[39.0714074, 22.2367621], [39.1588013, 22.2367621], [39.1588013, 22.3543019], [39.0714074, 22.3543019]]]",,,,,,,,,,,,
5,Sat Jan 25 01:52:06 +0000 2020,1220887034451185667,1220887034451185667,RT @NatureCustom: Treating some types of wastewater with UV light could be the solution to antimicrobial resistance in bacteria [Partner co…,False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,20,0,False,False,en,[],[],"[{'screen_name': 'NatureCustom', 'name': 'Nature Research Custom Media', 'id': 922471310911000576, 'id_str': '922471310911000576', 'indices': [3, 16]}]",[],en,recent,7526362,7526362,フラウフラウ！フライアウェイ！！！,machisama,Germany,"Active: 怪盗戦隊ヌスムンジャー/Golden Bomber/Hero  Non-active: Black Gene for the Next Scene/Vrzel Always: Gloomy Bear, Science, Macha
Soon to be a mother of a baby boy 👼",,[],False,164,307,2,Tue Jul 17 07:56:57 +0000 2007,30139,,,True,False,9299,,False,False,False,B2DFDA,http://abs.twimg.com/images/themes/theme13/bg.gif,https://abs.twimg.com/images/themes/theme13/bg.gif,False,http://pbs.twimg.com/profile_images/1098272822277926913/qBpYtxoL_normal.jpg,https://pbs.twimg.com/profile_images/1098272822277926913/qBpYtxoL_normal.jpg,https://pbs.twimg.com/profile_banners/7526362/1522534580,93A644,EEEEEE,FFFFFF,333333,True,False,False,False,False,False,False,none,Fri Jan 17 00:00:00 +0000 2020,1.2179597206962176e+18,1217959720696217600,Treating some types of wastewater with UV light could be the solution to antimicrobial resistance in bacteria [Partner content with @kaust_news],False,"[0, 144]",[],[],"[{'screen_name': 'KAUST_News', 'name': 'KAUST', 'id': 22501769, 'id_str': '22501769', 'indices': [132, 143]}]",[],en,recent,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,9.224713109110006e+17,922471310911000576,Nature Research Custom Media,NatureCustom,"London, England","Separate from @nature editorial, the Custom Media division works with research-based organisations to connect to the planet’s most influential scientists.",https://t.co/K9FWwtvu4T,"[{'url': 'https://t.co/K9FWwtvu4T', 'expanded_url': 'https://partnerships.nature.com/product/nature-research-custom-media/', 'display_url': 'partnerships.nature.com/product/nature…', 'indices': [0, 23]}]",[],False,1334.0,118.0,12.0,Mon Oct 23 14:34:34 +0000 2017,17.0,,,False,False,32.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1176546321165107201/yIRswyjG_normal.jpg,https://pbs.twimg.com/profile_images/1176546321165107201/yIRswyjG_normal.jpg,https://pbs.twimg.com/profile_banners/922471310911000576/1525780281,920920,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,20.0,44.0,False,False,False,en,,,,,,,,,,,,,,,,,,,,,,
14,Thu Jan 23 07:29:19 +0000 2020,1220247123494612992,1220247123494612992,@SusiDoesScience @KAUST_News @EnrichAtKaust Where are they going? :0,False,"[44, 68]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2199999835057603e+18,1219999983505760264,9.17080517950038e+17,917080517950038016,SusiDoesScience,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'SusiDoesScience', 'name': 'Susann Rossbach', 'id': 917080517950038016, 'id_str': '917080517950038016', 'indices': [0, 16]}, {'screen_name': 'KAUST_News', 'name': 'KAUST', 'id': 22501769, 'id_str': '22501769', 'indices': [17, 28]}, {'screen_name': 'EnrichAtKaust', 'name': 'Enrichment at KAUST', 'id': 2922743164, 'id_str': '2922743164', 'indices': [29, 43]}]",[],en,recent,819545614413398016,819545614413398016,Hagen M. Gegner,hi_hagen,"Lausanne, Switzerland","#PhD in Marine Science  🇨🇭🇲🇺🇸🇦🇧🇷🇩🇪
Science is for everyone. @FrontMarineSci #openaccess 👨🏼‍🔬 views are my own.",https://t.co/vUfHvlEyjd,[],False,594,338,6,Thu Jan 12 14:04:35 +0000 2017,3904,,,True,False,2040,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1104744761582387200/1ON7ANGl_normal.png,https://pbs.twimg.com/profile_images/1104744761582387200/1ON7ANGl_normal.png,https://pbs.twimg.com/profile_banners/819545614413398016/1512830311,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/vUfHvlEyjd', 'expanded_url': 'https://loop.frontiersin.org/people/697791/overview', 'display_url': 'loop.frontiersin.org/people/697791/…', 'indices': [0, 23]}]",,,,,,,,,,,
17,Thu Jan 23 02:39:49 +0000 2020,1220174264940232704,1220174264940232704,"@luci_rmz @KAUST_News @AleMedinaRivera @S_Spicuglia @JessicaKDennis You did it very well , congrats",False,"[68, 99]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2199429922255503e+18,1219942992225550337,1386999548.0,1386999548,luci_rmz,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'luci_rmz', 'name': 'Lucia Ramirez', 'id': 1386999548, 'id_str': '1386999548', 'indices': [0, 9]}, {'screen_name': 'KAUST_News', 'name': 'KAUST', 'id': 22501769, 'id_str': '22501769', 'indices': [10, 21]}, {'screen_name': 'AleMedinaRivera', 'name': 'Alejandra Medina-Rivera', 'id': 627852903, 'id_str': '627852903', 'indices': [22, 38]}, {'screen_name': 'S_Spicuglia', 'name': 'Salvatore Spicuglia', 'id': 1131525776388571136, 'id_str': '1131525776388571136', 'indices': [39, 51]}, {'screen_name': 'JessicaKDennis', 'name': 'Jessica Dennis', 'id': 2993843388, 'id_str': '2993843388', 'indices': [52, 67]}]",[],en,recent,630361760,630361760,dxbarradas,dxbarradas,,PhD trying to figure out the 3D interplay of proteins in the level in the interactomes; I explain this to my parents as I play tetris,,[],False,425,815,47,Sun Jul 08 17:04:23 +0000 2012,6768,,,True,False,6781,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1205326235339051010/qZ3d8Yez_normal.jpg,https://pbs.twimg.com/profile_images/1205326235339051010/qZ3d8Yez_normal.jpg,https://pbs.twimg.com/profile_banners/630361760/1442321093,FA743E,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Wed Jan 22 17:58:38 +0000 2020,1220043106164195328,1220043106164195328,@RoyShadmon @KAUST_News thanks!,False,"[24, 31]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220039701614039e+18,1220039701614039040,1.1650530046234378e+18,1165053004623437825,RoyShadmon,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'RoyShadmon', 'name': 'Roy Shadmon', 'id': 1165053004623437825, 'id_str': '1165053004623437825', 'indices': [0, 11]}, {'screen_name': 'KAUST_News', 'name': 'KAUST', 'id': 22501769, 'id_str': '22501769', 'indices': [12, 23]}]",[],en,recent,184259900,184259900,Faisal Nawab,faisalsyn,"Santa Cruz, CA","Computer Science Assistant Professor at The University of California, Santa Cruz @ucsc

شاركنا في #سلاك_ابحاث_الحاسب عن طريق:
https://t.co/qTaRuR0qFZ?amp=1",https://t.co/vfQQ4bIaJa,[],False,938,777,29,Sun Aug 29 02:57:54 +0000 2010,222,,,True,False,2411,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910236723249950720/cHfBkY-i_normal.jpg,https://pbs.twimg.com/profile_images/910236723249950720/cHfBkY-i_normal.jpg,https://pbs.twimg.com/profile_banners/184259900/1536736958,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/vfQQ4bIaJa', 'expanded_url': None, 'indices': [0, 23]}]",,,,,,,,,,,
24,Wed Jan 22 17:45:06 +0000 2020,1220039701614039040,1220039701614039040,@KAUST_News Awesome talk @faisalsyn,False,"[12, 35]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2178059779422208e+18,1217805977942220806,22501769.0,22501769,KAUST_News,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'KAUST_News', 'name': 'KAUST', 'id': 22501769, 'id_str': '22501769', 'indices': [0, 11]}, {'screen_name': 'faisalsyn', 'name': 'Faisal Nawab', 'id': 184259900, 'id_str': '184259900', 'indices': [25, 35]}]",[],en,recent,1165053004623437825,1165053004623437825,Roy Shadmon,RoyShadmon,,PhD Candidate at UC Santa Cruz & Security Engineer at Looker. Blockchain & cyber security enthusiast.,https://t.co/ut4PMGlUCd,[],False,31,45,0,Sat Aug 24 00:07:44 +0000 2019,78,,,False,False,48,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1213935690309783552/49Gz-jhf_normal.jpg,https://pbs.twimg.com/profile_images/1213935690309783552/49Gz-jhf_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/ut4PMGlUCd', 'expanded_url': 'http://royshadmon.github.io', 'display_url': 'royshadmon.github.io', 'indices': [0, 23]}]",,,,,,,,,,,
25,Wed Jan 22 17:36:59 +0000 2020,1220037657365024768,1220037657365024768,"RT @EnrichAtKaust: The 4th revolution is in fact many revolutions at once:
🧪#Nanotechnology&amp;Nanomedicine
📱the #InternetOfThings
🤖#Robotics…",False,"[0, 143]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,3,0,False,False,en,"[{'text': 'Nanotechnology', 'indices': [76, 91]}, {'text': 'InternetOfThings', 'indices': [114, 131]}, {'text': 'Robotics', 'indices': [133, 142]}]",[],"[{'screen_name': 'EnrichAtKaust', 'name': 'Enrichment at KAUST', 'id': 2922743164, 'id_str': '2922743164', 'indices': [3, 17]}]",[],en,recent,1157825425663496192,1157825425663496192,nano-Events,Nano_Events,,"Events about #Nanoscience and #Nanotechnology.

#RoadtoLycurgusCup
(Parte de sistema de actualización de @Van_rito_Ullij)",https://t.co/pLPPJnJYP4,[],False,359,291,0,Sun Aug 04 01:27:47 +0000 2019,4216,,,False,False,4221,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1158518204983128064/T7igLmFt_normal.jpg,https://pbs.twimg.com/profile_images/1158518204983128064/T7igLmFt_normal.jpg,https://pbs.twimg.com/profile_banners/1157825425663496192/1565048329,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Wed Jan 22 15:10:47 +0000 2020,1.2200008664192983e+18,1220000866419298304,"The 4th revolution is in fact many revolutions at once:
🧪#Nanotechnology&amp;Nanomedicine
📱the #InternetOfThings
🤖#Robotics
🧬#GeneticEngineering
💴#CryptoCurrencies &amp;
💻#ArtificialIntelligence 

Explains Prof. Mark Kendall (@ANUmedia) at #WEP2020

@KAUST_News",False,"[0, 261]","[{'text': 'Nanotechnology', 'indices': [57, 72]}, {'text': 'InternetOfThings', 'indices': [95, 112]}, {'text': 'Robotics', 'indices': [114, 123]}, {'text': 'GeneticEngineering', 'indices': [125, 144]}, {'text': 'CryptoCurrencies', 'indices': [146, 163]}, {'text': 'ArtificialIntelligence', 'indices': [171, 194]}, {'text': 'WEP2020', 'indices': [240, 248]}]",[],"[{'screen_name': 'ANUmedia', 'name': 'ANU Media', 'id': 41699268, 'id_str': '41699268', 'indices': [226, 235]}, {'screen_name': 'KAUST_News', 'name': 'KAUST', 'id': 22501769, 'id_str': '22501769', 'indices': [250, 261]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2922743164.0,2922743164,Enrichment at KAUST,EnrichAtKaust,"Thuwal, Saudi Arabia",@EnrichAtKaust is the home of @KAUST_News Winter Enrichment Program on Twitter.,https://t.co/W5NBgGOY1q,"[{'url': 'https://t.co/W5NBgGOY1q', 'expanded_url': 'http://enrichment.kaust.edu.sa', 'display_url': 'enrichment.kaust.edu.sa', 'indices': [0, 23]}]",[],False,1660.0,293.0,12.0,Mon Dec 15 11:01:34 +0000 2014,1649.0,,,True,False,1667.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1165526043744264193/0GIe1bEv_normal.png,https://pbs.twimg.com/profile_images/1165526043744264193/0GIe1bEv_normal.png,https://pbs.twimg.com/profile_banners/2922743164/1575460604,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,3.0,7.0,False,False,,en,,,,,,,,,,,"[{'url': 'https://t.co/pLPPJnJYP4', 'expanded_url': 'https://www.facebook.com/roadtoLycurgusCup/', 'display_url': 'facebook.com/roadtoLycurgus…', 'indices': [0, 23]}]",,,,,,,,,,,
27,Wed Jan 22 15:10:47 +0000 2020,1220000866419298304,1220000866419298304,"The 4th revolution is in fact many revolutions at once:
🧪#Nanotechnology&amp;Nanomedicine
📱the #InternetOfThings
🤖#Robotics
🧬#GeneticEngineering
💴#CryptoCurrencies &amp;
💻#ArtificialIntelligence 

Explains Prof. Mark Kendall (@ANUmedia) at #WEP2020

@KAUST_News",False,"[0, 261]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,3,7,False,False,en,"[{'text': 'Nanotechnology', 'indices': [57, 72]}, {'text': 'InternetOfThings', 'indices': [95, 112]}, {'text': 'Robotics', 'indices': [114, 123]}, {'text': 'GeneticEngineering', 'indices': [125, 144]}, {'text': 'CryptoCurrencies', 'indices': [146, 163]}, {'text': 'ArtificialIntelligence', 'indices': [171, 194]}, {'text': 'WEP2020', 'indices': [240, 248]}]",[],"[{'screen_name': 'ANUmedia', 'name': 'ANU Media', 'id': 41699268, 'id_str': '41699268', 'indices': [226, 235]}, {'screen_name': 'KAUST_News', 'name': 'KAUST', 'id': 22501769, 'id_str': '22501769', 'indices': [250, 261]}]",[],en,recent,2922743164,2922743164,Enrichment at KAUST,EnrichAtKaust,"Thuwal, Saudi Arabia",@EnrichAtKaust is the home of @KAUST_News Winter Enrichment Program on Twitter.,https://t.co/W5NBgGOY1q,[],False,1660,293,12,Mon Dec 15 11:01:34 +0000 2014,1649,,,True,False,1667,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1165526043744264193/0GIe1bEv_normal.png,https://pbs.twimg.com/profile_images/1165526043744264193/0GIe1bEv_normal.png,https://pbs.twimg.com/profile_banners/2922743164/1575460604,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/W5NBgGOY1q', 'expanded_url': 'http://enrichment.kaust.edu.sa', 'display_url': 'enrichment.kaust.edu.sa', 'indices': [0, 23]}]",,,,,,,,,,,
28,Wed Jan 22 14:10:38 +0000 2020,1219985726286319617,1219985726286319617,@zeyadalshrari @KAUST_News @HZowawi @ROLEX He’s a Rolex Awards for Enterpise Laureate,False,"[43, 85]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2199845047118643e+18,1219984504711864322,363655036.0,363655036,zeyadalshrari,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'zeyadalshrari', 'name': 'زياد الشراري🇸🇦', 'id': 363655036, 'id_str': '363655036', 'indices': [0, 14]}, {'screen_name': 'KAUST_News', 'name': 'KAUST', 'id': 22501769, 'id_str': '22501769', 'indices': [15, 26]}, {'screen_name': 'HZowawi', 'name': 'Hosam Zowawi', 'id': 1386694746, 'id_str': '1386694746', 'indices': [27, 35]}, {'screen_name': 'ROLEX', 'name': 'ROLEX', 'id': 494027712, 'id_str': '494027712', 'indices': [36, 42]}]",[],en,recent,2922743164,2922743164,Enrichment at KAUST,EnrichAtKaust,"Thuwal, Saudi Arabia",@EnrichAtKaust is the home of @KAUST_News Winter Enrichment Program on Twitter.,https://t.co/W5NBgGOY1q,[],False,1660,293,12,Mon Dec 15 11:01:34 +0000 2014,1649,,,True,False,1667,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1165526043744264193/0GIe1bEv_normal.png,https://pbs.twimg.com/profile_images/1165526043744264193/0GIe1bEv_normal.png,https://pbs.twimg.com/profile_banners/2922743164/1575460604,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/W5NBgGOY1q', 'expanded_url': 'http://enrichment.kaust.edu.sa', 'display_url': 'enrichment.kaust.edu.sa', 'indices': [0, 23]}]",,,,,,,,,,,
30,Wed Jan 22 13:54:44 +0000 2020,1219981726518112256,1219981726518112256,@myBalbalah @KAUST_News Thank you 😀,False,"[24, 35]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2199764621340754e+18,1219976462134075392,292367490.0,292367490,myBalbalah,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'myBalbalah', 'name': 'Dr. Sheikha', 'id': 292367490, 'id_str': '292367490', 'indices': [0, 11]}, {'screen_name': 'KAUST_News', 'name': 'KAUST', 'id': 22501769, 'id_str': '22501769', 'indices': [12, 23]}]",[],en,recent,184259900,184259900,Faisal Nawab,faisalsyn,"Santa Cruz, CA","Computer Science Assistant Professor at The University of California, Santa Cruz @ucsc

شاركنا في #سلاك_ابحاث_الحاسب عن طريق:
https://t.co/qTaRuR0qFZ?amp=1",https://t.co/vfQQ4bIaJa,[],False,938,777,29,Sun Aug 29 02:57:54 +0000 2010,222,,,True,False,2411,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/910236723249950720/cHfBkY-i_normal.jpg,https://pbs.twimg.com/profile_images/910236723249950720/cHfBkY-i_normal.jpg,https://pbs.twimg.com/profile_banners/184259900/1536736958,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/vfQQ4bIaJa', 'expanded_url': None, 'indices': [0, 23]}]",,,,,,,,,,,
