,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
3,Sat Jan 25 18:53:04 +0000 2020,1221143969679044608,1221143969679044608,"It turns out Nick has a botany degree from @otago, travelled the world, &amp; then came home to find his passion distilling gin in Reefton 3/n",False,"[0, 142]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211434381894533e+18,1221143438189453312,2938617434.0,2938617434,CillaWehi,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'otago', 'name': 'University of Otago', 'id': 19513912, 'id_str': '19513912', 'indices': [43, 49]}]",[],en,recent,2938617434,2938617434,Priscilla Wehi,CillaWehi,"Dunedin City, New Zealand","Rutherford Discovery Fellow, scientist, parent | #biocultural diversity #conservation #isotopes #KindnessinScience  | opinions my own",,,[],False,1355,889,43,Sun Dec 21 20:33:32 +0000 2014,4685,,,True,False,7117,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/546766937569505281/GFN7cuZc_normal.jpeg,https://pbs.twimg.com/profile_images/546766937569505281/GFN7cuZc_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2938617434/1477260269,00cc2a2f169735bc,https://api.twitter.com/1.1/geo/id/00cc2a2f169735bc.json,city,Dunedin City,"Dunedin City, New Zealand",NZ,New Zealand,[],Polygon,"[[[169.736478, -46.052058], [170.750898, -46.052058], [170.750898, -45.228967], [169.736478, -45.228967]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fri Jan 24 10:50:54 +0000 2020,1220660240376459265,1220660240376459265,@NZPhysiotherapy @OtagoCHARR @DrGiselaSole @otago @painotago Thanks Daniel.  Great to have you there. 👍,False,"[61, 103]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2206147764027965e+18,1220614776402796544,7.168237711856886e+17,716823771185688577,NZPhysiotherapy,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'NZPhysiotherapy', 'name': 'Daniel Sela', 'id': 716823771185688577, 'id_str': '716823771185688577', 'indices': [0, 16]}, {'screen_name': 'OtagoCHARR', 'name': 'CHARR Otago', 'id': 2610878682, 'id_str': '2610878682', 'indices': [17, 28]}, {'screen_name': 'DrGiselaSole', 'name': 'Gisela Sole', 'id': 1614484694, 'id_str': '1614484694', 'indices': [29, 42]}, {'screen_name': 'otago', 'name': 'University of Otago', 'id': 19513912, 'id_str': '19513912', 'indices': [43, 49]}, {'screen_name': 'painotago', 'name': 'Pain Research Otago', 'id': 775849286684717057, 'id_str': '775849286684717057', 'indices': [50, 60]}]",[],en,recent,234652172,234652172,Angela Cadogan,ACadogan_NZ,"Christchurch, New Zealand","Physiotherapy Specialist (Musculoskeletal) ▪ PhD Musculoskeletal Diagnostics (Shoulder Pain) ▪ Clinical and
research interest in shoulder conditions.",,,[],False,1299,286,9,Thu Jan 06 06:20:31 +0000 2011,4577,,,False,False,943,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/775109203862007808/PhrRQ8sk_normal.jpg,https://pbs.twimg.com/profile_images/775109203862007808/PhrRQ8sk_normal.jpg,0084B4,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/234652172/1533060629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Thu Jan 23 06:21:00 +0000 2020,1220229928727105536,1220229928727105536,@Blogozoic @CoastalPaleo @docgovtnz @MasseyUni @NHM_London @otago I have been down to Otago twice now to work with Ewan on these critters...I think 2017 from memory,False,"[66, 164]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2201191545833964e+18,1220119154583396352,1076815890.0,1076815890,Blogozoic,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Blogozoic', 'name': 'Travis Park', 'id': 1076815890, 'id_str': '1076815890', 'indices': [0, 10]}, {'screen_name': 'CoastalPaleo', 'name': 'Robert Boessenecker 🐳', 'id': 2903470928, 'id_str': '2903470928', 'indices': [11, 24]}, {'screen_name': 'docgovtnz', 'name': 'Department of Conservation', 'id': 1551758084, 'id_str': '1551758084', 'indices': [25, 35]}, {'screen_name': 'MasseyUni', 'name': 'Massey University', 'id': 27494710, 'id_str': '27494710', 'indices': [36, 46]}, {'screen_name': 'NHM_London', 'name': 'Natural History Museum', 'id': 35749264, 'id_str': '35749264', 'indices': [47, 58]}, {'screen_name': 'otago', 'name': 'University of Otago', 'id': 19513912, 'id_str': '19513912', 'indices': [59, 65]}]",[],en,recent,890511741116796928,890511741116796928,Karen Stockin,karen_stockin,"Greenhithe, Auckland","Associate Professor, Rutherford Discovery Fellow, Marine Mammal Scientist, International Whaling Commission Secretatiat, Proud Mom and Wife",https://t.co/TiKJRFMzSo,"[{'url': 'https://t.co/TiKJRFMzSo', 'expanded_url': 'http://www.coastalmarineresearchgroup.com', 'display_url': 'coastalmarineresearchgroup.com', 'indices': [0, 23]}]",[],False,522,381,7,Thu Jul 27 09:58:38 +0000 2017,1292,,,False,False,732,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1134427225728487425/CJjsfjfZ_normal.jpg,https://pbs.twimg.com/profile_images/1134427225728487425/CJjsfjfZ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/890511741116796928/1501155597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Thu Jan 23 03:46:26 +0000 2020,1220191030550548481,1220191030550548481,@Blogozoic @CoastalPaleo @docgovtnz @MasseyUni @NHM_London @otago Generally true for most dolphin dorsal fins @Blogozoic but in the polar waters this species lives its unlikely this is the primary function. What is the real significant reason for this huge investment is unclear,False,"[66, 278]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2201191545833964e+18,1220119154583396352,1076815890.0,1076815890,Blogozoic,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Blogozoic', 'name': 'Travis Park', 'id': 1076815890, 'id_str': '1076815890', 'indices': [0, 10]}, {'screen_name': 'CoastalPaleo', 'name': 'Robert Boessenecker 🐳', 'id': 2903470928, 'id_str': '2903470928', 'indices': [11, 24]}, {'screen_name': 'docgovtnz', 'name': 'Department of Conservation', 'id': 1551758084, 'id_str': '1551758084', 'indices': [25, 35]}, {'screen_name': 'MasseyUni', 'name': 'Massey University', 'id': 27494710, 'id_str': '27494710', 'indices': [36, 46]}, {'screen_name': 'NHM_London', 'name': 'Natural History Museum', 'id': 35749264, 'id_str': '35749264', 'indices': [47, 58]}, {'screen_name': 'otago', 'name': 'University of Otago', 'id': 19513912, 'id_str': '19513912', 'indices': [59, 65]}, {'screen_name': 'Blogozoic', 'name': 'Travis Park', 'id': 1076815890, 'id_str': '1076815890', 'indices': [110, 120]}]",[],en,recent,890511741116796928,890511741116796928,Karen Stockin,karen_stockin,"Greenhithe, Auckland","Associate Professor, Rutherford Discovery Fellow, Marine Mammal Scientist, International Whaling Commission Secretatiat, Proud Mom and Wife",https://t.co/TiKJRFMzSo,"[{'url': 'https://t.co/TiKJRFMzSo', 'expanded_url': 'http://www.coastalmarineresearchgroup.com', 'display_url': 'coastalmarineresearchgroup.com', 'indices': [0, 23]}]",[],False,522,381,7,Thu Jul 27 09:58:38 +0000 2017,1292,,,False,False,732,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1134427225728487425/CJjsfjfZ_normal.jpg,https://pbs.twimg.com/profile_images/1134427225728487425/CJjsfjfZ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/890511741116796928/1501155597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Wed Jan 22 08:36:24 +0000 2020,1219901617446670337,1219901617446670337,@ofendlessbooks @otago It is. I want a big picture of it for my wall,False,"[23, 68]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2199014537179013e+18,1219901453717901312,3906125718.0,3906125718,ofendlessbooks,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'ofendlessbooks', 'name': 'Ellie Kendall', 'id': 3906125718, 'id_str': '3906125718', 'indices': [0, 15]}, {'screen_name': 'otago', 'name': 'University of Otago', 'id': 19513912, 'id_str': '19513912', 'indices': [16, 22]}]",[],en,recent,2753663966,2753663966,Dr Siân Halcrow 👩🏻‍💻💀,ancientchildren,"Dunedin, Aotearoa/New Zealand","Mumma 1st, Bioarchaeologist 2nd, Assoc Prof @otago views my own https://t.co/4zklEoNDIT https://t.co/CrVXYhqllx she/her",https://t.co/j2XTtsSFkU,"[{'url': 'https://t.co/j2XTtsSFkU', 'expanded_url': 'https://otago.academia.edu/SianHalcrow', 'display_url': 'otago.academia.edu/SianHalcrow', 'indices': [0, 23]}]","[{'url': 'https://t.co/4zklEoNDIT', 'expanded_url': 'http://childhoodbioarchaeology.org/', 'display_url': 'childhoodbioarchaeology.org', 'indices': [64, 87]}, {'url': 'https://t.co/CrVXYhqllx', 'expanded_url': 'https://www.facebook.com/childhoodanth/', 'display_url': 'facebook.com/childhoodanth/', 'indices': [88, 111]}]",False,3443,1075,114,Fri Aug 22 02:13:49 +0000 2014,38154,,,True,False,18652,,False,False,False,000000,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/503657561434755072/XcLg9CbJ_normal.jpeg,https://pbs.twimg.com/profile_images/503657561434755072/XcLg9CbJ_normal.jpeg,DD2E44,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2753663966/1411117141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Wed Jan 22 03:34:07 +0000 2020,1219825542431559680,1219825542431559680,"@ancientchildren @otago My partner used a similar image for band poster, was from his friend working in archeology!",False,"[24, 115]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2198201407635948e+18,1219820140763594753,2753663966.0,2753663966,ancientchildren,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'ancientchildren', 'name': 'Dr Siân Halcrow 👩🏻\u200d💻💀', 'id': 2753663966, 'id_str': '2753663966', 'indices': [0, 16]}, {'screen_name': 'otago', 'name': 'University of Otago', 'id': 19513912, 'id_str': '19513912', 'indices': [17, 23]}]",[],en,recent,811071155599589376,811071155599589376,Jessica Young,JessYoungTweets,New Zealand,"Research fellow and PhD candidate interested in medical sociology, assisted dying, medical education. She/her. HMU for my papers",https://t.co/99Ifl8fd36,"[{'url': 'https://t.co/99Ifl8fd36', 'expanded_url': 'http://www.otago.ac.nz/dsm-gprh/people/profile/index.html?id=2683', 'display_url': 'otago.ac.nz/dsm-gprh/peopl…', 'indices': [0, 23]}]",[],False,1195,2195,16,Tue Dec 20 04:50:07 +0000 2016,11879,,,False,False,6409,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1168006961226346497/AHYxu0va_normal.jpg,https://pbs.twimg.com/profile_images/1168006961226346497/AHYxu0va_normal.jpg,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/811071155599589376/1555326865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Tue Jan 21 23:59:04 +0000 2020,1219771425558450176,1219771425558450176,@MoanaTheodore @ageingwellnz @southernDHB @otago Ka rawe! You are going to do an amazing job!,False,"[49, 93]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197372645210153e+18,1219737264521015296,1097099330.0,1097099330,MoanaTheodore,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'MoanaTheodore', 'name': 'Moana Theodore', 'id': 1097099330, 'id_str': '1097099330', 'indices': [0, 14]}, {'screen_name': 'ageingwellnz', 'name': 'Ageing Well', 'id': 2384866310, 'id_str': '2384866310', 'indices': [15, 28]}, {'screen_name': 'southernDHB', 'name': 'Southern DHB', 'id': 2200365697, 'id_str': '2200365697', 'indices': [29, 41]}, {'screen_name': 'otago', 'name': 'University of Otago', 'id': 19513912, 'id_str': '19513912', 'indices': [42, 48]}]",[],en,recent,80975727,80975727,Louise Parr-Brownlie,loupb,New Zealand,"Researcher, neuroscientist, equity advocate, Maori, health and wellbeing, Ageing Well National Science Challenge, Anatomy@Otago, views are my own",,,[],False,114,86,2,Thu Oct 08 23:48:44 +0000 2009,1417,,,False,False,730,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1128195763115184128/q-VHewMr_normal.jpg,https://pbs.twimg.com/profile_images/1128195763115184128/q-VHewMr_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tue Jan 21 20:39:07 +0000 2020,1219721104362803201,1219721104362803201,"@leeselab @Senckenberg @LandscapEcology @jaypiggott @otago Well, let's see. Would be fund to build the ExStream system again for a few days = ) We can talk in London next week🔥🧬 Also didn't see jay and Murray in a while!",False,"[59, 220]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2197186362539827e+18,1219718636253982721,3083572305.0,3083572305,leeselab,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'leeselab', 'name': 'LeeseLab', 'id': 3083572305, 'id_str': '3083572305', 'indices': [0, 9]}, {'screen_name': 'Senckenberg', 'name': 'SENCKENBERG', 'id': 85120200, 'id_str': '85120200', 'indices': [10, 22]}, {'screen_name': 'LandscapEcology', 'name': 'Landscape Ecology', 'id': 3021197295, 'id_str': '3021197295', 'indices': [23, 39]}, {'screen_name': 'jaypiggott', 'name': 'Jeremy J. Piggott', 'id': 758502200, 'id_str': '758502200', 'indices': [40, 51]}, {'screen_name': 'otago', 'name': 'University of Otago', 'id': 19513912, 'id_str': '19513912', 'indices': [52, 58]}]",[],en,recent,55633848,55633848,Vasco Elbrecht,VascoElbrecht,"Bonn, Germany",Tenure track @MuseumKoenig | #Metabarcoding & #Bioinformatics method development | Former PostDoc @CBG_UofG 🇨🇦 | PhD @leeselab 🇩🇪🇪🇺 | LGBT 🏳️‍🌈,https://t.co/CB0sFJxjTJ,"[{'url': 'https://t.co/CB0sFJxjTJ', 'expanded_url': 'https://www.zfmk.de/en/zfmk/vasco-elbrecht', 'display_url': 'zfmk.de/en/zfmk/vasco-…', 'indices': [0, 23]}]",[],False,1413,725,50,Fri Jul 10 18:47:29 +0000 2009,11696,,,True,False,6997,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1118730740169084929/NJz_f2kE_normal.png,https://pbs.twimg.com/profile_images/1118730740169084929/NJz_f2kE_normal.png,89C9FA,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/55633848/1540477020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Tue Jan 21 06:11:47 +0000 2020,1219502833591934977,1219502833591934977,"@otago Excellent, thanks Em. I’ll look into whether or not folks here are aware of this. 🙏🏻",False,"[7, 91]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2190772149537137e+18,1219077214953713666,19513912.0,19513912,otago,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'otago', 'name': 'University of Otago', 'id': 19513912, 'id_str': '19513912', 'indices': [0, 6]}]",[],en,recent,569365462,569365462,Tairāwhiti Doc 🏳️‍🌈,DocPNW,"Gisborne Region, New Zealand","GP: Tairāwhiti NZ 🇳🇿. Previously 21 years in Oregon, 🇺🇸. Spare time: family, surfing, tree-climbing, outdoors. Pro science, political when necessary. he/him",,,[],False,3137,2138,33,Wed May 02 19:36:17 +0000 2012,18378,,,True,False,8746,,False,False,False,022330,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1111775305260134400/CAubUuHu_normal.jpg,https://pbs.twimg.com/profile_images/1111775305260134400/CAubUuHu_normal.jpg,0084B4,000000,EFEFEF,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/569365462/1530330710,01ecb4f24441a443,https://api.twitter.com/1.1/geo/id/01ecb4f24441a443.json,city,Gisborne District,"Gisborne District, New Zealand",NZ,New Zealand,[],Polygon,"[[[177.122171, -38.972812], [178.577243, -38.972812], [178.577243, -37.534248], [177.122171, -37.534248]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Mon Jan 20 22:16:51 +0000 2020,1219383312264912897,1219383312264912897,@RocksbyDefault @otago This is awesome!,False,"[23, 39]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2191030577508434e+18,1219103057750843393,2153875382.0,2153875382,RocksbyDefault,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'RocksbyDefault', 'name': 'Matthew Tarling', 'id': 2153875382, 'id_str': '2153875382', 'indices': [0, 15]}, {'screen_name': 'otago', 'name': 'University of Otago', 'id': 19513912, 'id_str': '19513912', 'indices': [16, 22]}]",[],en,recent,1143330563278934022,1143330563278934022,Melinda Bahruth,MantleMindy,"Delaware, USA",Geology graduate student who studies deformed rocks from oceanic transform faults at the University of Delaware. Views are my own.,https://t.co/lNLk9QbV5D,"[{'url': 'https://t.co/lNLk9QbV5D', 'expanded_url': 'http://www.ceoe.udel.edu/our-people/profiles/mbahruth', 'display_url': 'ceoe.udel.edu/our-people/pro…', 'indices': [0, 23]}]",[],False,54,132,0,Tue Jun 25 01:30:23 +0000 2019,1373,,,False,False,173,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1154404459805630464/2TUiHDYx_normal.jpg,https://pbs.twimg.com/profile_images/1154404459805630464/2TUiHDYx_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1143330563278934022/1561868521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
