,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.user.profile_banner_url
102,Wed Jan 22 14:23:05 +0000 2020,1219988862161821701,1219988862161821701,"@KatLucchesi @mujschool @Mizzou @MizzouAlumni Congratulations, that's kind of exciting!",False,"[46, 87]","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1.2199799005824942e+18,1219979900582494208,19540645.0,19540645,KatLucchesi,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'KatLucchesi', 'name': 'Kathryn Lucchesi', 'id': 19540645, 'id_str': '19540645', 'indices': [0, 12]}, {'screen_name': 'mujschool', 'name': 'Mizzou Journalism', 'id': 89552596, 'id_str': '89552596', 'indices': [13, 23]}, {'screen_name': 'Mizzou', 'name': 'Mizzou', 'id': 23620660, 'id_str': '23620660', 'indices': [24, 31]}, {'screen_name': 'MizzouAlumni', 'name': 'Mizzou Alumni', 'id': 22930958, 'id_str': '22930958', 'indices': [32, 45]}]",[],en,recent,96443740,96443740,Steve Lemler,SteveLemler,"Sedalia, Missouri","CEO of The Sawyer Lemler Foundation, #Philanthropist, #Entrepreneur, sports fan #Mizzou #Royals #Chiefs",,[],False,914,757,23,Sat Dec 12 23:46:48 +0000 2009,19444,,,True,False,4917,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/857627800374792192/w6gqGBt1_normal.jpg,https://pbs.twimg.com/profile_images/857627800374792192/w6gqGBt1_normal.jpg,https://pbs.twimg.com/profile_banners/96443740/1493170392,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Tue Jan 21 22:42:24 +0000 2020,1219752130313146373,1219752130313146373,@mizzoudiversity @Mizzou @MULGBTQ @MizzouLife This is why Trump won. 😂,False,"[46, 70]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197265281136067e+18,1219726528113606656,205428550.0,205428550,mizzoudiversity,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'mizzoudiversity', 'name': 'Mizzou IDE', 'id': 205428550, 'id_str': '205428550', 'indices': [0, 16]}, {'screen_name': 'Mizzou', 'name': 'Mizzou', 'id': 23620660, 'id_str': '23620660', 'indices': [17, 24]}, {'screen_name': 'MULGBTQ', 'name': 'MU LGBTQ Resource Center', 'id': 115446862, 'id_str': '115446862', 'indices': [25, 33]}, {'screen_name': 'MizzouLife', 'name': 'Mizzou Life', 'id': 214986812, 'id_str': '214986812', 'indices': [34, 45]}]",[],en,recent,221569651,221569651,Aaron Richmond,AaronJRichmond,"Liberty, MO","Former @GovJayNixon and @MissouriSenate staffer. Current marketing hack. Fan of: #Royals, #Chiefs, #Jets, #IndyCar, #F1. Retweets = endorsements. #MizzouMade",https://t.co/jlFnwYrgho,[],False,1022,1394,14,Wed Dec 01 00:47:47 +0000 2010,73907,,,True,False,6048,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1195873903853342722/WRrNffpb_normal.jpg,https://pbs.twimg.com/profile_images/1195873903853342722/WRrNffpb_normal.jpg,https://pbs.twimg.com/profile_banners/221569651/1574396975,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/jlFnwYrgho', 'expanded_url': 'http://bit.ly/32yifli', 'display_url': 'bit.ly/32yifli', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Tue Jan 21 22:16:51 +0000 2020,1219745700025716738,1219745700025716738,@Mizzou Woo hoo!!!  Go Tigers!!!  🙏🏻🙏🏻🙏🏻🇱🇷🇱🇷🇱🇷👏👏👏🖤💛🐯🏀,False,"[8, 53]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2196229502294794e+18,1219622950229479428,23620660.0,23620660,Mizzou,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Mizzou', 'name': 'Mizzou', 'id': 23620660, 'id_str': '23620660', 'indices': [0, 7]}]",[],en,recent,1082935529040240640,1082935529040240640,Cheryl Floyd,CherylF86066945,"Mission, KS","Kansas City native, major sports fan - especially KC Chiefs, KC Royals and MU Tigers!!! Playing in this snow or watching our fav teams play is the best!",,[],False,385,491,0,Wed Jan 09 09:42:04 +0000 2019,7,,,True,False,4108,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1091343813786984448/Aqu2YF0E_normal.jpg,https://pbs.twimg.com/profile_images/1091343813786984448/Aqu2YF0E_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Tue Jan 21 21:28:53 +0000 2020,1219733629892362240,1219733629892362240,RT @Mizzou: You can celebrate the opening of the Jeanne and Rex Sinquefield Music Center on February 1st. Join @MizzouAandS at 10 AM to cel…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'Mizzou', 'name': 'Mizzou', 'id': 23620660, 'id_str': '23620660', 'indices': [3, 10]}, {'screen_name': 'MizzouAandS', 'name': 'MizzouAandS', 'id': 292531199, 'id_str': '292531199', 'indices': [111, 123]}]",[],en,recent,292531199,292531199,MizzouAandS,MizzouAandS,University of Missouri,"The College of Arts and Science has 28 departments and 90 degree programs — making it the largest and most diverse college on the #Mizzou campus.

#MizzouAandS",https://t.co/0V7ZjZcdRS,[],False,2174,659,42,Tue May 03 20:08:11 +0000 2011,4437,,,True,False,8156,,False,False,False,131516,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1126214465983275015/OqPy9OD__normal.png,https://pbs.twimg.com/profile_images/1126214465983275015/OqPy9OD__normal.png,https://pbs.twimg.com/profile_banners/292531199/1560963275,000000,EEEEEE,080308,F5EDF5,True,False,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/0V7ZjZcdRS', 'expanded_url': 'http://coas.missouri.edu', 'display_url': 'coas.missouri.edu', 'indices': [0, 23]}]",Tue Jan 21 19:44:37 +0000 2020,1.2197073911905526e+18,1219707391190552577,You can celebrate the opening of the Jeanne and Rex Sinquefield Music Center on February 1st. Join @MizzouAandS at 10 AM to celebrate the ribbon-cutting and enjoy some student performances.,False,"[0, 189]",[],[],"[{'screen_name': 'MizzouAandS', 'name': 'MizzouAandS', 'id': 292531199, 'id_str': '292531199', 'indices': [99, 111]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2197073872017818e+18,1219707387201781760,23620660.0,23620660,Mizzou,23620660.0,23620660,Mizzou,Mizzou,"Columbia, Mo.","The official Twitter account of the University of Missouri #MizzouMade #ShowMe 🐯 
Social media guidelines: https://t.co/qvUztLvQTb",https://t.co/OR7JpJ7lCo,"[{'url': 'https://t.co/qvUztLvQTb', 'expanded_url': 'http://bit.ly/mizzousocial', 'display_url': 'bit.ly/mizzousocial', 'indices': [107, 130]}]",False,129662.0,345.0,847.0,Tue Mar 10 17:34:40 +0000 2009,35124.0,,,True,True,23265.0,,False,False,False,F1B82D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/751125231347965953/TZdCDFw-_normal.jpg,https://pbs.twimg.com/profile_images/751125231347965953/TZdCDFw-_normal.jpg,FAB81E,FFFFFF,EDEBD5,000000,True,False,False,False,False,False,False,none,,,,,False,2.0,4.0,False,False,en,"[{'url': 'https://t.co/OR7JpJ7lCo', 'expanded_url': 'http://missouri.edu', 'display_url': 'missouri.edu', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/23620660/1565822384
119,Tue Jan 21 20:09:01 +0000 2020,1219713531467259904,1219713531467259904,RT @Mizzou: You can celebrate the opening of the Jeanne and Rex Sinquefield Music Center on February 1st. Join @MizzouAandS at 10 AM to cel…,False,"[0, 140]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'Mizzou', 'name': 'Mizzou', 'id': 23620660, 'id_str': '23620660', 'indices': [3, 10]}, {'screen_name': 'MizzouAandS', 'name': 'MizzouAandS', 'id': 292531199, 'id_str': '292531199', 'indices': [111, 123]}]",[],en,recent,112776569,112776569,MizzouNewMusic,MizzouNewMusic,"Columbia,MO","Mizzou New Music Initiative, Mizzou International Composers Festival, Creating Original Music Project (COMP) and more",http://t.co/MMqyZ5gQ,[],False,2334,1595,68,Tue Feb 09 17:37:48 +0000 2010,611,,,True,False,4076,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/775172555799863296/4D3IkS6b_normal.jpg,https://pbs.twimg.com/profile_images/775172555799863296/4D3IkS6b_normal.jpg,https://pbs.twimg.com/profile_banners/112776569/1473701230,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'http://t.co/MMqyZ5gQ', 'expanded_url': 'http://mizzounewmusic.missouri.edu', 'display_url': 'mizzounewmusic.missouri.edu', 'indices': [0, 20]}]",Tue Jan 21 19:44:37 +0000 2020,1.2197073911905526e+18,1219707391190552577,You can celebrate the opening of the Jeanne and Rex Sinquefield Music Center on February 1st. Join @MizzouAandS at 10 AM to celebrate the ribbon-cutting and enjoy some student performances.,False,"[0, 189]",[],[],"[{'screen_name': 'MizzouAandS', 'name': 'MizzouAandS', 'id': 292531199, 'id_str': '292531199', 'indices': [99, 111]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2197073872017818e+18,1219707387201781760,23620660.0,23620660,Mizzou,23620660.0,23620660,Mizzou,Mizzou,"Columbia, Mo.","The official Twitter account of the University of Missouri #MizzouMade #ShowMe 🐯 
Social media guidelines: https://t.co/qvUztLvQTb",https://t.co/OR7JpJ7lCo,"[{'url': 'https://t.co/qvUztLvQTb', 'expanded_url': 'http://bit.ly/mizzousocial', 'display_url': 'bit.ly/mizzousocial', 'indices': [107, 130]}]",False,129662.0,345.0,847.0,Tue Mar 10 17:34:40 +0000 2009,35124.0,,,True,True,23265.0,,False,False,False,F1B82D,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/751125231347965953/TZdCDFw-_normal.jpg,https://pbs.twimg.com/profile_images/751125231347965953/TZdCDFw-_normal.jpg,FAB81E,FFFFFF,EDEBD5,000000,True,False,False,False,False,False,False,none,,,,,False,2.0,4.0,False,False,en,"[{'url': 'https://t.co/OR7JpJ7lCo', 'expanded_url': 'http://missouri.edu', 'display_url': 'missouri.edu', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/23620660/1565822384
121,Tue Jan 21 18:34:18 +0000 2020,1219689693568098304,1219689693568098304,RT @MizzouAandS: Tune in to KFRU right now! We are celebrating the first day of class in the new Sinquefield Music Center! @kfru @mizzou @M…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'MizzouAandS', 'name': 'MizzouAandS', 'id': 292531199, 'id_str': '292531199', 'indices': [3, 15]}, {'screen_name': 'kfru', 'name': 'Kitu Dave', 'id': 33578554, 'id_str': '33578554', 'indices': [123, 128]}, {'screen_name': 'Mizzou', 'name': 'Mizzou', 'id': 23620660, 'id_str': '23620660', 'indices': [129, 136]}]",[],en,recent,325126593,325126593,J. Chris Pires,JChrisPires,"Columbia, MO","Biology professor of #plant #genome #evolution & #bioinformatics, #dog walker, tender of rain #garden, & alum of @Cal @Wisconsin he/him/his Power retweeter",https://t.co/K5ONET2Rpg,[],False,10611,11667,738,Mon Jun 27 19:43:37 +0000 2011,351097,,,True,False,193805,,False,False,False,B2DFDA,http://abs.twimg.com/images/themes/theme13/bg.gif,https://abs.twimg.com/images/themes/theme13/bg.gif,False,http://pbs.twimg.com/profile_images/1416048607/jcp_2011_normal.jpg,https://pbs.twimg.com/profile_images/1416048607/jcp_2011_normal.jpg,https://pbs.twimg.com/profile_banners/325126593/1484960282,93A644,EEEEEE,FFFFFF,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/K5ONET2Rpg', 'expanded_url': 'https://scholar.google.com/citations?user=OKuQQXgAAAAJ', 'display_url': 'scholar.google.com/citations?user…', 'indices': [0, 23]}]",Tue Jan 21 13:44:35 +0000 2020,1.2196167864983675e+18,1219616786498367488,Tune in to KFRU right now! We are celebrating the first day of class in the new Sinquefield Music Center! @kfru @mizzou @MizzouMusic,False,"[0, 132]",[],[],"[{'screen_name': 'kfru', 'name': 'Kitu Dave', 'id': 33578554, 'id_str': '33578554', 'indices': [106, 111]}, {'screen_name': 'Mizzou', 'name': 'Mizzou', 'id': 23620660, 'id_str': '23620660', 'indices': [112, 119]}, {'screen_name': 'MizzouMusic', 'name': 'MU School of Music', 'id': 750040232, 'id_str': '750040232', 'indices': [120, 132]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,292531199.0,292531199,MizzouAandS,MizzouAandS,University of Missouri,"The College of Arts and Science has 28 departments and 90 degree programs — making it the largest and most diverse college on the #Mizzou campus.

#MizzouAandS",https://t.co/0V7ZjZcdRS,[],False,2174.0,659.0,42.0,Tue May 03 20:08:11 +0000 2011,4437.0,,,True,False,8156.0,,False,False,False,131516,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1126214465983275015/OqPy9OD__normal.png,https://pbs.twimg.com/profile_images/1126214465983275015/OqPy9OD__normal.png,000000,EEEEEE,080308,F5EDF5,True,False,False,False,False,False,False,none,,,,,False,1.0,2.0,False,False,en,"[{'url': 'https://t.co/0V7ZjZcdRS', 'expanded_url': 'http://coas.missouri.edu', 'display_url': 'coas.missouri.edu', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/292531199/1560963275
123,Tue Jan 21 17:41:46 +0000 2020,1219676475085017088,1219676475085017088,@Mizzou Will be starting in August,False,"[8, 34]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2196229502294794e+18,1219622950229479428,23620660.0,23620660,Mizzou,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Mizzou', 'name': 'Mizzou', 'id': 23620660, 'id_str': '23620660', 'indices': [0, 7]}]",[],en,recent,1963289654,1963289654,Allen R. Morgan,908Circle31519,,Born 09/21/1973. Saint Louisan. Democrat. Weighlifter. History & Science buff. Word puzzles and games buff.,,[],False,4,33,0,Tue Oct 15 19:53:20 +0000 2013,560,,,True,False,353,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1132689472418656256/Y1hihuEj_normal.jpg,https://pbs.twimg.com/profile_images/1132689472418656256/Y1hihuEj_normal.jpg,https://pbs.twimg.com/profile_banners/1963289654/1414780881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Tue Jan 21 15:51:25 +0000 2020,1219648703142621184,1219648703142621184,"Welcome back, tigers! We cannot wait for this semester! Keep an eye on our social media for upcoming Ture Tiger Network events! 🐾

@Mizzou @MizzouLife",False,"[0, 150]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Mizzou', 'name': 'Mizzou', 'id': 23620660, 'id_str': '23620660', 'indices': [131, 138]}, {'screen_name': 'MizzouLife', 'name': 'Mizzou Life', 'id': 214986812, 'id_str': '214986812', 'indices': [139, 150]}]",[],en,recent,26351964,26351964,True Tiger Network,truetigernet,"Columbia, MO",The True Tiger Network is the student chapter of the Mizzou Alumni Association and largest student organization on campus,http://t.co/EtcbjkaZQx,[],False,1834,1234,42,Tue Mar 24 23:11:11 +0000 2009,54,,,False,False,580,,False,False,False,E7B914,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/587972800691863554/JAe5a2nx_normal.jpg,https://pbs.twimg.com/profile_images/587972800691863554/JAe5a2nx_normal.jpg,,000000,000000,FFFFFF,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'http://t.co/EtcbjkaZQx', 'expanded_url': 'http://truetiger.com', 'display_url': 'truetiger.com', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Tue Jan 21 14:26:09 +0000 2020,1219627244538290179,1219627244538290179,Happy 1st day of classes! @Mizzou !,False,"[0, 35]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,1,3,False,False,en,[],[],"[{'screen_name': 'Mizzou', 'name': 'Mizzou', 'id': 23620660, 'id_str': '23620660', 'indices': [26, 33]}]",[],en,recent,29306270,29306270,"Martin R. Solomon,M.Ed",MartinRSolomon,"Chester, PA to Columbia MO",Ellie’s Dad | ΑΦΑ | 🎶🎧 #Mizzou #ULM Educated| Director of Football Academics-Mizzou 🏈🏌🏾‍♂️ULM TrackAlum,https://t.co/RtHM7v9LTE,[],False,1335,1199,7,Mon Apr 06 22:06:06 +0000 2009,6917,,,True,False,16457,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1105534446667747329/Ds55FzS4_normal.jpg,https://pbs.twimg.com/profile_images/1105534446667747329/Ds55FzS4_normal.jpg,https://pbs.twimg.com/profile_banners/29306270/1572574241,2FC2EF,181A1E,252429,666666,True,False,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/RtHM7v9LTE', 'expanded_url': 'http://Mutigers.com', 'display_url': 'Mutigers.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Tue Jan 21 13:44:35 +0000 2020,1219616786498367488,1219616786498367488,Tune in to KFRU right now! We are celebrating the first day of class in the new Sinquefield Music Center! @kfru @mizzou @MizzouMusic,False,"[0, 132]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,1,2,False,False,en,[],[],"[{'screen_name': 'kfru', 'name': 'Kitu Dave', 'id': 33578554, 'id_str': '33578554', 'indices': [106, 111]}, {'screen_name': 'Mizzou', 'name': 'Mizzou', 'id': 23620660, 'id_str': '23620660', 'indices': [112, 119]}, {'screen_name': 'MizzouMusic', 'name': 'MU School of Music', 'id': 750040232, 'id_str': '750040232', 'indices': [120, 132]}]",[],en,recent,292531199,292531199,MizzouAandS,MizzouAandS,University of Missouri,"The College of Arts and Science has 28 departments and 90 degree programs — making it the largest and most diverse college on the #Mizzou campus.

#MizzouAandS",https://t.co/0V7ZjZcdRS,[],False,2174,659,42,Tue May 03 20:08:11 +0000 2011,4437,,,True,False,8156,,False,False,False,131516,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1126214465983275015/OqPy9OD__normal.png,https://pbs.twimg.com/profile_images/1126214465983275015/OqPy9OD__normal.png,https://pbs.twimg.com/profile_banners/292531199/1560963275,000000,EEEEEE,080308,F5EDF5,True,False,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/0V7ZjZcdRS', 'expanded_url': 'http://coas.missouri.edu', 'display_url': 'coas.missouri.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Mon Jan 20 21:41:10 +0000 2020,1219374334298357761,1219374334298357761,@MizzouHoops @EatAndys @Mizzou @MUZouCrew @The_Antlers Awesome!,False,"[55, 63]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.219365361201664e+18,1219365361201664001,256203380.0,256203380,MizzouHoops,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'MizzouHoops', 'name': 'Mizzou Hoops', 'id': 256203380, 'id_str': '256203380', 'indices': [0, 12]}, {'screen_name': 'EatAndys', 'name': 'Andys Frozen Custard', 'id': 26834515, 'id_str': '26834515', 'indices': [13, 22]}, {'screen_name': 'Mizzou', 'name': 'Mizzou', 'id': 23620660, 'id_str': '23620660', 'indices': [23, 30]}, {'screen_name': 'MUZouCrew', 'name': 'Zou Crew', 'id': 78947948, 'id_str': '78947948', 'indices': [31, 41]}, {'screen_name': 'The_Antlers', 'name': 'The Antlers', 'id': 372078975, 'id_str': '372078975', 'indices': [42, 54]}]",[],en,recent,1608826890,1608826890,Grayson Rainey,GraysonRainey,"Columbia, MO",TES '18 Mizzou ‘22 KCOU 88.1 FM contributor. Avid Golf fan. 1 Peter 5:7,,[],False,170,979,0,Sat Jul 20 19:07:12 +0000 2013,3587,,,True,False,3574,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1178912652426436609/GYAVGgdv_normal.jpg,https://pbs.twimg.com/profile_images/1178912652426436609/GYAVGgdv_normal.jpg,https://pbs.twimg.com/profile_banners/1608826890/1572683606,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Mon Jan 20 19:50:03 +0000 2020,1219346368625594370,1219346368625594370,"MAJOR DILEMMA 🚨
Did my undergrad @SFSU &amp; currently in a grad program @Mizzou sooooo who am I supposed to root for in the #SuperBowl ???",False,"[0, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,False,0,1,False,False,en,"[{'text': 'SuperBowl', 'indices': [125, 135]}]",[],"[{'screen_name': 'SFSU', 'name': 'SF State', 'id': 22694478, 'id_str': '22694478', 'indices': [33, 38]}, {'screen_name': 'Mizzou', 'name': 'Mizzou', 'id': 23620660, 'id_str': '23620660', 'indices': [73, 80]}]",[],en,recent,2894096018,2894096018,Victoria Elizabeth,Victoriaaa_E,"Columbia, MO",LA ➡️ SF ➡️ COMO ▪️Master’s student @mujschool 🎓,,[],False,67,439,1,Sat Nov 08 20:40:32 +0000 2014,5485,,,True,False,491,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1139929790104793088/3V0K-QAe_normal.jpg,https://pbs.twimg.com/profile_images/1139929790104793088/3V0K-QAe_normal.jpg,https://pbs.twimg.com/profile_banners/2894096018/1563323446,FFCC4D,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
